max_pulls,expected_special_items,si_p(<=1),si_p(<=2),si_p(<=3),si_p(<=6),si_p(<=9),si_p(<=12),si_p(>=1),si_p(>=2),si_p(>=3),si_p(>=6),si_p(>=9),si_p(>=12),p(0)_5c,p(>=1)_5c,p(>=2)_5c,p(>=3)_5c,p(>=4)_5c,p(>=5)_5c,p(>=6)_5c,p(>=7)_5c,p(>=8)_5c,p(<=1)_5c,p(<=2)_5c,p(<=3)_5c,p(<=4)_5c,p(<=5)_5c,p(<=6)_5c,p(<=7)_5c,p(<=8)_5c,p(0)_6c,p(>=1)_6c,p(>=2)_6c,p(>=3)_6c,p(>=4)_6c,p(>=5)_6c,p(>=6)_6c,p(>=7)_6c,p(>=8)_6c,p(<=1)_6c,p(<=2)_6c,p(<=3)_6c,p(<=4)_6c,p(<=5)_6c,p(<=6)_6c,p(<=7)_6c,p(<=8)_6c,p(0)_7c,p(>=1)_7c,p(>=2)_7c,p(>=3)_7c,p(>=4)_7c,p(>=5)_7c,p(>=6)_7c,p(>=7)_7c,p(>=8)_7c,p(<=1)_7c,p(<=2)_7c,p(<=3)_7c,p(<=4)_7c,p(<=5)_7c,p(<=6)_7c,p(<=7)_7c,p(<=8)_7c
2830,0.012143,99.812880,99.969290,99.996090,100.000000,100.000000,100.000000,0.992060,0.187120,0.030710,0.000040,0.000000,0.000000,55.566300,44.433800,4.842800,0.088800,0.000100,0.000000,0.000000,0.000000,0.000000,95.157300,99.911300,100.000000,100.000100,100.000100,100.000100,100.000100,100.000100,84.119800,15.880200,0.313500,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,99.686500,99.999700,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,95.617100,4.382900,0.010900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.989100,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2840,0.012482,99.806720,99.968190,99.996020,100.000000,100.000000,100.000000,1.018570,0.193280,0.031810,0.000040,0.000000,0.000000,55.102800,44.897200,4.988300,0.094300,0.000200,0.000000,0.000000,0.000000,0.000000,95.011700,99.905700,99.999800,100.000000,100.000000,100.000000,100.000000,100.000000,83.861300,16.138600,0.327400,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,99.672500,99.999500,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,95.523800,4.476200,0.011600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.988400,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2850,0.012826,99.800790,99.967060,99.995820,100.000000,100.000000,100.000000,1.045730,0.199210,0.032940,0.000040,0.000000,0.000000,54.639000,45.361000,5.136900,0.099900,0.000200,0.000000,0.000000,0.000000,0.000000,94.863100,99.900100,99.999800,100.000000,100.000000,100.000000,100.000000,100.000000,83.598300,16.401700,0.341500,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,99.658500,99.999500,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,95.424900,4.575100,0.012100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.987900,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2860,0.013187,99.794070,99.965940,99.995600,100.000000,100.000000,100.000000,1.073750,0.205930,0.034060,0.000050,0.000000,0.000000,54.171000,45.829000,5.287200,0.105300,0.000200,0.000000,0.000000,0.000000,0.000000,94.712800,99.894700,99.999800,100.000000,100.000000,100.000000,100.000000,100.000000,83.334000,16.666100,0.355300,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,99.644800,99.999500,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,95.329600,4.670400,0.012900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.987100,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2870,0.013544,99.787380,99.964440,99.995380,100.000000,100.000000,100.000000,1.101010,0.212620,0.035560,0.000050,0.000000,0.000000,53.707300,46.292700,5.441500,0.111600,0.000200,0.000000,0.000000,0.000000,0.000000,94.558500,99.888400,99.999800,100.000000,100.000000,100.000000,100.000000,100.000000,83.066900,16.933000,0.370500,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,99.629400,99.999300,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,95.230100,4.770000,0.013800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.986300,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100
2880,0.013928,99.780690,99.963280,99.995240,100.000000,100.000000,100.000000,1.131380,0.219310,0.036720,0.000030,0.000000,0.000000,53.233100,46.766900,5.599000,0.117700,0.000200,0.000000,0.000000,0.000000,0.000000,94.401000,99.882300,99.999800,100.000000,100.000000,100.000000,100.000000,100.000000,82.801000,17.199100,0.385800,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,99.614300,99.999400,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,95.131300,4.868700,0.014600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.985400,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2890,0.014316,99.773800,99.962080,99.994880,100.000000,100.000000,100.000000,1.161770,0.226200,0.037920,0.000030,0.000000,0.000000,52.767500,47.232600,5.759000,0.124600,0.000300,0.000000,0.000000,0.000000,0.000000,94.241100,99.875500,99.999800,100.000100,100.000100,100.000100,100.000100,100.000100,82.530500,17.469500,0.401800,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,99.598200,99.999200,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,95.030000,4.969900,0.015300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.984600,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900
2900,0.014705,99.767470,99.960400,99.994670,100.000000,100.000000,100.000000,1.192360,0.232530,0.039600,0.000030,0.000000,0.000000,52.296700,47.703400,5.921100,0.131900,0.000300,0.000000,0.000000,0.000000,0.000000,94.079000,99.868200,99.999800,100.000100,100.000100,100.000100,100.000100,100.000100,82.256700,17.743300,0.418400,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,99.581600,99.999200,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.929100,5.070900,0.016100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.983900,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2910,0.015112,99.760000,99.959290,99.994400,100.000000,100.000000,100.000000,1.224250,0.240000,0.040710,0.000030,0.000000,0.000000,51.832900,48.167200,6.090500,0.139400,0.000300,0.000000,0.000000,0.000000,0.000000,93.909600,99.860700,99.999800,100.000100,100.000100,100.000100,100.000100,100.000100,81.986100,18.014000,0.436000,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,99.564100,99.999200,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,94.823500,5.176500,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.983000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2920,0.015515,99.752110,99.957640,99.994150,100.000000,100.000000,100.000000,1.254680,0.247890,0.042360,0.000020,0.000000,0.000000,51.366200,48.633800,6.262100,0.147300,0.000300,0.000000,0.000000,0.000000,0.000000,93.737900,99.852700,99.999700,100.000000,100.000000,100.000000,100.000000,100.000000,81.706500,18.293500,0.453800,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,99.546200,99.999000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.719700,5.280300,0.018100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.981900,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2930,0.015932,99.744540,99.956240,99.993820,100.000000,100.000000,100.000000,1.287030,0.255460,0.043760,0.000020,0.000000,0.000000,50.901400,49.098500,6.437600,0.155500,0.000300,0.000000,0.000000,0.000000,0.000000,93.562300,99.844400,99.999600,99.999900,99.999900,99.999900,99.999900,99.999900,81.429700,18.570300,0.473100,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,99.526900,99.999000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.611100,5.388900,0.019200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.980800,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
