==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,720
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
120        | 6               | 0.00006000%
121        | 14              | 0.00014000%
122        | 61              | 0.00061000%
123        | 233             | 0.00233000%
124        | 769             | 0.00769000%
125        | 2,070           | 0.02070000%
126        | 5,575           | 0.05575000%
127        | 12,640          | 0.12640000%
128        | 26,487          | 0.26487000%
129        | 51,422          | 0.51422000%
130        | 91,084          | 0.91084000%
131        | 150,734         | 1.50734000%
132        | 230,516         | 2.30516000%
133        | 332,318         | 3.32318000%
134        | 448,154         | 4.48154000%
135        | 568,615         | 5.68615000%
136        | 682,233         | 6.82233000%
137        | 777,154         | 7.77154000%
138        | 839,452         | 8.39452000%
139        | 864,877         | 8.64877000%
140        | 847,592         | 8.47592000%
141        | 793,397         | 7.93397000%
142        | 712,636         | 7.12636000%
143        | 616,027         | 6.16027000%
144        | 509,866         | 5.09866000%
145        | 405,508         | 4.05508000%
146        | 312,813         | 3.12813000%
147        | 231,926         | 2.31926000%
148        | 165,317         | 1.65317000%
149        | 115,225         | 1.15225000%
150        | 77,652          | 0.77652000%
151        | 50,304          | 0.50304000%
152        | 31,628          | 0.31628000%
153        | 19,400          | 0.19400000%
154        | 11,526          | 0.11526000%
155        | 6,671           | 0.06671000%
156        | 3,742           | 0.03742000%
157        | 2,046           | 0.02046000%
158        | 1,152           | 0.01152000%
159        | 599             | 0.00599000%
160        | 296             | 0.00296000%
161        | 139             | 0.00139000%
162        | 65              | 0.00065000%
163        | 39              | 0.00039000%
164        | 11              | 0.00011000%
165        | 4               | 0.00004000%
166        | 3               | 0.00003000%
168        | 1               | 0.00001000%
169        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
73         | 4               | 0.00004000%
74         | 14              | 0.00014000%
75         | 53              | 0.00053000%
76         | 165             | 0.00165000%
77         | 514             | 0.00514000%
78         | 1,487           | 0.01487000%
79         | 3,697           | 0.03697000%
80         | 8,686           | 0.08686000%
81         | 18,528          | 0.18528000%
82         | 36,201          | 0.36201000%
83         | 67,235          | 0.67235000%
84         | 115,000         | 1.15000000%
85         | 183,499         | 1.83499000%
86         | 273,974         | 2.73974000%
87         | 385,217         | 3.85217000%
88         | 508,775         | 5.08775000%
89         | 636,640         | 6.36640000%
90         | 751,366         | 7.51366000%
91         | 836,797         | 8.36797000%
92         | 884,526         | 8.84526000%
93         | 890,207         | 8.90207000%
94         | 852,220         | 8.52220000%
95         | 777,198         | 7.77198000%
96         | 675,820         | 6.75820000%
97         | 563,382         | 5.63382000%
98         | 448,066         | 4.48066000%
99         | 343,089         | 3.43089000%
100        | 251,314         | 2.51314000%
101        | 175,871         | 1.75871000%
102        | 118,274         | 1.18274000%
103        | 77,319          | 0.77319000%
104        | 48,302          | 0.48302000%
105        | 29,324          | 0.29324000%
106        | 17,040          | 0.17040000%
107        | 9,616           | 0.09616000%
108        | 5,159           | 0.05159000%
109        | 2,786           | 0.02786000%
110        | 1,380           | 0.01380000%
111        | 690             | 0.00690000%
112        | 309             | 0.00309000%
113        | 132             | 0.00132000%
114        | 71              | 0.00071000%
115        | 25              | 0.00025000%
116        | 12              | 0.00012000%
117        | 6               | 0.00006000%
118        | 6               | 0.00006000%
119        | 3               | 0.00003000%
120        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
28         | 2               | 0.00002000%
29         | 11              | 0.00011000%
30         | 30              | 0.00030000%
31         | 113             | 0.00113000%
32         | 365             | 0.00365000%
33         | 959             | 0.00959000%
34         | 2,516           | 0.02516000%
35         | 6,220           | 0.06220000%
36         | 14,817          | 0.14817000%
37         | 31,094          | 0.31094000%
38         | 62,957          | 0.62957000%
39         | 116,365         | 1.16365000%
40         | 200,692         | 2.00692000%
41         | 321,169         | 3.21169000%
42         | 478,737         | 4.78737000%
43         | 659,530         | 6.59530000%
44         | 843,193         | 8.43193000%
45         | 999,077         | 9.99077000%
46         | 1,096,494       | 10.96494000%
47         | 1,111,816       | 11.11816000%
48         | 1,040,970       | 10.40970000%
49         | 900,157         | 9.00157000%
50         | 722,269         | 7.22269000%
51         | 533,134         | 5.33134000%
52         | 363,185         | 3.63185000%
53         | 229,071         | 2.29071000%
54         | 132,541         | 1.32541000%
55         | 71,191          | 0.71191000%
56         | 34,828          | 0.34828000%
57         | 15,954          | 0.15954000%
58         | 6,743           | 0.06743000%
59         | 2,533           | 0.02533000%
60         | 838             | 0.00838000%
61         | 303             | 0.00303000%
62         | 90              | 0.00090000%
63         | 28              | 0.00028000%
64         | 8               | 0.00008000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 41,593          | 0.41593000%
1          | 134,663         | 1.34663000%
2          | 306,687         | 3.06687000%
