==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,730
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
134        | 2               | 0.00002000%
135        | 3               | 0.00003000%
136        | 10              | 0.00010000%
137        | 56              | 0.00056000%
138        | 158             | 0.00158000%
139        | 599             | 0.00599000%
140        | 1,539           | 0.01539000%
141        | 3,765           | 0.03765000%
142        | 8,538           | 0.08538000%
143        | 17,630          | 0.17630000%
144        | 34,292          | 0.34292000%
145        | 60,543          | 0.60543000%
146        | 101,574         | 1.01574000%
147        | 160,104         | 1.60104000%
148        | 236,138         | 2.36138000%
149        | 329,306         | 3.29306000%
150        | 432,492         | 4.32492000%
151        | 541,025         | 5.41025000%
152        | 643,646         | 6.43646000%
153        | 729,189         | 7.29189000%
154        | 788,182         | 7.88182000%
155        | 815,914         | 8.15914000%
156        | 810,438         | 8.10438000%
157        | 770,089         | 7.70089000%
158        | 706,010         | 7.06010000%
159        | 621,151         | 6.21151000%
160        | 528,375         | 5.28375000%
161        | 432,685         | 4.32685000%
162        | 343,389         | 3.43389000%
163        | 263,929         | 2.63929000%
164        | 196,045         | 1.96045000%
165        | 141,392         | 1.41392000%
166        | 98,407          | 0.98407000%
167        | 67,106          | 0.67106000%
168        | 44,658          | 0.44658000%
169        | 28,416          | 0.28416000%
170        | 17,640          | 0.17640000%
171        | 10,966          | 0.10966000%
172        | 6,272           | 0.06272000%
173        | 3,723           | 0.03723000%
174        | 2,158           | 0.02158000%
175        | 1,152           | 0.01152000%
176        | 632             | 0.00632000%
177        | 318             | 0.00318000%
178        | 182             | 0.00182000%
179        | 76              | 0.00076000%
180        | 50              | 0.00050000%
181        | 21              | 0.00021000%
182        | 6               | 0.00006000%
183        | 5               | 0.00005000%
184        | 4               | 0.00004000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
82         | 3               | 0.00003000%
83         | 4               | 0.00004000%
84         | 16              | 0.00016000%
85         | 66              | 0.00066000%
86         | 214             | 0.00214000%
87         | 575             | 0.00575000%
88         | 1,595           | 0.01595000%
89         | 3,580           | 0.03580000%
90         | 7,833           | 0.07833000%
91         | 16,177          | 0.16177000%
92         | 30,839          | 0.30839000%
93         | 56,107          | 0.56107000%
94         | 94,154          | 0.94154000%
95         | 148,741         | 1.48741000%
96         | 222,832         | 2.22832000%
97         | 314,609         | 3.14609000%
98         | 421,265         | 4.21265000%
99         | 534,802         | 5.34802000%
100        | 645,064         | 6.45064000%
101        | 739,426         | 7.39426000%
102        | 808,617         | 8.08617000%
103        | 842,929         | 8.42929000%
104        | 841,721         | 8.41721000%
105        | 799,718         | 7.99718000%
106        | 730,717         | 7.30717000%
107        | 640,729         | 6.40729000%
108        | 538,142         | 5.38142000%
109        | 434,275         | 4.34275000%
110        | 338,443         | 3.38443000%
111        | 253,584         | 2.53584000%
112        | 182,721         | 1.82721000%
113        | 126,461         | 1.26461000%
114        | 85,132          | 0.85132000%
115        | 55,393          | 0.55393000%
116        | 34,794          | 0.34794000%
117        | 21,273          | 0.21273000%
118        | 12,290          | 0.12290000%
119        | 7,011           | 0.07011000%
120        | 3,908           | 0.03908000%
121        | 2,089           | 0.02089000%
122        | 1,097           | 0.01097000%
123        | 539             | 0.00539000%
124        | 270             | 0.00270000%
125        | 133             | 0.00133000%
126        | 60              | 0.00060000%
127        | 30              | 0.00030000%
128        | 13              | 0.00013000%
129        | 7               | 0.00007000%
130        | 1               | 0.00001000%
132        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
