==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,700
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
90         | 1               | 0.00001000%
91         | 12              | 0.00012000%
92         | 60              | 0.00060000%
93         | 326             | 0.00326000%
94         | 1,250           | 0.01250000%
95         | 4,141           | 0.04141000%
96         | 11,557          | 0.11557000%
97         | 28,363          | 0.28363000%
98         | 61,566          | 0.61566000%
99         | 119,036         | 1.19036000%
100        | 206,835         | 2.06835000%
101        | 327,755         | 3.27755000%
102        | 475,187         | 4.75187000%
103        | 632,794         | 6.32794000%
104        | 785,755         | 7.85755000%
105        | 901,141         | 9.01141000%
106        | 972,053         | 9.72053000%
107        | 983,719         | 9.83719000%
108        | 934,314         | 9.34314000%
109        | 838,443         | 8.38443000%
110        | 715,818         | 7.15818000%
111        | 579,783         | 5.79783000%
112        | 448,330         | 4.48330000%
113        | 329,275         | 3.29275000%
114        | 232,696         | 2.32696000%
115        | 156,996         | 1.56996000%
116        | 102,340         | 1.02340000%
117        | 63,756          | 0.63756000%
118        | 38,367          | 0.38367000%
119        | 22,214          | 0.22214000%
120        | 12,518          | 0.12518000%
121        | 6,609           | 0.06609000%
122        | 3,526           | 0.03526000%
123        | 1,778           | 0.01778000%
124        | 848             | 0.00848000%
125        | 471             | 0.00471000%
126        | 208             | 0.00208000%
127        | 95              | 0.00095000%
128        | 40              | 0.00040000%
129        | 14              | 0.00014000%
130        | 7               | 0.00007000%
131        | 1               | 0.00001000%
133        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
54         | 3               | 0.00003000%
55         | 16              | 0.00016000%
56         | 84              | 0.00084000%
57         | 326             | 0.00326000%
58         | 1,130           | 0.01130000%
59         | 3,452           | 0.03452000%
60         | 9,230           | 0.09230000%
61         | 22,976          | 0.22976000%
62         | 49,346          | 0.49346000%
63         | 96,739          | 0.96739000%
64         | 173,112         | 1.73112000%
65         | 283,218         | 2.83218000%
66         | 424,947         | 4.24947000%
67         | 586,951         | 5.86951000%
68         | 750,380         | 7.50380000%
69         | 892,516         | 8.92516000%
70         | 986,161         | 9.86161000%
71         | 1,018,367       | 10.18367000%
72         | 987,183         | 9.87183000%
73         | 898,716         | 8.98716000%
74         | 767,378         | 7.67378000%
75         | 619,666         | 6.19666000%
76         | 474,088         | 4.74088000%
77         | 343,681         | 3.43681000%
78         | 236,006         | 2.36006000%
79         | 153,792         | 1.53792000%
80         | 95,888          | 0.95888000%
81         | 56,927          | 0.56927000%
82         | 32,410          | 0.32410000%
83         | 17,741          | 0.17741000%
84         | 9,129           | 0.09129000%
85         | 4,521           | 0.04521000%
86         | 2,184           | 0.02184000%
87         | 988             | 0.00988000%
88         | 460             | 0.00460000%
89         | 162             | 0.00162000%
90         | 78              | 0.00078000%
91         | 27              | 0.00027000%
92         | 17              | 0.00017000%
93         | 2               | 0.00002000%
95         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
