==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,510
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
131        | 2               | 0.00002000%
132        | 4               | 0.00004000%
133        | 20              | 0.00020000%
134        | 70              | 0.00070000%
135        | 279             | 0.00279000%
136        | 801             | 0.00801000%
137        | 2,155           | 0.02155000%
138        | 5,111           | 0.05111000%
139        | 11,412          | 0.11412000%
140        | 23,142          | 0.23142000%
141        | 43,858          | 0.43858000%
142        | 76,568          | 0.76568000%
143        | 125,269         | 1.25269000%
144        | 193,177         | 1.93177000%
145        | 279,887         | 2.79887000%
146        | 380,044         | 3.80044000%
147        | 489,633         | 4.89633000%
148        | 598,727         | 5.98727000%
149        | 696,257         | 6.96257000%
150        | 773,531         | 7.73531000%
151        | 815,248         | 8.15248000%
152        | 826,862         | 8.26862000%
153        | 801,740         | 8.01740000%
154        | 745,023         | 7.45023000%
155        | 667,206         | 6.67206000%
156        | 574,210         | 5.74210000%
157        | 476,925         | 4.76925000%
158        | 383,115         | 3.83115000%
159        | 296,615         | 2.96615000%
160        | 222,810         | 2.22810000%
161        | 162,060         | 1.62060000%
162        | 113,969         | 1.13969000%
163        | 77,703          | 0.77703000%
164        | 52,124          | 0.52124000%
165        | 33,317          | 0.33317000%
166        | 20,857          | 0.20857000%
167        | 12,769          | 0.12769000%
168        | 7,605           | 0.07605000%
169        | 4,324           | 0.04324000%
170        | 2,619           | 0.02619000%
171        | 1,404           | 0.01404000%
172        | 754             | 0.00754000%
173        | 391             | 0.00391000%
174        | 205             | 0.00205000%
175        | 110             | 0.00110000%
176        | 52              | 0.00052000%
177        | 15              | 0.00015000%
178        | 10              | 0.00010000%
179        | 5               | 0.00005000%
180        | 5               | 0.00005000%
181        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
79         | 1               | 0.00001000%
80         | 2               | 0.00002000%
81         | 4               | 0.00004000%
82         | 15              | 0.00015000%
83         | 94              | 0.00094000%
84         | 241             | 0.00241000%
85         | 681             | 0.00681000%
86         | 1,856           | 0.01856000%
87         | 4,189           | 0.04189000%
88         | 9,072           | 0.09072000%
