==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,230
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
83         | 1               | 0.00001000%
84         | 3               | 0.00003000%
85         | 52              | 0.00052000%
86         | 338             | 0.00338000%
87         | 1,344           | 0.01344000%
88         | 4,512           | 0.04512000%
89         | 13,456          | 0.13456000%
90         | 33,648          | 0.33648000%
91         | 73,760          | 0.73760000%
92         | 144,134         | 1.44134000%
93         | 249,330         | 2.49330000%
94         | 390,047         | 3.90047000%
95         | 555,118         | 5.55118000%
96         | 726,329         | 7.26329000%
97         | 875,631         | 8.75631000%
98         | 978,796         | 9.78796000%
99         | 1,021,385       | 10.21385000%
100        | 997,001         | 9.97001000%
101        | 914,558         | 9.14558000%
102        | 788,571         | 7.88571000%
103        | 646,867         | 6.46867000%
104        | 501,948         | 5.01948000%
105        | 370,108         | 3.70108000%
106        | 260,928         | 2.60928000%
107        | 176,479         | 1.76479000%
108        | 113,282         | 1.13282000%
109        | 69,855          | 0.69855000%
110        | 41,653          | 0.41653000%
111        | 23,746          | 0.23746000%
112        | 13,125          | 0.13125000%
113        | 7,012           | 0.07012000%
114        | 3,642           | 0.03642000%
115        | 1,733           | 0.01733000%
116        | 856             | 0.00856000%
117        | 414             | 0.00414000%
118        | 193             | 0.00193000%
119        | 86              | 0.00086000%
120        | 41              | 0.00041000%
121        | 11              | 0.00011000%
122        | 5               | 0.00005000%
123        | 1               | 0.00001000%
126        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
50         | 8               | 0.00008000%
51         | 38              | 0.00038000%
52         | 158             | 0.00158000%
53         | 635             | 0.00635000%
54         | 2,157           | 0.02157000%
55         | 6,515           | 0.06515000%
56         | 17,081          | 0.17081000%
57         | 40,149          | 0.40149000%
58         | 84,193          | 0.84193000%
59         | 157,440         | 1.57440000%
60         | 266,693         | 2.66693000%
61         | 416,219         | 4.16219000%
62         | 587,252         | 5.87252000%
63         | 764,515         | 7.64515000%
64         | 917,994         | 9.17994000%
65         | 1,021,928       | 10.21928000%
66         | 1,059,164       | 10.59164000%
67         | 1,017,533       | 10.17533000%
68         | 919,009         | 9.19009000%
69         | 775,564         | 7.75564000%
70         | 616,202         | 6.16202000%
71         | 461,388         | 4.61388000%
72         | 326,598         | 3.26598000%
73         | 218,605         | 2.18605000%
74         | 138,553         | 1.38553000%
75         | 83,730          | 0.83730000%
76         | 47,961          | 0.47961000%
77         | 26,279          | 0.26279000%
78         | 13,793          | 0.13793000%
79         | 6,801           | 0.06801000%
80         | 3,276           | 0.03276000%
81         | 1,457           | 0.01457000%
82         | 656             | 0.00656000%
83         | 268             | 0.00268000%
84         | 110             | 0.00110000%
85         | 56              | 0.00056000%
86         | 12              | 0.00012000%
87         | 8               | 0.00008000%
88         | 1               | 0.00001000%
89         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
18         | 7               | 0.00007000%
19         | 29              | 0.00029000%
20         | 131             | 0.00131000%
21         | 448             | 0.00448000%
22         | 1,480           | 0.01480000%
23         | 4,643           | 0.04643000%
24         | 12,883          | 0.12883000%
25         | 32,464          | 0.32464000%
26         | 74,190          | 0.74190000%
27         | 152,604         | 1.52604000%
28         | 283,489         | 2.83489000%
29         | 476,034         | 4.76034000%
30         | 717,700         | 7.17700000%
31         | 976,936         | 9.76936000%
32         | 1,193,100       | 11.93100000%
33         | 1,307,869       | 13.07869000%
34         | 1,287,482       | 12.87482000%
35         | 1,133,919       | 11.33919000%
36         | 896,376         | 8.96376000%
37         | 631,514         | 6.31514000%
38         | 399,009         | 3.99009000%
39         | 223,954         | 2.23954000%
40         | 112,357         | 1.12357000%
41         | 50,844          | 0.50844000%
