==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,080
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
125        | 4               | 0.00004000%
126        | 8               | 0.00008000%
127        | 32              | 0.00032000%
128        | 147             | 0.00147000%
129        | 454             | 0.00454000%
130        | 1,372           | 0.01372000%
131        | 3,612           | 0.03612000%
132        | 8,281           | 0.08281000%
133        | 18,013          | 0.18013000%
134        | 35,744          | 0.35744000%
135        | 65,102          | 0.65102000%
136        | 110,490         | 1.10490000%
137        | 175,110         | 1.75110000%
138        | 260,624         | 2.60624000%
139        | 363,762         | 3.63762000%
140        | 477,212         | 4.77212000%
141        | 590,810         | 5.90810000%
142        | 698,233         | 6.98233000%
143        | 780,958         | 7.80958000%
144        | 831,903         | 8.31903000%
145        | 846,194         | 8.46194000%
146        | 821,657         | 8.21657000%
147        | 766,402         | 7.66402000%
148        | 686,343         | 6.86343000%
149        | 588,332         | 5.88332000%
150        | 486,807         | 4.86807000%
151        | 387,951         | 3.87951000%
152        | 299,164         | 2.99164000%
153        | 221,684         | 2.21684000%
154        | 159,472         | 1.59472000%
155        | 111,652         | 1.11652000%
156        | 75,501          | 0.75501000%
157        | 49,221          | 0.49221000%
158        | 31,391          | 0.31391000%
159        | 19,450          | 0.19450000%
160        | 11,562          | 0.11562000%
161        | 6,807           | 0.06807000%
162        | 3,848           | 0.03848000%
163        | 2,178           | 0.02178000%
164        | 1,243           | 0.01243000%
165        | 630             | 0.00630000%
166        | 317             | 0.00317000%
167        | 180             | 0.00180000%
168        | 92              | 0.00092000%
169        | 25              | 0.00025000%
170        | 15              | 0.00015000%
171        | 4               | 0.00004000%
172        | 5               | 0.00005000%
174        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
76         | 2               | 0.00002000%
77         | 6               | 0.00006000%
78         | 24              | 0.00024000%
79         | 101             | 0.00101000%
80         | 316             | 0.00316000%
81         | 813             | 0.00813000%
82         | 2,306           | 0.02306000%
83         | 5,329           | 0.05329000%
84         | 11,697          | 0.11697000%
85         | 23,982          | 0.23982000%
86         | 44,715          | 0.44715000%
87         | 79,905          | 0.79905000%
88         | 132,273         | 1.32273000%
89         | 204,082         | 2.04082000%
90         | 297,679         | 2.97679000%
91         | 408,320         | 4.08320000%
92         | 529,001         | 5.29001000%
93         | 649,460         | 6.49460000%
94         | 754,118         | 7.54118000%
95         | 832,239         | 8.32239000%
96         | 870,068         | 8.70068000%
97         | 870,607         | 8.70607000%
98         | 828,106         | 8.28106000%
99         | 753,351         | 7.53351000%
100        | 654,840         | 6.54840000%
101        | 544,902         | 5.44902000%
102        | 433,930         | 4.33930000%
103        | 334,769         | 3.34769000%
104        | 245,842         | 2.45842000%
105        | 173,650         | 1.73650000%
106        | 117,494         | 1.17494000%
107        | 77,322          | 0.77322000%
108        | 49,119          | 0.49119000%
109        | 30,189          | 0.30189000%
110        | 17,889          | 0.17889000%
111        | 9,962           | 0.09962000%
112        | 5,614           | 0.05614000%
113        | 2,936           | 0.02936000%
114        | 1,551           | 0.01551000%
115        | 802             | 0.00802000%
116        | 368             | 0.00368000%
117        | 178             | 0.00178000%
118        | 79              | 0.00079000%
119        | 34              | 0.00034000%
120        | 14              | 0.00014000%
121        | 7               | 0.00007000%
122        | 5               | 0.00005000%
123        | 3               | 0.00003000%
124        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
29         | 1               | 0.00001000%
30         | 5               | 0.00005000%
31         | 20              | 0.00020000%
32         | 50              | 0.00050000%
33         | 172             | 0.00172000%
34         | 466             | 0.00466000%
35         | 1,362           | 0.01362000%
36         | 3,292           | 0.03292000%
37         | 8,017           | 0.08017000%
38         | 18,103          | 0.18103000%
39         | 36,976          | 0.36976000%
40         | 71,841          | 0.71841000%
41         | 129,608         | 1.29608000%
42         | 218,652         | 2.18652000%
43         | 340,473         | 3.40473000%
44         | 497,235         | 4.97235000%
45         | 673,170         | 6.73170000%
46         | 848,658         | 8.48658000%
47         | 990,777         | 9.90777000%
48         | 1,079,580       | 10.79580000%
49         | 1,085,998       | 10.85998000%
50         | 1,016,119       | 10.16119000%
51         | 879,890         | 8.79890000%
52         | 706,692         | 7.06692000%
53         | 524,043         | 5.24043000%
54         | 361,577         | 3.61577000%
55         | 230,425         | 2.30425000%
56         | 135,693         | 1.35693000%
57         | 74,126          | 0.74126000%
58         | 37,496          | 0.37496000%
59         | 17,391          | 0.17391000%
60         | 7,524           | 0.07524000%
61         | 2,936           | 0.02936000%
62         | 1,088           | 0.01088000%
63         | 375             | 0.00375000%
64         | 128             | 0.00128000%
65         | 28              | 0.00028000%
66         | 11              | 0.00011000%
67         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 15,944          | 0.15944000%
1          | 60,622          | 0.60622000%
2          | 156,499         | 1.56499000%
3          | 315,982         | 3.15982000%
4          | 536,535         | 5.36535000%
5          | 788,030         | 7.88030000%
6          | 1,020,009       | 10.20009000%
7          | 1,182,536       | 11.82536000%
8          | 1,241,915       | 12.41915000%
9          | 1,181,153       | 11.81153000%
10         | 1,033,303       | 10.33303000%
11         | 830,603         | 8.30603000%
12         | 616,974         | 6.16974000%
13         | 422,105         | 4.22105000%
14         | 269,359         | 2.69359000%
15         | 158,684         | 1.58684000%
16         | 87,427          | 0.87427000%
17         | 44,647          | 0.44647000%
18         | 21,704          | 0.21704000%
19         | 9,445           | 0.09445000%
20         | 4,026           | 0.04026000%
21         | 1,645           | 0.01645000%
22         | 576             | 0.00576000%
23         | 186             | 0.00186000%
24         | 61              | 0.00061000%
25         | 21              | 0.00021000%
26         | 8               | 0.00008000%
27         | 1               | 0.00001000%

