==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,360
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
84         | 1               | 0.00001000%
86         | 4               | 0.00004000%
87         | 65              | 0.00065000%
88         | 356             | 0.00356000%
89         | 1,478           | 0.01478000%
90         | 4,782           | 0.04782000%
91         | 13,675          | 0.13675000%
92         | 33,921          | 0.33921000%
93         | 73,376          | 0.73376000%
94         | 142,134         | 1.42134000%
95         | 244,122         | 2.44122000%
96         | 381,506         | 3.81506000%
97         | 542,252         | 5.42252000%
98         | 710,314         | 7.10314000%
99         | 857,980         | 8.57980000%
100        | 963,707         | 9.63707000%
101        | 1,009,363       | 10.09363000%
102        | 993,990         | 9.93990000%
103        | 913,398         | 9.13398000%
104        | 796,244         | 7.96244000%
105        | 657,776         | 6.57776000%
106        | 515,716         | 5.15716000%
107        | 384,859         | 3.84859000%
108        | 272,744         | 2.72744000%
109        | 186,763         | 1.86763000%
110        | 121,376         | 1.21376000%
111        | 75,464          | 0.75464000%
112        | 45,477          | 0.45477000%
113        | 26,521          | 0.26521000%
114        | 14,671          | 0.14671000%
115        | 7,925           | 0.07925000%
116        | 4,121           | 0.04121000%
117        | 2,052           | 0.02052000%
118        | 989             | 0.00989000%
119        | 471             | 0.00471000%
120        | 236             | 0.00236000%
121        | 99              | 0.00099000%
122        | 46              | 0.00046000%
123        | 13              | 0.00013000%
124        | 8               | 0.00008000%
125        | 4               | 0.00004000%
128        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
51         | 5               | 0.00005000%
52         | 26              | 0.00026000%
53         | 127             | 0.00127000%
54         | 449             | 0.00449000%
55         | 1,568           | 0.01568000%
56         | 4,853           | 0.04853000%
57         | 13,141          | 0.13141000%
58         | 31,644          | 0.31644000%
59         | 67,437          | 0.67437000%
60         | 129,382         | 1.29382000%
61         | 225,009         | 2.25009000%
62         | 359,333         | 3.59333000%
63         | 520,468         | 5.20468000%
64         | 695,877         | 6.95877000%
65         | 857,990         | 8.57990000%
66         | 979,302         | 9.79302000%
67         | 1,042,535       | 10.42535000%
68         | 1,031,997       | 10.31997000%
69         | 955,340         | 9.55340000%
70         | 830,180         | 8.30180000%
71         | 678,534         | 6.78534000%
72         | 521,564         | 5.21564000%
73         | 379,510         | 3.79510000%
74         | 262,463         | 2.62463000%
75         | 170,625         | 1.70625000%
76         | 105,730         | 1.05730000%
77         | 62,121          | 0.62121000%
78         | 35,417          | 0.35417000%
79         | 18,911          | 0.18911000%
80         | 9,834           | 0.09834000%
81         | 4,643           | 0.04643000%
82         | 2,230           | 0.02230000%
83         | 1,019           | 0.01019000%
84         | 445             | 0.00445000%
85         | 172             | 0.00172000%
86         | 73              | 0.00073000%
87         | 27              | 0.00027000%
88         | 12              | 0.00012000%
89         | 4               | 0.00004000%
90         | 2               | 0.00002000%
92         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
18         | 2               | 0.00002000%
19         | 12              | 0.00012000%
20         | 50              | 0.00050000%
21         | 235             | 0.00235000%
22         | 750             | 0.00750000%
23         | 2,385           | 0.02385000%
24         | 7,031           | 0.07031000%
25         | 18,647          | 0.18647000%
26         | 44,859          | 0.44859000%
27         | 97,258          | 0.97258000%
28         | 191,651         | 1.91651000%
29         | 341,363         | 3.41363000%
30         | 548,937         | 5.48937000%
31         | 796,388         | 7.96388000%
32         | 1,045,395       | 10.45395000%
33         | 1,230,483       | 12.30483000%
34         | 1,302,663       | 13.02663000%
35         | 1,240,592       | 12.40592000%
36         | 1,063,532       | 10.63532000%
37         | 813,667         | 8.13667000%
38         | 560,229         | 5.60229000%
39         | 345,032         | 3.45032000%
40         | 189,623         | 1.89623000%
41         | 93,368          | 0.93368000%
42         | 41,375          | 0.41375000%
43         | 16,300          | 0.16300000%
44         | 5,738           | 0.05738000%
45         | 1,798           | 0.01798000%
46         | 499             | 0.00499000%
47         | 109             | 0.00109000%
48         | 25              | 0.00025000%
49         | 3               | 0.00003000%
50         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 2,591,207       | 25.91207000%
1          | 2,189,192       | 21.89192000%
2          | 1,938,267       | 19.38267000%
3          | 1,431,010       | 14.31010000%
4          | 908,433         | 9.08433000%
5          | 508,018         | 5.08018000%
6          | 252,876         | 2.52876000%
7          | 112,068         | 1.12068000%
8          | 44,857          | 0.44857000%
9          | 16,279          | 0.16279000%
10         | 5,506           | 0.05506000%
11         | 1,691           | 0.01691000%
12         | 451             | 0.00451000%
13         | 109             | 0.00109000%
14         | 29              | 0.00029000%
15         | 6               | 0.00006000%
16         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.6575          |  0.0050% |  0.5692% |  8.5772% | 33.4321% | 40.7462% | 15.2943% |  1.3579% |  0.0181% |  0.0000%
 >= 6 copies | 2.6158          |  0.4747% |  9.0985% | 35.3419% | 39.8677% | 13.9115% |  1.2891% |  0.0167% |  0.0000% |  0.0000%
 >= 7 copies | 1.7013          |  6.3421% | 34.7925% | 42.6818% | 14.7903% |  1.3684% |  0.0249% |  0.0000% |  0.0000% |  0.0000%
