==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,480
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
101        | 1               | 0.00001000%
102        | 8               | 0.00008000%
103        | 30              | 0.00030000%
104        | 109             | 0.00109000%
105        | 533             | 0.00533000%
106        | 1,698           | 0.01698000%
107        | 4,920           | 0.04920000%
108        | 12,640          | 0.12640000%
109        | 28,705          | 0.28705000%
110        | 59,231          | 0.59231000%
111        | 109,131         | 1.09131000%
112        | 185,809         | 1.85809000%
113        | 288,738         | 2.88738000%
114        | 415,455         | 4.15455000%
115        | 556,733         | 5.56733000%
116        | 694,444         | 6.94444000%
117        | 814,630         | 8.14630000%
118        | 897,353         | 8.97353000%
119        | 932,831         | 9.32831000%
120        | 916,065         | 9.16065000%
121        | 853,170         | 8.53170000%
122        | 757,893         | 7.57893000%
123        | 641,579         | 6.41579000%
124        | 518,043         | 5.18043000%
125        | 402,875         | 4.02875000%
126        | 298,976         | 2.98976000%
127        | 212,975         | 2.12975000%
128        | 146,533         | 1.46533000%
129        | 96,644          | 0.96644000%
130        | 62,556          | 0.62556000%
131        | 38,234          | 0.38234000%
132        | 22,763          | 0.22763000%
133        | 13,027          | 0.13027000%
134        | 7,449           | 0.07449000%
135        | 4,012           | 0.04012000%
136        | 2,086           | 0.02086000%
137        | 1,070           | 0.01070000%
138        | 571             | 0.00571000%
139        | 260             | 0.00260000%
140        | 122             | 0.00122000%
141        | 59              | 0.00059000%
142        | 27              | 0.00027000%
143        | 5               | 0.00005000%
144        | 5               | 0.00005000%
145        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
60         | 1               | 0.00001000%
61         | 1               | 0.00001000%
62         | 6               | 0.00006000%
63         | 43              | 0.00043000%
64         | 154             | 0.00154000%
65         | 605             | 0.00605000%
66         | 1,748           | 0.01748000%
67         | 4,925           | 0.04925000%
68         | 11,779          | 0.11779000%
69         | 26,325          | 0.26325000%
70         | 53,174          | 0.53174000%
71         | 99,001          | 0.99001000%
72         | 170,152         | 1.70152000%
73         | 268,019         | 2.68019000%
74         | 394,355         | 3.94355000%
75         | 538,158         | 5.38158000%
76         | 686,239         | 6.86239000%
77         | 818,619         | 8.18619000%
78         | 913,960         | 9.13960000%
79         | 961,636         | 9.61636000%
80         | 954,049         | 9.54049000%
81         | 891,646         | 8.91646000%
82         | 789,480         | 7.89480000%
83         | 663,225         | 6.63225000%
84         | 529,519         | 5.29519000%
85         | 401,856         | 4.01856000%
86         | 290,915         | 2.90915000%
87         | 200,744         | 2.00744000%
88         | 132,203         | 1.32203000%
89         | 83,274          | 0.83274000%
90         | 50,799          | 0.50799000%
91         | 29,678          | 0.29678000%
92         | 16,107          | 0.16107000%
93         | 8,868           | 0.08868000%
94         | 4,559           | 0.04559000%
95         | 2,222           | 0.02222000%
96         | 1,091           | 0.01091000%
97         | 470             | 0.00470000%
98         | 233             | 0.00233000%
99         | 106             | 0.00106000%
100        | 33              | 0.00033000%
101        | 14              | 0.00014000%
102        | 3               | 0.00003000%
103        | 4               | 0.00004000%
104        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
22         | 1               | 0.00001000%
23         | 3               | 0.00003000%
24         | 17              | 0.00017000%
25         | 63              | 0.00063000%
26         | 228             | 0.00228000%
27         | 669             | 0.00669000%
28         | 2,012           | 0.02012000%
29         | 5,426           | 0.05426000%
30         | 14,074          | 0.14074000%
31         | 32,245          | 0.32245000%
32         | 67,530          | 0.67530000%
33         | 131,531         | 1.31531000%
34         | 235,739         | 2.35739000%
35         | 384,146         | 3.84146000%
36         | 576,904         | 5.76904000%
37         | 790,966         | 7.90966000%
38         | 996,935         | 9.96935000%
39         | 1,145,771       | 11.45771000%
40         | 1,202,994       | 12.02994000%
41         | 1,155,390       | 11.55390000%
42         | 1,006,622       | 10.06622000%
43         | 806,546         | 8.06546000%
44         | 583,738         | 5.83738000%
45         | 388,169         | 3.88169000%
46         | 233,285         | 2.33285000%
47         | 127,851         | 1.27851000%
48         | 63,916          | 0.63916000%
49         | 28,832          | 0.28832000%
50         | 11,766          | 0.11766000%
51         | 4,455           | 0.04455000%
52         | 1,562           | 0.01562000%
53         | 451             | 0.00451000%
54         | 114             | 0.00114000%
55         | 42              | 0.00042000%
56         | 5               | 0.00005000%
57         | 1               | 0.00001000%
58         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 568,880         | 5.68880000%
1          | 986,510         | 9.86510000%
2          | 1,395,909       | 13.95909000%
3          | 1,600,523       | 16.00523000%
4          | 1,564,706       | 15.64706000%
5          | 1,334,399       | 13.34399000%
6          | 1,008,159       | 10.08159000%
7          | 681,391         | 6.81391000%
8          | 416,273         | 4.16273000%
9          | 232,880         | 2.32880000%
10         | 117,513         | 1.17513000%
11         | 54,925          | 0.54925000%
12         | 23,609          | 0.23609000%
13         | 9,241           | 0.09241000%
14         | 3,403           | 0.03403000%
15         | 1,170           | 0.01170000%
16         | 350             | 0.00350000%
17         | 116             | 0.00116000%
18         | 35              | 0.00035000%
19         | 7               | 0.00007000%
20         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.4553          |  0.0000% |  0.0166% |  0.9803% | 11.5968% | 38.7124% | 38.6945% |  9.5597% |  0.4396% |  0.0000%
 >= 6 copies | 3.5186          |  0.0098% |  0.8614% | 10.9802% | 36.9373% | 38.5752% | 11.8979% |  0.7326% |  0.0057% |  0.0000%
 >= 7 copies | 2.5873          |  0.5236% |  9.5850% | 36.0840% | 39.4192% | 13.2336% |  1.1428% |  0.0118% |  0.0000% |  0.0000%
