==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,650
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
75         | 2               | 0.00002000%
76         | 20              | 0.00020000%
77         | 132             | 0.00132000%
78         | 798             | 0.00798000%
79         | 3,241           | 0.03241000%
80         | 10,983          | 0.10983000%
81         | 30,221          | 0.30221000%
82         | 71,321          | 0.71321000%
83         | 145,526         | 1.45526000%
84         | 261,291         | 2.61291000%
85         | 418,873         | 4.18873000%
86         | 602,341         | 6.02341000%
87         | 791,003         | 7.91003000%
88         | 947,748         | 9.47748000%
89         | 1,046,927       | 10.46927000%
90         | 1,071,191       | 10.71191000%
91         | 1,021,987       | 10.21987000%
92         | 908,562         | 9.08562000%
93         | 761,742         | 7.61742000%
94         | 599,188         | 5.99188000%
95         | 447,389         | 4.47389000%
96         | 316,976         | 3.16976000%
97         | 213,947         | 2.13947000%
98         | 136,913         | 1.36913000%
99         | 84,102          | 0.84102000%
100        | 49,283          | 0.49283000%
101        | 28,020          | 0.28020000%
102        | 14,998          | 0.14998000%
103        | 7,838           | 0.07838000%
104        | 3,872           | 0.03872000%
105        | 1,960           | 0.01960000%
106        | 873             | 0.00873000%
107        | 406             | 0.00406000%
108        | 182             | 0.00182000%
109        | 80              | 0.00080000%
110        | 45              | 0.00045000%
111        | 11              | 0.00011000%
112        | 5               | 0.00005000%
113        | 1               | 0.00001000%
114        | 1               | 0.00001000%
117        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
44         | 5               | 0.00005000%
45         | 10              | 0.00010000%
46         | 83              | 0.00083000%
47         | 339             | 0.00339000%
48         | 1,327           | 0.01327000%
49         | 4,562           | 0.04562000%
50         | 13,424          | 0.13424000%
51         | 33,984          | 0.33984000%
52         | 76,211          | 0.76211000%
53         | 151,161         | 1.51161000%
54         | 268,406         | 2.68406000%
55         | 429,149         | 4.29149000%
56         | 619,307         | 6.19307000%
57         | 814,856         | 8.14856000%
58         | 980,196         | 9.80196000%
59         | 1,083,601       | 10.83601000%
60         | 1,108,654       | 11.08654000%
61         | 1,046,397       | 10.46397000%
62         | 919,936         | 9.19936000%
63         | 754,568         | 7.54568000%
64         | 578,327         | 5.78327000%
65         | 415,940         | 4.15940000%
66         | 282,123         | 2.82123000%
67         | 180,507         | 1.80507000%
68         | 108,720         | 1.08720000%
69         | 61,870          | 0.61870000%
70         | 33,513          | 0.33513000%
71         | 17,226          | 0.17226000%
72         | 8,479           | 0.08479000%
73         | 4,108           | 0.04108000%
74         | 1,754           | 0.01754000%
75         | 740             | 0.00740000%
76         | 322             | 0.00322000%
77         | 123             | 0.00123000%
78         | 44              | 0.00044000%
79         | 15              | 0.00015000%
80         | 11              | 0.00011000%
81         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
14         | 1               | 0.00001000%
15         | 1               | 0.00001000%
16         | 13              | 0.00013000%
17         | 59              | 0.00059000%
18         | 271             | 0.00271000%
19         | 965             | 0.00965000%
20         | 3,140           | 0.03140000%
21         | 9,532           | 0.09532000%
22         | 26,044          | 0.26044000%
23         | 63,888          | 0.63888000%
24         | 139,298         | 1.39298000%
25         | 272,875         | 2.72875000%
26         | 475,363         | 4.75363000%
27         | 737,580         | 7.37580000%
28         | 1,024,568       | 10.24568000%
29         | 1,257,728       | 12.57728000%
30         | 1,376,934       | 13.76934000%
31         | 1,337,781       | 13.37781000%
32         | 1,148,304       | 11.48304000%
33         | 873,944         | 8.73944000%
34         | 586,151         | 5.86151000%
35         | 347,752         | 3.47752000%
36         | 181,884         | 1.81884000%
37         | 84,083          | 0.84083000%
38         | 34,371          | 0.34371000%
39         | 12,190          | 0.12190000%
40         | 3,860           | 0.03860000%
41         | 1,097           | 0.01097000%
42         | 264             | 0.00264000%
43         | 46              | 0.00046000%
44         | 12              | 0.00012000%
46         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 4,741,995       | 47.41995000%
1          | 2,279,804       | 22.79804000%
2          | 1,494,085       | 14.94085000%
3          | 828,050         | 8.28050000%
4          | 396,666         | 3.96666000%
5          | 167,481         | 1.67481000%
6          | 62,538          | 0.62538000%
7          | 20,698          | 0.20698000%
8          | 6,379           | 0.06379000%
9          | 1,766           | 0.01766000%
10         | 402             | 0.00402000%
11         | 121             | 0.00121000%
12         | 12              | 0.00012000%
13         | 3               | 0.00003000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.0420          |  0.0967% |  3.5392% | 23.2062% | 43.1303% | 25.4398% |  4.4277% |  0.1595% |  0.0006% |  0.0000%
 >= 6 copies | 1.9941          |  3.0546% | 25.0553% | 44.9927% | 23.3296% |  3.4541% |  0.1132% |  0.0004% |  0.0000% |  0.0000%
 >= 7 copies | 1.1700          | 19.0303% | 49.1518% | 27.7285% |  3.9651% |  0.1238% |  0.0004% |  0.0000% |  0.0000% |  0.0000%
