==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,210
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
113        | 9               | 0.00009000%
114        | 43              | 0.00043000%
115        | 127             | 0.00127000%
116        | 557             | 0.00557000%
117        | 1,642           | 0.01642000%
118        | 4,529           | 0.04529000%
119        | 10,944          | 0.10944000%
120        | 23,956          | 0.23956000%
121        | 48,765          | 0.48765000%
122        | 88,402          | 0.88402000%
123        | 150,071         | 1.50071000%
124        | 234,195         | 2.34195000%
125        | 341,594         | 3.41594000%
126        | 466,528         | 4.66528000%
127        | 593,372         | 5.93372000%
128        | 713,439         | 7.13439000%
129        | 810,107         | 8.10107000%
130        | 873,534         | 8.73534000%
131        | 890,216         | 8.90216000%
132        | 864,034         | 8.64034000%
133        | 799,222         | 7.99222000%
134        | 708,651         | 7.08651000%
135        | 600,757         | 6.00757000%
136        | 488,494         | 4.88494000%
137        | 381,365         | 3.81365000%
138        | 288,406         | 2.88406000%
139        | 208,632         | 2.08632000%
140        | 145,624         | 1.45624000%
141        | 98,530          | 0.98530000%
142        | 64,906          | 0.64906000%
143        | 40,463          | 0.40463000%
144        | 25,178          | 0.25178000%
145        | 14,862          | 0.14862000%
146        | 8,477           | 0.08477000%
147        | 4,853           | 0.04853000%
148        | 2,651           | 0.02651000%
149        | 1,396           | 0.01396000%
150        | 750             | 0.00750000%
151        | 386             | 0.00386000%
152        | 184             | 0.00184000%
153        | 78              | 0.00078000%
154        | 43              | 0.00043000%
155        | 16              | 0.00016000%
156        | 7               | 0.00007000%
157        | 3               | 0.00003000%
158        | 1               | 0.00001000%
160        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
68         | 4               | 0.00004000%
69         | 6               | 0.00006000%
70         | 39              | 0.00039000%
71         | 161             | 0.00161000%
72         | 540             | 0.00540000%
73         | 1,518           | 0.01518000%
74         | 3,922           | 0.03922000%
75         | 9,425           | 0.09425000%
76         | 20,332          | 0.20332000%
77         | 41,007          | 0.41007000%
78         | 75,698          | 0.75698000%
79         | 130,306         | 1.30306000%
80         | 208,238         | 2.08238000%
81         | 310,936         | 3.10936000%
82         | 434,368         | 4.34368000%
83         | 567,477         | 5.67477000%
84         | 699,653         | 6.99653000%
85         | 811,441         | 8.11441000%
86         | 888,826         | 8.88826000%
87         | 920,645         | 9.20645000%
88         | 904,102         | 9.04102000%
89         | 842,605         | 8.42605000%
90         | 747,277         | 7.47277000%
91         | 630,706         | 6.30706000%
92         | 508,661         | 5.08661000%
93         | 392,104         | 3.92104000%
94         | 289,125         | 2.89125000%
95         | 203,556         | 2.03556000%
96         | 137,139         | 1.37139000%
97         | 89,054          | 0.89054000%
98         | 55,727          | 0.55727000%
99         | 33,629          | 0.33629000%
100        | 19,470          | 0.19470000%
101        | 10,666          | 0.10666000%
102        | 5,781           | 0.05781000%
103        | 3,016           | 0.03016000%
104        | 1,502           | 0.01502000%
105        | 706             | 0.00706000%
106        | 353             | 0.00353000%
107        | 165             | 0.00165000%
108        | 61              | 0.00061000%
109        | 29              | 0.00029000%
110        | 12              | 0.00012000%
111        | 4               | 0.00004000%
112        | 6               | 0.00006000%
113        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
25         | 1               | 0.00001000%
26         | 4               | 0.00004000%
27         | 12              | 0.00012000%
28         | 48              | 0.00048000%
29         | 146             | 0.00146000%
30         | 483             | 0.00483000%
31         | 1,435           | 0.01435000%
32         | 3,635           | 0.03635000%
33         | 9,202           | 0.09202000%
34         | 21,251          | 0.21251000%
35         | 44,458          | 0.44458000%
36         | 88,325          | 0.88325000%
37         | 160,970         | 1.60970000%
38         | 270,614         | 2.70614000%
39         | 420,841         | 4.20841000%
40         | 604,881         | 6.04881000%
41         | 802,804         | 8.02804000%
42         | 981,766         | 9.81766000%
43         | 1,107,564       | 11.07564000%
44         | 1,149,373       | 11.49373000%
45         | 1,096,947       | 10.96947000%
46         | 963,143         | 9.63143000%
47         | 778,537         | 7.78537000%
48         | 577,074         | 5.77074000%
49         | 393,231         | 3.93231000%
50         | 246,151         | 2.46151000%
51         | 140,958         | 1.40958000%
52         | 74,615          | 0.74615000%
53         | 35,459          | 0.35459000%
54         | 16,041          | 0.16041000%
55         | 6,504           | 0.06504000%
56         | 2,365           | 0.02365000%
57         | 798             | 0.00798000%
58         | 271             | 0.00271000%
59         | 69              | 0.00069000%
60         | 20              | 0.00020000%
61         | 4               | 0.00004000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 137,858         | 1.37858000%
1          | 353,159         | 3.53159000%
2          | 664,530         | 6.64530000%
3          | 1,001,079       | 10.01079000%
4          | 1,268,255       | 12.68255000%
5          | 1,398,626       | 13.98626000%
6          | 1,366,655       | 13.66655000%
7          | 1,191,644       | 11.91644000%
8          | 941,107         | 9.41107000%
9          | 676,579         | 6.76579000%
10         | 445,218         | 4.45218000%
11         | 268,182         | 2.68182000%
12         | 148,716         | 1.48716000%
13         | 76,347          | 0.76347000%
14         | 35,874          | 0.35874000%
15         | 15,966          | 0.15966000%
16         | 6,439           | 0.06439000%
17         | 2,458           | 0.02458000%
18         | 890             | 0.00890000%
19         | 285             | 0.00285000%
20         | 96              | 0.00096000%
21         | 28              | 0.00028000%
22         | 7               | 0.00007000%
23         | 2               | 0.00002000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.8626          |  0.0000% |  0.0012% |  0.1813% |  4.4014% | 27.1080% | 47.1805% | 19.5403% |  1.5873% |  0.0000%
 >= 6 copies | 4.0210          |  0.0004% |  0.1225% |  3.4723% | 22.8538% | 44.5948% | 25.7045% |  3.1927% |  0.0590% |  0.0000%
 >= 7 copies | 3.1395          |  0.0609% |  2.6383% | 20.2015% | 43.0807% | 28.5741% |  5.2957% |  0.1485% |  0.0004% |  0.0000%
