==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,050
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
80         | 1               | 0.00001000%
82         | 22              | 0.00022000%
83         | 180             | 0.00180000%
84         | 874             | 0.00874000%
85         | 3,280           | 0.03280000%
86         | 10,199          | 0.10199000%
87         | 27,397          | 0.27397000%
88         | 62,640          | 0.62640000%
89         | 126,812         | 1.26812000%
90         | 228,215         | 2.28215000%
91         | 365,055         | 3.65055000%
92         | 533,214         | 5.33214000%
93         | 709,282         | 7.09282000%
94         | 868,753         | 8.68753000%
95         | 982,749         | 9.82749000%
96         | 1,036,617       | 10.36617000%
97         | 1,017,476       | 10.17476000%
98         | 935,567         | 9.35567000%
99         | 810,126         | 8.10126000%
100        | 664,981         | 6.64981000%
101        | 515,646         | 5.15646000%
102        | 379,268         | 3.79268000%
103        | 266,416         | 2.66416000%
104        | 178,781         | 1.78781000%
105        | 115,133         | 1.15133000%
106        | 70,094          | 0.70094000%
107        | 41,533          | 0.41533000%
108        | 23,482          | 0.23482000%
109        | 12,841          | 0.12841000%
110        | 6,701           | 0.06701000%
111        | 3,487           | 0.03487000%
112        | 1,689           | 0.01689000%
113        | 815             | 0.00815000%
114        | 369             | 0.00369000%
115        | 170             | 0.00170000%
116        | 83              | 0.00083000%
117        | 32              | 0.00032000%
118        | 13              | 0.00013000%
119        | 5               | 0.00005000%
120        | 1               | 0.00001000%
124        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
47         | 1               | 0.00001000%
48         | 6               | 0.00006000%
49         | 21              | 0.00021000%
50         | 116             | 0.00116000%
51         | 450             | 0.00450000%
52         | 1,632           | 0.01632000%
53         | 4,922           | 0.04922000%
54         | 14,041          | 0.14041000%
55         | 34,156          | 0.34156000%
56         | 74,461          | 0.74461000%
57         | 143,622         | 1.43622000%
58         | 249,924         | 2.49924000%
59         | 396,577         | 3.96577000%
60         | 572,199         | 5.72199000%
61         | 754,684         | 7.54684000%
62         | 917,552         | 9.17552000%
63         | 1,029,990       | 10.29990000%
64         | 1,072,828       | 10.72828000%
65         | 1,039,680       | 10.39680000%
66         | 936,402         | 9.36402000%
67         | 792,295         | 7.92295000%
68         | 628,179         | 6.28179000%
69         | 468,194         | 4.68194000%
70         | 329,920         | 3.29920000%
71         | 219,862         | 2.19862000%
72         | 138,462         | 1.38462000%
73         | 82,777          | 0.82777000%
74         | 46,617          | 0.46617000%
75         | 25,395          | 0.25395000%
76         | 13,158          | 0.13158000%
77         | 6,416           | 0.06416000%
78         | 3,078           | 0.03078000%
79         | 1,405           | 0.01405000%
80         | 572             | 0.00572000%
81         | 245             | 0.00245000%
82         | 100             | 0.00100000%
83         | 40              | 0.00040000%
84         | 15              | 0.00015000%
85         | 4               | 0.00004000%
87         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
16         | 1               | 0.00001000%
17         | 4               | 0.00004000%
18         | 21              | 0.00021000%
19         | 98              | 0.00098000%
20         | 359             | 0.00359000%
21         | 1,217           | 0.01217000%
22         | 3,820           | 0.03820000%
23         | 11,041          | 0.11041000%
24         | 28,752          | 0.28752000%
25         | 67,340          | 0.67340000%
26         | 141,518         | 1.41518000%
27         | 269,280         | 2.69280000%
28         | 460,852         | 4.60852000%
29         | 705,367         | 7.05367000%
30         | 972,867         | 9.72867000%
31         | 1,201,378       | 12.01378000%
32         | 1,323,554       | 13.23554000%
33         | 1,309,572       | 13.09572000%
34         | 1,153,982       | 11.53982000%
35         | 908,128         | 9.08128000%
36         | 636,742         | 6.36742000%
37         | 398,184         | 3.98184000%
38         | 220,854         | 2.20854000%
39         | 108,714         | 1.08714000%
40         | 48,224          | 0.48224000%
41         | 18,861          | 0.18861000%
42         | 6,493           | 0.06493000%
43         | 2,059           | 0.02059000%
44         | 555             | 0.00555000%
45         | 140             | 0.00140000%
46         | 19              | 0.00019000%
47         | 3               | 0.00003000%
49         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 3,478,877       | 34.78877000%
1          | 2,325,858       | 23.25858000%
2          | 1,803,121       | 18.03121000%
3          | 1,174,795       | 11.74795000%
4          | 661,652         | 6.61652000%
5          | 326,769         | 3.26769000%
6          | 143,584         | 1.43584000%
7          | 56,308          | 0.56308000%
8          | 20,034          | 0.20034000%
9          | 6,336           | 0.06336000%
10         | 2,003           | 0.02003000%
11         | 496             | 0.00496000%
12         | 129             | 0.00129000%
13         | 32              | 0.00032000%
14         | 6               | 0.00006000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.3988          |  0.0196% |  1.3202% | 13.8399% | 39.2737% | 35.2828% |  9.6619% |  0.5969% |  0.0049% |  0.0000%
 >= 6 copies | 2.3458          |  1.1311% | 14.9106% | 41.4827% | 33.7082% |  8.2561% |  0.5074% |  0.0039% |  0.0000% |  0.0000%
 >= 7 copies | 1.4628          | 10.7155% | 42.3646% | 37.3922% |  8.9868% |  0.5358% |  0.0051% |  0.0000% |  0.0000% |  0.0000%
