==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,490
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
131        | 2               | 0.00002000%
132        | 6               | 0.00006000%
133        | 33              | 0.00033000%
134        | 106             | 0.00106000%
135        | 362             | 0.00362000%
136        | 1,144           | 0.01144000%
137        | 2,803           | 0.02803000%
138        | 6,549           | 0.06549000%
139        | 14,409          | 0.14409000%
140        | 28,511          | 0.28511000%
141        | 52,469          | 0.52469000%
142        | 89,854          | 0.89854000%
143        | 144,646         | 1.44646000%
144        | 218,561         | 2.18561000%
145        | 310,217         | 3.10217000%
146        | 414,319         | 4.14319000%
147        | 524,862         | 5.24862000%
148        | 632,711         | 6.32711000%
149        | 724,662         | 7.24662000%
150        | 790,980         | 7.90980000%
151        | 823,862         | 8.23862000%
152        | 822,698         | 8.22698000%
153        | 787,436         | 7.87436000%
154        | 722,467         | 7.22467000%
155        | 639,144         | 6.39144000%
156        | 543,966         | 5.43966000%
157        | 445,701         | 4.45701000%
158        | 354,390         | 3.54390000%
159        | 270,910         | 2.70910000%
160        | 201,547         | 2.01547000%
161        | 144,947         | 1.44947000%
162        | 100,794         | 1.00794000%
163        | 68,088          | 0.68088000%
164        | 45,089          | 0.45089000%
165        | 28,828          | 0.28828000%
166        | 17,687          | 0.17687000%
167        | 10,759          | 0.10759000%
168        | 6,354           | 0.06354000%
169        | 3,611           | 0.03611000%
170        | 2,182           | 0.02182000%
171        | 1,102           | 0.01102000%
172        | 594             | 0.00594000%
173        | 325             | 0.00325000%
174        | 165             | 0.00165000%
175        | 78              | 0.00078000%
176        | 43              | 0.00043000%
177        | 9               | 0.00009000%
178        | 9               | 0.00009000%
179        | 4               | 0.00004000%
180        | 4               | 0.00004000%
181        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
79         | 1               | 0.00001000%
80         | 2               | 0.00002000%
81         | 7               | 0.00007000%
82         | 23              | 0.00023000%
83         | 112             | 0.00112000%
84         | 316             | 0.00316000%
85         | 792             | 0.00792000%
86         | 2,227           | 0.02227000%
87         | 4,991           | 0.04991000%
88         | 10,492          | 0.10492000%
