==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,650
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
104        | 3               | 0.00003000%
105        | 15              | 0.00015000%
106        | 49              | 0.00049000%
107        | 233             | 0.00233000%
108        | 896             | 0.00896000%
109        | 2,754           | 0.02754000%
110        | 7,341           | 0.07341000%
111        | 17,546          | 0.17546000%
112        | 38,161          | 0.38161000%
113        | 75,061          | 0.75061000%
114        | 132,503         | 1.32503000%
115        | 216,981         | 2.16981000%
116        | 325,693         | 3.25693000%
117        | 455,694         | 4.55694000%
118        | 595,333         | 5.95333000%
119        | 725,191         | 7.25191000%
120        | 832,692         | 8.32692000%
121        | 902,222         | 9.02222000%
122        | 922,478         | 9.22478000%
123        | 894,065         | 8.94065000%
124        | 824,234         | 8.24234000%
125        | 722,962         | 7.22962000%
126        | 607,176         | 6.07176000%
127        | 486,333         | 4.86333000%
128        | 375,687         | 3.75687000%
129        | 277,276         | 2.77276000%
130        | 197,606         | 1.97606000%
131        | 135,102         | 1.35102000%
132        | 89,121          | 0.89121000%
133        | 56,742          | 0.56742000%
134        | 35,414          | 0.35414000%
135        | 20,838          | 0.20838000%
136        | 12,225          | 0.12225000%
137        | 6,788           | 0.06788000%
138        | 3,681           | 0.03681000%
139        | 1,926           | 0.01926000%
140        | 1,002           | 0.01002000%
141        | 509             | 0.00509000%
142        | 240             | 0.00240000%
143        | 132             | 0.00132000%
144        | 55              | 0.00055000%
145        | 26              | 0.00026000%
146        | 7               | 0.00007000%
147        | 5               | 0.00005000%
148        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
61         | 1               | 0.00001000%
63         | 4               | 0.00004000%
64         | 15              | 0.00015000%
65         | 59              | 0.00059000%
66         | 266             | 0.00266000%
67         | 907             | 0.00907000%
68         | 2,514           | 0.02514000%
69         | 6,523           | 0.06523000%
70         | 15,212          | 0.15212000%
71         | 32,335          | 0.32335000%
72         | 63,655          | 0.63655000%
73         | 114,997         | 1.14997000%
74         | 190,523         | 1.90523000%
75         | 295,094         | 2.95094000%
76         | 422,340         | 4.22340000%
77         | 565,749         | 5.65749000%
78         | 709,256         | 7.09256000%
79         | 830,249         | 8.30249000%
80         | 918,535         | 9.18535000%
81         | 953,660         | 9.53660000%
82         | 937,083         | 9.37083000%
83         | 868,224         | 8.68224000%
84         | 762,880         | 7.62880000%
85         | 636,598         | 6.36598000%
86         | 506,693         | 5.06693000%
87         | 383,857         | 3.83857000%
88         | 277,192         | 2.77192000%
89         | 191,326         | 1.91326000%
90         | 125,444         | 1.25444000%
91         | 79,511          | 0.79511000%
92         | 48,423          | 0.48423000%
93         | 28,150          | 0.28150000%
94         | 15,707          | 0.15707000%
95         | 8,551           | 0.08551000%
96         | 4,339           | 0.04339000%
97         | 2,229           | 0.02229000%
98         | 1,027           | 0.01027000%
99         | 493             | 0.00493000%
100        | 220             | 0.00220000%
101        | 99              | 0.00099000%
102        | 34              | 0.00034000%
103        | 14              | 0.00014000%
104        | 4               | 0.00004000%
105        | 6               | 0.00006000%
106        | 1               | 0.00001000%
107        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
24         | 7               | 0.00007000%
25         | 14              | 0.00014000%
26         | 104             | 0.00104000%
27         | 269             | 0.00269000%
28         | 887             | 0.00887000%
29         | 2,505           | 0.02505000%
30         | 6,717           | 0.06717000%
31         | 16,520          | 0.16520000%
32         | 36,857          | 0.36857000%
33         | 75,857          | 0.75857000%
34         | 143,871         | 1.43871000%
35         | 252,882         | 2.52882000%
36         | 405,185         | 4.05185000%
37         | 598,420         | 5.98420000%
38         | 808,746         | 8.08746000%
39         | 1,004,901       | 10.04901000%
40         | 1,142,347       | 11.42347000%
41         | 1,190,515       | 11.90515000%
42         | 1,134,722       | 11.34722000%
43         | 983,804         | 9.83804000%
44         | 784,603         | 7.84603000%
45         | 568,787         | 5.68787000%
46         | 377,347         | 3.77347000%
47         | 227,803         | 2.27803000%
48         | 125,889         | 1.25889000%
49         | 62,783          | 0.62783000%
50         | 28,818          | 0.28818000%
51         | 12,012          | 0.12012000%
52         | 4,593           | 0.04593000%
53         | 1,588           | 0.01588000%
54         | 473             | 0.00473000%
55         | 127             | 0.00127000%
56         | 37              | 0.00037000%
57         | 7               | 0.00007000%
58         | 3               | 0.00003000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 422,937         | 4.22937000%
1          | 805,582         | 8.05582000%
2          | 1,219,013       | 12.19013000%
3          | 1,492,085       | 14.92085000%
4          | 1,552,750       | 15.52750000%
5          | 1,407,603       | 14.07603000%
6          | 1,130,384       | 11.30384000%
7          | 813,889         | 8.13889000%
8          | 527,225         | 5.27225000%
9          | 312,728         | 3.12728000%
10         | 168,694         | 1.68694000%
11         | 83,363          | 0.83363000%
12         | 38,223          | 0.38223000%
13         | 16,042          | 0.16042000%
14         | 6,217           | 0.06217000%
15         | 2,170           | 0.02170000%
