==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,940
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
107        | 1               | 0.00001000%
109        | 11              | 0.00011000%
110        | 35              | 0.00035000%
111        | 146             | 0.00146000%
112        | 563             | 0.00563000%
113        | 1,832           | 0.01832000%
114        | 5,014           | 0.05014000%
115        | 12,102          | 0.12102000%
116        | 27,196          | 0.27196000%
117        | 54,655          | 0.54655000%
118        | 99,171          | 0.99171000%
119        | 167,683         | 1.67683000%
120        | 260,280         | 2.60280000%
121        | 376,052         | 3.76052000%
122        | 506,912         | 5.06912000%
123        | 639,306         | 6.39306000%
124        | 756,247         | 7.56247000%
125        | 848,300         | 8.48300000%
126        | 897,563         | 8.97563000%
127        | 901,581         | 9.01581000%
128        | 859,147         | 8.59147000%
129        | 781,299         | 7.81299000%
130        | 678,997         | 6.78997000%
131        | 564,521         | 5.64521000%
132        | 449,343         | 4.49343000%
133        | 344,541         | 3.44541000%
134        | 254,003         | 2.54003000%
135        | 180,597         | 1.80597000%
136        | 122,995         | 1.22995000%
137        | 81,380          | 0.81380000%
138        | 52,177          | 0.52177000%
139        | 32,420          | 0.32420000%
140        | 19,193          | 0.19193000%
141        | 11,204          | 0.11204000%
142        | 6,255           | 0.06255000%
143        | 3,497           | 0.03497000%
144        | 1,882           | 0.01882000%
145        | 945             | 0.00945000%
146        | 491             | 0.00491000%
147        | 244             | 0.00244000%
148        | 132             | 0.00132000%
149        | 56              | 0.00056000%
150        | 22              | 0.00022000%
151        | 3               | 0.00003000%
152        | 4               | 0.00004000%
154        | 1               | 0.00001000%
156        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
64         | 1               | 0.00001000%
66         | 4               | 0.00004000%
67         | 15              | 0.00015000%
68         | 103             | 0.00103000%
69         | 334             | 0.00334000%
70         | 1,074           | 0.01074000%
71         | 2,887           | 0.02887000%
72         | 7,190           | 0.07190000%
73         | 16,559          | 0.16559000%
74         | 34,085          | 0.34085000%
75         | 65,588          | 0.65588000%
76         | 115,950         | 1.15950000%
77         | 190,591         | 1.90591000%
78         | 292,157         | 2.92157000%
79         | 413,814         | 4.13814000%
80         | 551,835         | 5.51835000%
81         | 690,467         | 6.90467000%
82         | 810,148         | 8.10148000%
83         | 895,479         | 8.95479000%
84         | 934,108         | 9.34108000%
85         | 924,709         | 9.24709000%
86         | 863,749         | 8.63749000%
87         | 765,238         | 7.65238000%
88         | 647,447         | 6.47447000%
89         | 522,167         | 5.22167000%
90         | 399,748         | 3.99748000%
91         | 294,132         | 2.94132000%
92         | 206,041         | 2.06041000%
93         | 138,186         | 1.38186000%
94         | 88,372          | 0.88372000%
95         | 55,210          | 0.55210000%
96         | 32,778          | 0.32778000%
97         | 18,506          | 0.18506000%
98         | 10,511          | 0.10511000%
99         | 5,494           | 0.05494000%
100        | 2,759           | 0.02759000%
101        | 1,390           | 0.01390000%
102        | 630             | 0.00630000%
103        | 312             | 0.00312000%
104        | 130             | 0.00130000%
105        | 60              | 0.00060000%
106        | 19              | 0.00019000%
107        | 12              | 0.00012000%
108        | 8               | 0.00008000%
109        | 1               | 0.00001000%
110        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
24         | 1               | 0.00001000%
25         | 4               | 0.00004000%
26         | 13              | 0.00013000%
27         | 66              | 0.00066000%
28         | 214             | 0.00214000%
29         | 598             | 0.00598000%
30         | 1,789           | 0.01789000%
31         | 4,751           | 0.04751000%
32         | 11,778          | 0.11778000%
33         | 26,870          | 0.26870000%
34         | 56,495          | 0.56495000%
35         | 109,552         | 1.09552000%
36         | 196,820         | 1.96820000%
37         | 324,498         | 3.24498000%
