==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,950
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
79         | 1               | 0.00001000%
80         | 7               | 0.00007000%
81         | 47              | 0.00047000%
82         | 425             | 0.00425000%
83         | 1,704           | 0.01704000%
84         | 5,998           | 0.05998000%
85         | 17,507          | 0.17507000%
86         | 43,173          | 0.43173000%
87         | 93,494          | 0.93494000%
88         | 178,693         | 1.78693000%
89         | 302,970         | 3.02970000%
90         | 460,689         | 4.60689000%
91         | 639,860         | 6.39860000%
92         | 813,174         | 8.13174000%
93         | 950,701         | 9.50701000%
94         | 1,031,038       | 10.31038000%
95         | 1,041,945       | 10.41945000%
96         | 981,962         | 9.81962000%
97         | 869,100         | 8.69100000%
98         | 724,950         | 7.24950000%
99         | 573,327         | 5.73327000%
100        | 428,647         | 4.28647000%
101        | 304,784         | 3.04784000%
102        | 208,191         | 2.08191000%
103        | 133,956         | 1.33956000%
104        | 83,703          | 0.83703000%
105        | 49,367          | 0.49367000%
106        | 28,580          | 0.28580000%
107        | 15,624          | 0.15624000%
108        | 8,149           | 0.08149000%
109        | 4,274           | 0.04274000%
110        | 2,152           | 0.02152000%
111        | 968             | 0.00968000%
112        | 456             | 0.00456000%
113        | 212             | 0.00212000%
114        | 113             | 0.00113000%
115        | 35              | 0.00035000%
116        | 14              | 0.00014000%
117        | 4               | 0.00004000%
118        | 5               | 0.00005000%
121        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
46         | 1               | 0.00001000%
47         | 1               | 0.00001000%
48         | 25              | 0.00025000%
49         | 95              | 0.00095000%
50         | 430             | 0.00430000%
51         | 1,509           | 0.01509000%
52         | 4,926           | 0.04926000%
53         | 13,813          | 0.13813000%
54         | 33,947          | 0.33947000%
55         | 74,776          | 0.74776000%
56         | 146,113         | 1.46113000%
