==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,080
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
111        | 10              | 0.00010000%
112        | 30              | 0.00030000%
113        | 125             | 0.00125000%
114        | 517             | 0.00517000%
115        | 1,574           | 0.01574000%
116        | 4,476           | 0.04476000%
117        | 10,787          | 0.10787000%
118        | 23,934          | 0.23934000%
119        | 49,541          | 0.49541000%
120        | 89,582          | 0.89582000%
121        | 152,240         | 1.52240000%
122        | 239,458         | 2.39458000%
123        | 348,518         | 3.48518000%
124        | 475,487         | 4.75487000%
125        | 606,425         | 6.06425000%
126        | 725,756         | 7.25756000%
127        | 822,338         | 8.22338000%
128        | 883,098         | 8.83098000%
129        | 897,275         | 8.97275000%
130        | 865,871         | 8.65871000%
131        | 798,355         | 7.98355000%
132        | 702,540         | 7.02540000%
133        | 591,601         | 5.91601000%
134        | 478,597         | 4.78597000%
135        | 370,924         | 3.70924000%
136        | 278,451         | 2.78451000%
137        | 199,250         | 1.99250000%
138        | 138,583         | 1.38583000%
139        | 93,054          | 0.93054000%
140        | 60,483          | 0.60483000%
141        | 37,834          | 0.37834000%
142        | 22,878          | 0.22878000%
143        | 13,654          | 0.13654000%
144        | 7,605           | 0.07605000%
145        | 4,316           | 0.04316000%
146        | 2,372           | 0.02372000%
147        | 1,221           | 0.01221000%
148        | 652             | 0.00652000%
149        | 300             | 0.00300000%
150        | 160             | 0.00160000%
151        | 68              | 0.00068000%
152        | 37              | 0.00037000%
153        | 16              | 0.00016000%
154        | 4               | 0.00004000%
155        | 1               | 0.00001000%
156        | 1               | 0.00001000%
158        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
66         | 1               | 0.00001000%
67         | 2               | 0.00002000%
68         | 11              | 0.00011000%
69         | 66              | 0.00066000%
70         | 206             | 0.00206000%
71         | 736             | 0.00736000%
72         | 1,971           | 0.01971000%
73         | 5,129           | 0.05129000%
74         | 12,023          | 0.12023000%
75         | 25,534          | 0.25534000%
76         | 50,246          | 0.50246000%
77         | 91,397          | 0.91397000%
78         | 154,483         | 1.54483000%
79         | 242,086         | 2.42086000%
80         | 354,395         | 3.54395000%
81         | 483,386         | 4.83386000%
82         | 621,692         | 6.21692000%
83         | 750,292         | 7.50292000%
84         | 852,641         | 8.52641000%
85         | 913,378         | 9.13378000%
86         | 926,795         | 9.26795000%
87         | 891,825         | 8.91825000%
88         | 813,721         | 8.13721000%
89         | 705,927         | 7.05927000%
90         | 582,634         | 5.82634000%
91         | 461,584         | 4.61584000%
92         | 347,812         | 3.47812000%
93         | 249,965         | 2.49965000%
94         | 172,440         | 1.72440000%
95         | 113,847         | 1.13847000%
96         | 72,332          | 0.72332000%
97         | 44,241          | 0.44241000%
98         | 26,079          | 0.26079000%
99         | 14,791          | 0.14791000%
100        | 8,100           | 0.08100000%
101        | 4,141           | 0.04141000%
