==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,430
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
85         | 1               | 0.00001000%
86         | 1               | 0.00001000%
87         | 6               | 0.00006000%
88         | 60              | 0.00060000%
89         | 321             | 0.00321000%
90         | 1,336           | 0.01336000%
91         | 4,526           | 0.04526000%
92         | 12,745          | 0.12745000%
93         | 32,002          | 0.32002000%
94         | 69,440          | 0.69440000%
95         | 134,453         | 1.34453000%
96         | 233,065         | 2.33065000%
97         | 365,019         | 3.65019000%
98         | 523,054         | 5.23054000%
99         | 688,868         | 6.88868000%
100        | 838,952         | 8.38952000%
101        | 949,525         | 9.49525000%
102        | 1,000,693       | 10.00693000%
103        | 993,903         | 9.93903000%
104        | 922,729         | 9.22729000%
105        | 810,059         | 8.10059000%
106        | 673,963         | 6.73963000%
107        | 533,305         | 5.33305000%
108        | 402,041         | 4.02041000%
109        | 287,182         | 2.87182000%
110        | 198,029         | 1.98029000%
111        | 129,589         | 1.29589000%
112        | 81,953          | 0.81953000%
113        | 49,698          | 0.49698000%
114        | 29,172          | 0.29172000%
115        | 16,182          | 0.16182000%
116        | 8,961           | 0.08961000%
117        | 4,612           | 0.04612000%
118        | 2,372           | 0.02372000%
119        | 1,129           | 0.01129000%
120        | 556             | 0.00556000%
121        | 286             | 0.00286000%
122        | 116             | 0.00116000%
123        | 63              | 0.00063000%
124        | 19              | 0.00019000%
125        | 8               | 0.00008000%
126        | 3               | 0.00003000%
127        | 2               | 0.00002000%
129        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
51         | 1               | 0.00001000%
52         | 9               | 0.00009000%
53         | 39              | 0.00039000%
54         | 194             | 0.00194000%
55         | 703             | 0.00703000%
56         | 2,290           | 0.02290000%
57         | 6,738           | 0.06738000%
58         | 17,502          | 0.17502000%
59         | 39,928          | 0.39928000%
60         | 82,620          | 0.82620000%
61         | 152,357         | 1.52357000%
62         | 258,139         | 2.58139000%
63         | 400,100         | 4.00100000%
64         | 565,082         | 5.65082000%
65         | 737,480         | 7.37480000%
66         | 889,819         | 8.89819000%
67         | 996,744         | 9.96744000%
68         | 1,039,423       | 10.39423000%
69         | 1,014,468       | 10.14468000%
70         | 924,109         | 9.24109000%
71         | 792,478         | 7.92478000%
72         | 638,459         | 6.38459000%
73         | 484,765         | 4.84765000%
74         | 349,574         | 3.49574000%
75         | 239,086         | 2.39086000%
76         | 153,609         | 1.53609000%
77         | 94,997          | 0.94997000%
78         | 55,235          | 0.55235000%
79         | 31,348          | 0.31348000%
80         | 16,704          | 0.16704000%
81         | 8,438           | 0.08438000%
82         | 4,129           | 0.04129000%
83         | 1,935           | 0.01935000%
84         | 844             | 0.00844000%
85         | 404             | 0.00404000%
86         | 149             | 0.00149000%
87         | 59              | 0.00059000%
88         | 27              | 0.00027000%
89         | 10              | 0.00010000%
90         | 3               | 0.00003000%
92         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
19         | 10              | 0.00010000%
20         | 32              | 0.00032000%
21         | 135             | 0.00135000%
22         | 540             | 0.00540000%
23         | 1,662           | 0.01662000%
24         | 5,067           | 0.05067000%
25         | 13,612          | 0.13612000%
26         | 33,756          | 0.33756000%
27         | 75,596          | 0.75596000%
28         | 152,310         | 1.52310000%
29         | 281,700         | 2.81700000%
30         | 467,534         | 4.67534000%
31         | 703,203         | 7.03203000%
32         | 953,297         | 9.53297000%
33         | 1,165,968       | 11.65968000%
34         | 1,284,989       | 12.84989000%
35         | 1,273,435       | 12.73435000%
36         | 1,136,845       | 11.36845000%
37         | 908,154         | 9.08154000%
38         | 654,667         | 6.54667000%
39         | 422,227         | 4.22227000%
40         | 243,400         | 2.43400000%
41         | 125,775         | 1.25775000%
42         | 58,592          | 0.58592000%
43         | 24,384          | 0.24384000%
44         | 8,969           | 0.08969000%
45         | 2,959           | 0.02959000%
46         | 882             | 0.00882000%
47         | 238             | 0.00238000%
48         | 52              | 0.00052000%
49         | 7               | 0.00007000%
50         | 2               | 0.00002000%
51         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 2,407,932       | 24.07932000%
1          | 2,139,448       | 21.39448000%
2          | 1,951,104       | 19.51104000%
3          | 1,482,628       | 14.82628000%
4          | 966,776         | 9.66776000%
5          | 556,011         | 5.56011000%
6          | 283,215         | 2.83215000%
7          | 129,878         | 1.29878000%
8          | 53,266          | 0.53266000%
9          | 19,795          | 0.19795000%
10         | 6,950           | 0.06950000%
11         | 2,197           | 0.02197000%
