==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,710
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
119        | 1               | 0.00001000%
120        | 6               | 0.00006000%
121        | 19              | 0.00019000%
122        | 70              | 0.00070000%
123        | 293             | 0.00293000%
124        | 897             | 0.00897000%
125        | 2,408           | 0.02408000%
126        | 6,330           | 0.06330000%
127        | 14,252          | 0.14252000%
128        | 29,570          | 0.29570000%
129        | 56,473          | 0.56473000%
130        | 99,009          | 0.99009000%
131        | 161,717         | 1.61717000%
132        | 245,343         | 2.45343000%
133        | 350,054         | 3.50054000%
134        | 467,015         | 4.67015000%
135        | 587,510         | 5.87510000%
136        | 699,695         | 6.99695000%
137        | 789,800         | 7.89800000%
138        | 846,957         | 8.46957000%
139        | 865,357         | 8.65357000%
140        | 841,520         | 8.41520000%
141        | 782,296         | 7.82296000%
142        | 698,341         | 6.98341000%
143        | 599,578         | 5.99578000%
144        | 492,264         | 4.92264000%
145        | 389,758         | 3.89758000%
146        | 299,114         | 2.99114000%
147        | 220,153         | 2.20153000%
148        | 155,761         | 1.55761000%
149        | 108,343         | 1.08343000%
150        | 72,336          | 0.72336000%
151        | 46,718          | 0.46718000%
152        | 29,335          | 0.29335000%
153        | 17,775          | 0.17775000%
154        | 10,495          | 0.10495000%
155        | 6,172           | 0.06172000%
156        | 3,328           | 0.03328000%
157        | 1,860           | 0.01860000%
158        | 1,033           | 0.01033000%
159        | 553             | 0.00553000%
160        | 254             | 0.00254000%
161        | 131             | 0.00131000%
162        | 53              | 0.00053000%
163        | 37              | 0.00037000%
164        | 9               | 0.00009000%
165        | 2               | 0.00002000%
166        | 3               | 0.00003000%
168        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
73         | 5               | 0.00005000%
74         | 17              | 0.00017000%
75         | 56              | 0.00056000%
76         | 188             | 0.00188000%
77         | 563             | 0.00563000%
78         | 1,671           | 0.01671000%
79         | 4,006           | 0.04006000%
80         | 9,428           | 0.09428000%
81         | 19,835          | 0.19835000%
82         | 38,833          | 0.38833000%
83         | 71,022          | 0.71022000%
84         | 121,250         | 1.21250000%
85         | 191,807         | 1.91807000%
86         | 284,712         | 2.84712000%
87         | 397,852         | 3.97852000%
88         | 522,694         | 5.22694000%
89         | 649,345         | 6.49345000%
90         | 762,554         | 7.62554000%
91         | 844,466         | 8.44466000%
92         | 887,433         | 8.87433000%
93         | 888,725         | 8.88725000%
94         | 846,534         | 8.46534000%
95         | 767,732         | 7.67732000%
96         | 664,258         | 6.64258000%
97         | 550,831         | 5.50831000%
98         | 436,104         | 4.36104000%
99         | 332,378         | 3.32378000%
100        | 242,362         | 2.42362000%
101        | 168,515         | 1.68515000%
102        | 113,022         | 1.13022000%
103        | 73,527          | 0.73527000%
104        | 45,707          | 0.45707000%
105        | 27,815          | 0.27815000%
106        | 16,011          | 0.16011000%
107        | 8,948           | 0.08948000%
108        | 4,823           | 0.04823000%
109        | 2,534           | 0.02534000%
110        | 1,267           | 0.01267000%
111        | 653             | 0.00653000%
112        | 278             | 0.00278000%
113        | 126             | 0.00126000%
114        | 62              | 0.00062000%
115        | 24              | 0.00024000%
116        | 13              | 0.00013000%
117        | 4               | 0.00004000%
118        | 7               | 0.00007000%
119        | 2               | 0.00002000%
120        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
28         | 3               | 0.00003000%
29         | 10              | 0.00010000%
30         | 35              | 0.00035000%
31         | 116             | 0.00116000%
32         | 376             | 0.00376000%
33         | 997             | 0.00997000%
34         | 2,636           | 0.02636000%
35         | 6,487           | 0.06487000%
36         | 15,375          | 0.15375000%
37         | 32,304          | 0.32304000%
38         | 64,989          | 0.64989000%
39         | 119,705         | 1.19705000%
40         | 206,099         | 2.06099000%
41         | 328,602         | 3.28602000%
42         | 487,637         | 4.87637000%
43         | 669,104         | 6.69104000%
44         | 852,913         | 8.52913000%
45         | 1,006,664       | 10.06664000%
46         | 1,099,937       | 10.99937000%
47         | 1,110,881       | 11.10881000%
48         | 1,035,191       | 10.35191000%
49         | 891,665         | 8.91665000%
50         | 712,350         | 7.12350000%
51         | 523,258         | 5.23258000%
52         | 354,993         | 3.54993000%
53         | 222,430         | 2.22430000%
54         | 128,224         | 1.28224000%
55         | 68,497          | 0.68497000%
56         | 33,463          | 0.33463000%
57         | 15,147          | 0.15147000%
58         | 6,342           | 0.06342000%
59         | 2,395           | 0.02395000%
60         | 773             | 0.00773000%
61         | 290             | 0.00290000%
62         | 78              | 0.00078000%
63         | 27              | 0.00027000%
64         | 7               | 0.00007000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 42,663          | 0.42663000%
1          | 137,598         | 1.37598000%
2          | 311,722         | 3.11722000%
3          | 558,379         | 5.58379000%
4          | 839,786         | 8.39786000%
5          | 1,094,371       | 10.94371000%
6          | 1,259,532       | 12.59532000%
7          | 1,300,937       | 13.00937000%
8          | 1,209,196       | 12.09196000%
9          | 1,026,142       | 10.26142000%
10         | 797,346         | 7.97346000%
11         | 568,695         | 5.68695000%
12         | 374,037         | 3.74037000%
13         | 228,087         | 2.28087000%
14         | 127,664         | 1.27664000%
15         | 66,505          | 0.66505000%
16         | 32,558          | 0.32558000%
17         | 14,751          | 0.14751000%
18         | 6,181           | 0.06181000%
19         | 2,456           | 0.02456000%
20         | 942             | 0.00942000%
21         | 311             | 0.00311000%
22         | 100             | 0.00100000%
23         | 34              | 0.00034000%
24         | 6               | 0.00006000%
25         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 5.0981          |  0.0000% |  0.0003% |  0.0523% |  2.0758% | 19.3094% | 48.2128% | 27.2710% |  3.0783% |  0.0001%
 >= 6 copies | 4.3214          |  0.0001% |  0.0285% |  1.3826% | 14.3273% | 41.8970% | 35.6076% |  6.5640% |  0.1929% |  0.0000%
 >= 7 copies | 3.4881          |  0.0111% |  0.9162% | 11.4501% | 37.6994% | 38.2747% | 11.1001% |  0.5456% |  0.0027% |  0.0000%
