==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,420
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
72         | 4               | 0.00004000%
73         | 33              | 0.00033000%
74         | 298             | 0.00298000%
75         | 1,521           | 0.01521000%
76         | 5,748           | 0.05748000%
77         | 18,530          | 0.18530000%
78         | 48,399          | 0.48399000%
79         | 107,465         | 1.07465000%
80         | 208,874         | 2.08874000%
81         | 355,161         | 3.55161000%
82         | 537,930         | 5.37930000%
83         | 736,906         | 7.36906000%
84         | 917,177         | 9.17177000%
85         | 1,043,064       | 10.43064000%
86         | 1,093,047       | 10.93047000%
87         | 1,065,624       | 10.65624000%
88         | 964,026         | 9.64026000%
89         | 817,014         | 8.17014000%
90         | 650,298         | 6.50298000%
91         | 488,210         | 4.88210000%
92         | 347,102         | 3.47102000%
93         | 234,727         | 2.34727000%
94         | 150,427         | 1.50427000%
95         | 91,815          | 0.91815000%
96         | 53,986          | 0.53986000%
97         | 30,205          | 0.30205000%
98         | 16,170          | 0.16170000%
99         | 8,385           | 0.08385000%
100        | 4,131           | 0.04131000%
101        | 2,031           | 0.02031000%
102        | 984             | 0.00984000%
103        | 390             | 0.00390000%
104        | 183             | 0.00183000%
105        | 74              | 0.00074000%
106        | 41              | 0.00041000%
107        | 13              | 0.00013000%
108        | 2               | 0.00002000%
109        | 4               | 0.00004000%
112        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
42         | 4               | 0.00004000%
43         | 14              | 0.00014000%
44         | 90              | 0.00090000%
45         | 464             | 0.00464000%
46         | 1,758           | 0.01758000%
47         | 5,990           | 0.05990000%
48         | 17,421          | 0.17421000%
49         | 44,133          | 0.44133000%
50         | 96,530          | 0.96530000%
51         | 187,595         | 1.87595000%
52         | 325,842         | 3.25842000%
53         | 507,027         | 5.07027000%
54         | 712,374         | 7.12374000%
55         | 906,794         | 9.06794000%
56         | 1,055,599       | 10.55599000%
57         | 1,129,007       | 11.29007000%
58         | 1,110,620       | 11.10620000%
59         | 1,011,915       | 10.11915000%
60         | 854,434         | 8.54434000%
61         | 673,207         | 6.73207000%
62         | 494,819         | 4.94819000%
63         | 343,110         | 3.43110000%
64         | 222,376         | 2.22376000%
65         | 135,652         | 1.35652000%
66         | 78,315          | 0.78315000%
67         | 42,781          | 0.42781000%
68         | 22,260          | 0.22260000%
69         | 10,790          | 0.10790000%
70         | 5,173           | 0.05173000%
71         | 2,285           | 0.02285000%
72         | 979             | 0.00979000%
73         | 408             | 0.00408000%
74         | 146             | 0.00146000%
75         | 54              | 0.00054000%
76         | 22              | 0.00022000%
77         | 9               | 0.00009000%
78         | 3               | 0.00003000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
13         | 1               | 0.00001000%
14         | 2               | 0.00002000%
15         | 12              | 0.00012000%
16         | 55              | 0.00055000%
17         | 255             | 0.00255000%
18         | 990             | 0.00990000%
19         | 3,390           | 0.03390000%
20         | 10,121          | 0.10121000%
21         | 28,468          | 0.28468000%
22         | 70,181          | 0.70181000%
23         | 153,657         | 1.53657000%
24         | 300,447         | 3.00447000%
25         | 520,419         | 5.20419000%
26         | 803,692         | 8.03692000%
27         | 1,096,655       | 10.96655000%
28         | 1,321,382       | 13.21382000%
29         | 1,412,195       | 14.12195000%
30         | 1,327,771       | 13.27771000%
31         | 1,102,859       | 11.02859000%
32         | 802,989         | 8.02989000%
33         | 514,636         | 5.14636000%
34         | 290,256         | 2.90256000%
35         | 142,951         | 1.42951000%
36         | 62,201          | 0.62201000%
37         | 23,551          | 0.23551000%
38         | 7,805           | 0.07805000%
39         | 2,307           | 0.02307000%
40         | 605             | 0.00605000%
41         | 125             | 0.00125000%
42         | 17              | 0.00017000%
43         | 4               | 0.00004000%
44         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 5,485,307       | 54.85307000%
1          | 2,147,231       | 21.47231000%
2          | 1,277,189       | 12.77189000%
3          | 647,243         | 6.47243000%
4          | 282,598         | 2.82598000%
5          | 108,366         | 1.08366000%
6          | 36,707          | 0.36707000%
7          | 11,216          | 0.11216000%
8          | 3,130           | 0.03130000%
9          | 789             | 0.00789000%
10         | 179             | 0.00179000%
11         | 41              | 0.00041000%
12         | 3               | 0.00003000%
13         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 2.8266          |  0.2225% |  5.8857% | 29.4719% | 42.4910% | 19.3499% |  2.5149% |  0.0640% |  0.0001% |  0.0000%
 >= 6 copies | 1.7928          |  5.0723% | 31.7222% | 43.9983% | 17.3058% |  1.8612% |  0.0403% |  0.0000% |  0.0000% |  0.0000%
 >= 7 copies | 1.0122          | 25.1996% | 50.7222% | 21.7804% |  2.2513% |  0.0464% |  0.0001% |  0.0000% |  0.0000% |  0.0000%
