==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,100
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
81         | 1               | 0.00001000%
82         | 5               | 0.00005000%
83         | 41              | 0.00041000%
84         | 287             | 0.00287000%
85         | 1,213           | 0.01213000%
86         | 4,469           | 0.04469000%
87         | 13,135          | 0.13135000%
88         | 33,618          | 0.33618000%
89         | 74,094          | 0.74094000%
90         | 146,249         | 1.46249000%
91         | 254,616         | 2.54616000%
92         | 398,467         | 3.98467000%
93         | 568,151         | 5.68151000%
94         | 742,668         | 7.42668000%
95         | 893,533         | 8.93533000%
96         | 994,560         | 9.94560000%
97         | 1,032,832       | 10.32832000%
98         | 1,002,512       | 10.02512000%
99         | 911,078         | 9.11078000%
100        | 781,759         | 7.81759000%
101        | 634,369         | 6.34369000%
102        | 488,357         | 4.88357000%
103        | 355,414         | 3.55414000%
104        | 249,536         | 2.49536000%
105        | 165,926         | 1.65926000%
106        | 105,467         | 1.05467000%
107        | 64,593          | 0.64593000%
108        | 37,982          | 0.37982000%
109        | 21,384          | 0.21384000%
110        | 11,576          | 0.11576000%
111        | 6,171           | 0.06171000%
112        | 3,102           | 0.03102000%
113        | 1,514           | 0.01514000%
114        | 718             | 0.00718000%
115        | 311             | 0.00311000%
116        | 175             | 0.00175000%
117        | 76              | 0.00076000%
118        | 27              | 0.00027000%
119        | 7               | 0.00007000%
120        | 6               | 0.00006000%
124        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
48         | 1               | 0.00001000%
49         | 14              | 0.00014000%
50         | 55              | 0.00055000%
51         | 248             | 0.00248000%
52         | 829             | 0.00829000%
53         | 2,954           | 0.02954000%
54         | 8,525           | 0.08525000%
55         | 22,160          | 0.22160000%
56         | 51,298          | 0.51298000%
57         | 103,968         | 1.03968000%
58         | 190,152         | 1.90152000%
59         | 315,744         | 3.15744000%
60         | 477,181         | 4.77181000%
61         | 657,744         | 6.57744000%
62         | 833,776         | 8.33776000%
63         | 973,089         | 9.73089000%
64         | 1,055,387       | 10.55387000%
65         | 1,063,380       | 10.63380000%
66         | 993,601         | 9.93601000%
67         | 872,495         | 8.72495000%
68         | 716,158         | 7.16158000%
69         | 552,688         | 5.52688000%
70         | 401,817         | 4.01817000%
71         | 276,900         | 2.76900000%
72         | 180,237         | 1.80237000%
73         | 111,127         | 1.11127000%
74         | 64,644          | 0.64644000%
75         | 36,087          | 0.36087000%
76         | 19,372          | 0.19372000%
77         | 9,779           | 0.09779000%
78         | 4,726           | 0.04726000%
79         | 2,223           | 0.02223000%
80         | 972             | 0.00972000%
81         | 391             | 0.00391000%
82         | 173             | 0.00173000%
83         | 64              | 0.00064000%
84         | 32              | 0.00032000%
85         | 3               | 0.00003000%
86         | 4               | 0.00004000%
87         | 1               | 0.00001000%
88         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
17         | 4               | 0.00004000%
18         | 12              | 0.00012000%
19         | 63              | 0.00063000%
20         | 274             | 0.00274000%
21         | 935             | 0.00935000%
22         | 2,949           | 0.02949000%
23         | 8,695           | 0.08695000%
24         | 23,018          | 0.23018000%
25         | 55,440          | 0.55440000%
26         | 119,185         | 1.19185000%
27         | 231,121         | 2.31121000%
28         | 406,134         | 4.06134000%
29         | 637,603         | 6.37603000%
30         | 900,689         | 9.00689000%
31         | 1,144,854       | 11.44854000%
32         | 1,298,404       | 12.98404000%
33         | 1,323,677       | 13.23677000%
34         | 1,202,309       | 12.02309000%
35         | 978,330         | 9.78330000%
36         | 707,732         | 7.07732000%
37         | 459,332         | 4.59332000%
38         | 263,780         | 2.63780000%
39         | 135,147         | 1.35147000%
40         | 61,889          | 0.61889000%
41         | 25,276          | 0.25276000%
42         | 9,072           | 0.09072000%
43         | 2,984           | 0.02984000%
44         | 812             | 0.00812000%
45         | 234             | 0.00234000%
46         | 41              | 0.00041000%
47         | 4               | 0.00004000%
49         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 3,328,897       | 33.28897000%
1          | 2,313,807       | 23.13807000%
2          | 1,832,130       | 18.32130000%
3          | 1,218,445       | 12.18445000%
4          | 699,438         | 6.99438000%
5          | 352,594         | 3.52594000%
6          | 157,795         | 1.57795000%
7          | 63,555          | 0.63555000%
8          | 22,729          | 0.22729000%
9          | 7,444           | 0.07444000%
10         | 2,364           | 0.02364000%
11         | 616             | 0.00616000%
12         | 139             | 0.00139000%
13         | 37              | 0.00037000%
14         | 10              | 0.00010000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.4417          |  0.0160% |  1.1562% | 12.8744% | 38.4378% | 36.3241% | 10.4962% |  0.6897% |  0.0056% |  0.0000%
 >= 6 copies | 2.3897          |  0.9892% | 13.8406% | 40.6445% | 34.8684% |  9.0581% |  0.5945% |  0.0047% |  0.0000% |  0.0000%
 >= 7 copies | 1.5006          |  9.8996% | 41.2405% | 38.4042% |  9.8156% |  0.6338% |  0.0064% |  0.0000% |  0.0000% |  0.0000%
