==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,870
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
78         | 1               | 0.00001000%
79         | 12              | 0.00012000%
80         | 83              | 0.00083000%
81         | 549             | 0.00549000%
82         | 2,184           | 0.02184000%
83         | 7,669           | 0.07669000%
84         | 21,507          | 0.21507000%
85         | 52,217          | 0.52217000%
86         | 110,456         | 1.10456000%
87         | 206,079         | 2.06079000%
88         | 341,007         | 3.41007000%
89         | 508,392         | 5.08392000%
90         | 691,902         | 6.91902000%
91         | 860,402         | 8.60402000%
92         | 986,064         | 9.86064000%
93         | 1,048,556       | 10.48556000%
94         | 1,037,716       | 10.37716000%
95         | 959,748         | 9.59748000%
96         | 834,154         | 8.34154000%
97         | 682,374         | 6.82374000%
98         | 529,701         | 5.29701000%
99         | 389,148         | 3.89148000%
100        | 272,259         | 2.72259000%
101        | 181,773         | 1.81773000%
102        | 115,442         | 1.15442000%
103        | 70,712          | 0.70712000%
104        | 41,308          | 0.41308000%
105        | 23,196          | 0.23196000%
106        | 12,634          | 0.12634000%
107        | 6,423           | 0.06423000%
108        | 3,364           | 0.03364000%
109        | 1,611           | 0.01611000%
110        | 722             | 0.00722000%
111        | 354             | 0.00354000%
112        | 167             | 0.00167000%
113        | 78              | 0.00078000%
114        | 19              | 0.00019000%
115        | 10              | 0.00010000%
116        | 4               | 0.00004000%
117        | 2               | 0.00002000%
120        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
45         | 1               | 0.00001000%
46         | 1               | 0.00001000%
47         | 13              | 0.00013000%
48         | 64              | 0.00064000%
49         | 334             | 0.00334000%
50         | 1,130           | 0.01130000%
51         | 3,886           | 0.03886000%
52         | 11,145          | 0.11145000%
53         | 28,576          | 0.28576000%
54         | 64,740          | 0.64740000%
55         | 130,476         | 1.30476000%
56         | 232,391         | 2.32391000%
57         | 377,151         | 3.77151000%
58         | 554,763         | 5.54763000%
59         | 744,451         | 7.44451000%
60         | 915,765         | 9.15765000%
61         | 1,039,068       | 10.39068000%
62         | 1,087,282       | 10.87282000%
63         | 1,059,653       | 10.59653000%
64         | 957,101         | 9.57101000%
65         | 808,292         | 8.08292000%
66         | 640,060         | 6.40060000%
67         | 476,230         | 4.76230000%
68         | 333,641         | 3.33641000%
69         | 220,188         | 2.20188000%
70         | 138,269         | 1.38269000%
71         | 81,772          | 0.81772000%
72         | 45,583          | 0.45583000%
73         | 24,386          | 0.24386000%
74         | 12,437          | 0.12437000%
75         | 6,217           | 0.06217000%
76         | 2,779           | 0.02779000%
77         | 1,301           | 0.01301000%
78         | 515             | 0.00515000%
79         | 209             | 0.00209000%
80         | 81              | 0.00081000%
81         | 31              | 0.00031000%
82         | 12              | 0.00012000%
83         | 3               | 0.00003000%
84         | 3               | 0.00003000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
16         | 5               | 0.00005000%
17         | 12              | 0.00012000%
18         | 65              | 0.00065000%
19         | 290             | 0.00290000%
20         | 980             | 0.00980000%
21         | 3,110           | 0.03110000%
22         | 9,436           | 0.09436000%
23         | 25,062          | 0.25062000%
24         | 60,636          | 0.60636000%
25         | 130,777         | 1.30777000%
26         | 254,927         | 2.54927000%
27         | 444,593         | 4.44593000%
28         | 692,851         | 6.92851000%
29         | 968,062         | 9.68062000%
30         | 1,207,591       | 12.07591000%
31         | 1,341,752       | 13.41752000%
32         | 1,331,042       | 13.31042000%
33         | 1,174,092       | 11.74092000%
34         | 922,764         | 9.22764000%
35         | 641,717         | 6.41717000%
36         | 396,541         | 3.96541000%
37         | 217,164         | 2.17164000%
38         | 105,231         | 1.05231000%
39         | 45,623          | 0.45623000%
40         | 17,449          | 0.17449000%
41         | 5,859           | 0.05859000%
42         | 1,777           | 0.01777000%
43         | 453             | 0.00453000%
44         | 118             | 0.00118000%
45         | 18              | 0.00018000%
46         | 2               | 0.00002000%
47         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 4,035,916       | 40.35916000%
1          | 2,337,260       | 23.37260000%
2          | 1,678,697       | 16.78697000%
3          | 1,016,258       | 10.16258000%
4          | 533,281         | 5.33281000%
5          | 244,726         | 2.44726000%
6          | 100,493         | 1.00493000%
7          | 36,327          | 0.36327000%
8          | 12,085          | 0.12085000%
9          | 3,627           | 0.03627000%
10         | 1,009           | 0.01009000%
11         | 245             | 0.00245000%
12         | 61              | 0.00061000%
13         | 14              | 0.00014000%
14         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.2411          |  0.0408% |  2.0888% | 17.7244% | 41.6952% | 31.1098% |  6.9976% |  0.3413% |  0.0023% |  0.0000%
 >= 6 copies | 2.1878          |  1.8034% | 19.1504% | 43.8024% | 29.2182% |  5.7548% |  0.2692% |  0.0016% |  0.0000% |  0.0000%
 >= 7 copies | 1.3286          | 14.0633% | 45.9784% | 33.2796% |  6.3890% |  0.2877% |  0.0018% |  0.0000% |  0.0000% |  0.0000%
