==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,880
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
107        | 2               | 0.00002000%
108        | 8               | 0.00008000%
109        | 29              | 0.00029000%
110        | 126             | 0.00126000%
111        | 501             | 0.00501000%
112        | 1,646           | 0.01646000%
113        | 4,561           | 0.04561000%
114        | 11,354          | 0.11354000%
115        | 25,305          | 0.25305000%
116        | 52,313          | 0.52313000%
117        | 95,998          | 0.95998000%
118        | 163,061         | 1.63061000%
119        | 254,083         | 2.54083000%
120        | 369,799         | 3.69799000%
121        | 501,270         | 5.01270000%
122        | 635,131         | 6.35131000%
123        | 755,112         | 7.55112000%
124        | 847,892         | 8.47892000%
125        | 899,819         | 8.99819000%
126        | 905,792         | 9.05792000%
127        | 864,072         | 8.64072000%
128        | 787,771         | 7.87771000%
129        | 684,089         | 6.84089000%
130        | 568,250         | 5.68250000%
131        | 453,303         | 4.53303000%
132        | 347,288         | 3.47288000%
133        | 255,765         | 2.55765000%
134        | 181,964         | 1.81964000%
135        | 123,503         | 1.23503000%
136        | 81,698          | 0.81698000%
137        | 52,231          | 0.52231000%
138        | 32,441          | 0.32441000%
139        | 19,261          | 0.19261000%
140        | 11,130          | 0.11130000%
141        | 6,283           | 0.06283000%
142        | 3,400           | 0.03400000%
143        | 1,868           | 0.01868000%
144        | 963             | 0.00963000%
145        | 463             | 0.00463000%
146        | 234             | 0.00234000%
147        | 133             | 0.00133000%
148        | 54              | 0.00054000%
149        | 22              | 0.00022000%
150        | 6               | 0.00006000%
151        | 4               | 0.00004000%
153        | 1               | 0.00001000%
154        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
63         | 1               | 0.00001000%
65         | 2               | 0.00002000%
66         | 10              | 0.00010000%
67         | 44              | 0.00044000%
68         | 209             | 0.00209000%
69         | 703             | 0.00703000%
70         | 1,900           | 0.01900000%
71         | 5,059           | 0.05059000%
72         | 11,950          | 0.11950000%
73         | 25,993          | 0.25993000%
74         | 50,887          | 0.50887000%
75         | 94,285          | 0.94285000%
76         | 159,348         | 1.59348000%
77         | 250,338         | 2.50338000%
78         | 366,508         | 3.66508000%
79         | 501,187         | 5.01187000%
80         | 642,620         | 6.42620000%
81         | 771,622         | 7.71622000%
82         | 873,323         | 8.73323000%
83         | 929,967         | 9.29967000%
84         | 935,950         | 9.35950000%
85         | 893,958         | 8.93958000%
86         | 806,315         | 8.06315000%
87         | 693,174         | 6.93174000%
88         | 566,398         | 5.66398000%
89         | 442,001         | 4.42001000%
90         | 328,221         | 3.28221000%
91         | 234,197         | 2.34197000%
92         | 158,861         | 1.58861000%
93         | 103,098         | 1.03098000%
94         | 64,473          | 0.64473000%
95         | 39,011          | 0.39011000%
96         | 22,355          | 0.22355000%
97         | 12,627          | 0.12627000%
98         | 6,744           | 0.06744000%
99         | 3,436           | 0.03436000%
100        | 1,696           | 0.01696000%
101        | 813             | 0.00813000%
102        | 438             | 0.00438000%
103        | 151             | 0.00151000%
104        | 78              | 0.00078000%
105        | 23              | 0.00023000%
106        | 12              | 0.00012000%
107        | 10              | 0.00010000%
108        | 2               | 0.00002000%
109        | 1               | 0.00001000%
110        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
24         | 2               | 0.00002000%
25         | 3               | 0.00003000%
26         | 19              | 0.00019000%
27         | 96              | 0.00096000%
28         | 287             | 0.00287000%
29         | 790             | 0.00790000%
30         | 2,395           | 0.02395000%
31         | 6,190           | 0.06190000%
32         | 14,983          | 0.14983000%
33         | 33,775          | 0.33775000%
34         | 69,237          | 0.69237000%
35         | 131,654         | 1.31654000%
36         | 231,024         | 2.31024000%
37         | 373,157         | 3.73157000%
38         | 554,580         | 5.54580000%
