==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,010
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
124        | 5               | 0.00005000%
125        | 9               | 0.00009000%
126        | 31              | 0.00031000%
127        | 171             | 0.00171000%
128        | 472             | 0.00472000%
129        | 1,485           | 0.01485000%
130        | 3,716           | 0.03716000%
131        | 8,828           | 0.08828000%
132        | 19,019          | 0.19019000%
133        | 37,795          | 0.37795000%
134        | 68,358          | 0.68358000%
135        | 115,943         | 1.15943000%
136        | 182,559         | 1.82559000%
137        | 271,251         | 2.71251000%
138        | 375,714         | 3.75714000%
139        | 491,423         | 4.91423000%
140        | 605,605         | 6.05605000%
141        | 711,631         | 7.11631000%
142        | 791,499         | 7.91499000%
143        | 839,044         | 8.39044000%
144        | 848,964         | 8.48964000%
145        | 819,017         | 8.19017000%
146        | 759,551         | 7.59551000%
147        | 675,560         | 6.75560000%
148        | 577,423         | 5.77423000%
149        | 473,566         | 4.73566000%
150        | 376,206         | 3.76206000%
151        | 287,590         | 2.87590000%
152        | 212,438         | 2.12438000%
153        | 151,694         | 1.51694000%
154        | 105,177         | 1.05177000%
155        | 71,109          | 0.71109000%
156        | 45,841          | 0.45841000%
157        | 28,979          | 0.28979000%
158        | 17,905          | 0.17905000%
159        | 10,579          | 0.10579000%
160        | 6,165           | 0.06165000%
161        | 3,540           | 0.03540000%
162        | 1,893           | 0.01893000%
163        | 1,127           | 0.01127000%
164        | 566             | 0.00566000%
165        | 279             | 0.00279000%
166        | 160             | 0.00160000%
167        | 70              | 0.00070000%
168        | 26              | 0.00026000%
169        | 6               | 0.00006000%
170        | 6               | 0.00006000%
171        | 3               | 0.00003000%
173        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
76         | 5               | 0.00005000%
77         | 20              | 0.00020000%
78         | 66              | 0.00066000%
79         | 210             | 0.00210000%
80         | 634             | 0.00634000%
81         | 1,612           | 0.01612000%
82         | 4,192           | 0.04192000%
83         | 9,403           | 0.09403000%
84         | 19,478          | 0.19478000%
85         | 37,725          | 0.37725000%
86         | 68,235          | 0.68235000%
87         | 115,627         | 1.15627000%
88         | 182,584         | 1.82584000%
89         | 270,722         | 2.70722000%
90         | 377,416         | 3.77416000%
91         | 498,216         | 4.98216000%
92         | 620,800         | 6.20800000%
