==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,890
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
122        | 1               | 0.00001000%
123        | 8               | 0.00008000%
124        | 27              | 0.00027000%
125        | 117             | 0.00117000%
126        | 433             | 0.00433000%
127        | 1,168           | 0.01168000%
128        | 3,224           | 0.03224000%
129        | 7,692           | 0.07692000%
130        | 17,156          | 0.17156000%
131        | 34,123          | 0.34123000%
132        | 63,288          | 0.63288000%
133        | 109,409         | 1.09409000%
134        | 174,364         | 1.74364000%
135        | 260,698         | 2.60698000%
136        | 366,332         | 3.66332000%
137        | 480,934         | 4.80934000%
138        | 599,164         | 5.99164000%
139        | 706,855         | 7.06855000%
140        | 790,195         | 7.90195000%
141        | 843,384         | 8.43384000%
142        | 855,613         | 8.55613000%
143        | 828,081         | 8.28081000%
144        | 769,103         | 7.69103000%
145        | 684,155         | 6.84155000%
146        | 585,569         | 5.85569000%
147        | 481,123         | 4.81123000%
148        | 381,440         | 3.81440000%
149        | 292,251         | 2.92251000%
150        | 215,194         | 2.15194000%
151        | 153,338         | 1.53338000%
152        | 106,775         | 1.06775000%
153        | 71,246          | 0.71246000%
154        | 46,362          | 0.46362000%
155        | 28,997          | 0.28997000%
156        | 17,945          | 0.17945000%
157        | 10,464          | 0.10464000%
158        | 6,221           | 0.06221000%
159        | 3,476           | 0.03476000%
160        | 1,918           | 0.01918000%
161        | 1,063           | 0.01063000%
162        | 583             | 0.00583000%
163        | 258             | 0.00258000%
164        | 143             | 0.00143000%
165        | 60              | 0.00060000%
166        | 31              | 0.00031000%
167        | 11              | 0.00011000%
168        | 4               | 0.00004000%
169        | 2               | 0.00002000%
171        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
75         | 6               | 0.00006000%
76         | 22              | 0.00022000%
77         | 79              | 0.00079000%
78         | 263             | 0.00263000%
79         | 734             | 0.00734000%
80         | 1,996           | 0.01996000%
81         | 4,925           | 0.04925000%
82         | 11,010          | 0.11010000%
83         | 22,409          | 0.22409000%
84         | 43,461          | 0.43461000%
85         | 77,457          | 0.77457000%
86         | 129,728         | 1.29728000%
87         | 202,833         | 2.02833000%
88         | 296,082         | 2.96082000%
89         | 408,735         | 4.08735000%
90         | 533,870         | 5.33870000%
91         | 655,644         | 6.55644000%
92         | 763,380         | 7.63380000%
93         | 841,362         | 8.41362000%
94         | 880,077         | 8.80077000%
95         | 878,948         | 8.78948000%
96         | 834,652         | 8.34652000%
97         | 755,196         | 7.55196000%
98         | 653,523         | 6.53523000%
99         | 542,256         | 5.42256000%
100        | 430,059         | 4.30059000%
101        | 327,404         | 3.27404000%
102        | 239,383         | 2.39383000%
103        | 168,257         | 1.68257000%
104        | 112,351         | 1.12351000%
105        | 73,931          | 0.73931000%
106        | 46,048          | 0.46048000%
107        | 28,142          | 0.28142000%
108        | 16,381          | 0.16381000%
109        | 9,138           | 0.09138000%
110        | 4,943           | 0.04943000%
111        | 2,655           | 0.02655000%
112        | 1,412           | 0.01412000%
113        | 678             | 0.00678000%
114        | 316             | 0.00316000%
115        | 137             | 0.00137000%
116        | 60              | 0.00060000%
117        | 29              | 0.00029000%
118        | 14              | 0.00014000%
119        | 7               | 0.00007000%
120        | 4               | 0.00004000%
122        | 2               | 0.00002000%
123        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
29         | 2               | 0.00002000%
30         | 13              | 0.00013000%
31         | 47              | 0.00047000%
32         | 155             | 0.00155000%
33         | 443             | 0.00443000%
34         | 1,201           | 0.01201000%
35         | 2,997           | 0.02997000%
36         | 7,386           | 0.07386000%
37         | 16,893          | 0.16893000%
38         | 35,228          | 0.35228000%
39         | 69,812          | 0.69812000%
40         | 125,991         | 1.25991000%
41         | 215,513         | 2.15513000%
42         | 337,904         | 3.37904000%
43         | 497,519         | 4.97519000%
44         | 677,062         | 6.77062000%
45         | 854,519         | 8.54519000%
46         | 1,002,909       | 10.02909000%
47         | 1,090,016       | 10.90016000%
48         | 1,098,420       | 10.98420000%
49         | 1,022,722       | 10.22722000%
50         | 881,323         | 8.81323000%
51         | 704,491         | 7.04491000%
52         | 518,716         | 5.18716000%
53         | 354,176         | 3.54176000%
54         | 223,337         | 2.23337000%
55         | 130,070         | 1.30070000%
56         | 69,857          | 0.69857000%
57         | 34,723          | 0.34723000%
58         | 15,979          | 0.15979000%
59         | 6,663           | 0.06663000%
60         | 2,568           | 0.02568000%
61         | 895             | 0.00895000%
62         | 310             | 0.00310000%
63         | 101             | 0.00101000%
64         | 31              | 0.00031000%
65         | 8               | 0.00008000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 26,752          | 0.26752000%
1          | 93,365          | 0.93365000%
2          | 226,121         | 2.26121000%
3          | 430,167         | 4.30167000%
4          | 684,767         | 6.84767000%
5          | 947,952         | 9.47952000%
6          | 1,155,248       | 11.55248000%
7          | 1,263,135       | 12.63135000%
8          | 1,246,176       | 12.46176000%
9          | 1,117,942       | 11.17942000%
10         | 921,057         | 9.21057000%
11         | 696,774         | 6.96774000%
12         | 486,957         | 4.86957000%
13         | 313,552         | 3.13552000%
14         | 187,213         | 1.87213000%
15         | 103,835         | 1.03835000%
16         | 53,730          | 0.53730000%
17         | 25,778          | 0.25778000%
18         | 11,649          | 0.11649000%
19         | 4,862           | 0.04862000%
20         | 1,881           | 0.01881000%
21         | 739             | 0.00739000%
22         | 234             | 0.00234000%
23         | 81              | 0.00081000%
24         | 26              | 0.00026000%
25         | 7               | 0.00007000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 5.1747          |  0.0000% |  0.0001% |  0.0330% |  1.5624% | 16.8742% | 47.7327% | 30.0307% |  3.7668% |  0.0001%
 >= 6 copies | 4.4209          |  0.0000% |  0.0157% |  0.9695% | 11.8448% | 39.9622% | 38.7775% |  8.1483% |  0.2820% |  0.0000%
 >= 7 copies | 3.6071          |  0.0058% |  0.6073% |  9.0449% | 34.8007% | 40.9135% | 13.8161% |  0.8070% |  0.0048% |  0.0000%
