==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,340
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
99         | 1               | 0.00001000%
100        | 10              | 0.00010000%
101        | 27              | 0.00027000%
102        | 140             | 0.00140000%
103        | 563             | 0.00563000%
104        | 1,954           | 0.01954000%
105        | 5,589           | 0.05589000%
106        | 14,125          | 0.14125000%
107        | 32,602          | 0.32602000%
108        | 66,049          | 0.66049000%
109        | 121,280         | 1.21280000%
110        | 203,213         | 2.03213000%
111        | 314,055         | 3.14055000%
112        | 447,403         | 4.47403000%
113        | 592,236         | 5.92236000%
114        | 729,492         | 7.29492000%
115        | 844,379         | 8.44379000%
116        | 919,065         | 9.19065000%
117        | 942,640         | 9.42640000%
118        | 912,735         | 9.12735000%
119        | 838,483         | 8.38483000%
120        | 734,025         | 7.34025000%
121        | 612,195         | 6.12195000%
122        | 488,069         | 4.88069000%
123        | 373,422         | 3.73422000%
124        | 272,939         | 2.72939000%
125        | 191,520         | 1.91520000%
126        | 129,576         | 1.29576000%
127        | 84,786          | 0.84786000%
128        | 53,122          | 0.53122000%
129        | 32,386          | 0.32386000%
130        | 18,881          | 0.18881000%
131        | 10,677          | 0.10677000%
132        | 5,959           | 0.05959000%
133        | 3,148           | 0.03148000%
134        | 1,672           | 0.01672000%
135        | 821             | 0.00821000%
136        | 414             | 0.00414000%
137        | 193             | 0.00193000%
138        | 78              | 0.00078000%
139        | 52              | 0.00052000%
140        | 16              | 0.00016000%
141        | 3               | 0.00003000%
142        | 3               | 0.00003000%
143        | 1               | 0.00001000%
144        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
59         | 1               | 0.00001000%
60         | 2               | 0.00002000%
61         | 12              | 0.00012000%
62         | 64              | 0.00064000%
63         | 277             | 0.00277000%
64         | 895             | 0.00895000%
65         | 2,540           | 0.02540000%
66         | 6,965           | 0.06965000%
67         | 16,450          | 0.16450000%
68         | 35,426          | 0.35426000%
69         | 70,231          | 0.70231000%
70         | 126,057         | 1.26057000%
71         | 210,972         | 2.10972000%
72         | 323,429         | 3.23429000%
73         | 463,290         | 4.63290000%
74         | 612,310         | 6.12310000%
75         | 759,208         | 7.59208000%
76         | 876,748         | 8.76748000%
77         | 953,220         | 9.53220000%
78         | 974,962         | 9.74962000%
79         | 937,075         | 9.37075000%
80         | 849,905         | 8.49905000%
81         | 732,066         | 7.32066000%
82         | 596,504         | 5.96504000%
83         | 463,342         | 4.63342000%
84         | 341,642         | 3.41642000%
85         | 239,391         | 2.39391000%
86         | 160,231         | 1.60231000%
87         | 102,462         | 1.02462000%
88         | 63,376          | 0.63376000%
89         | 37,175          | 0.37175000%
90         | 21,035          | 0.21035000%
91         | 11,350          | 0.11350000%
92         | 5,929           | 0.05929000%
93         | 2,901           | 0.02901000%
94         | 1,386           | 0.01386000%
95         | 646             | 0.00646000%
96         | 316             | 0.00316000%
97         | 132             | 0.00132000%
98         | 47              | 0.00047000%
99         | 17              | 0.00017000%
100        | 8               | 0.00008000%
101        | 3               | 0.00003000%
102        | 1               | 0.00001000%
104        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
22         | 3               | 0.00003000%
23         | 9               | 0.00009000%
24         | 37              | 0.00037000%
25         | 151             | 0.00151000%
26         | 439             | 0.00439000%
27         | 1,416           | 0.01416000%
28         | 3,899           | 0.03899000%
29         | 10,246          | 0.10246000%
30         | 24,755          | 0.24755000%
31         | 54,167          | 0.54167000%
32         | 108,314         | 1.08314000%
33         | 200,137         | 2.00137000%
34         | 337,603         | 3.37603000%
35         | 522,679         | 5.22679000%
36         | 736,831         | 7.36831000%
37         | 953,535         | 9.53535000%
38         | 1,124,597       | 11.24597000%
39         | 1,210,336       | 12.10336000%
40         | 1,187,448       | 11.87448000%
41         | 1,058,639       | 10.58639000%
42         | 862,219         | 8.62219000%
43         | 637,354         | 6.37354000%
44         | 429,178         | 4.29178000%
45         | 262,507         | 2.62507000%
46         | 144,880         | 1.44880000%
47         | 73,428          | 0.73428000%
48         | 33,494          | 0.33494000%
49         | 13,942          | 0.13942000%
50         | 5,172           | 0.05172000%
51         | 1,864           | 0.01864000%
52         | 533             | 0.00533000%
53         | 134             | 0.00134000%
54         | 44              | 0.00044000%
55         | 9               | 0.00009000%
57         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 717,092         | 7.17092000%
1          | 1,146,935       | 11.46935000%
2          | 1,532,527       | 15.32527000%
3          | 1,667,476       | 16.67476000%
4          | 1,543,728       | 15.43728000%
5          | 1,254,395       | 12.54395000%
6          | 897,917         | 8.97917000%
7          | 578,517         | 5.78517000%
8          | 335,241         | 3.35241000%
9          | 178,191         | 1.78191000%
10         | 85,736          | 0.85736000%
11         | 37,970          | 0.37970000%
12         | 15,538          | 0.15538000%
13         | 5,754           | 0.05754000%
14         | 2,047           | 0.02047000%
15         | 666             | 0.00666000%
16         | 192             | 0.00192000%
17         | 62              | 0.00062000%
18         | 14              | 0.00014000%
19         | 2               | 0.00002000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.3675          |  0.0000% |  0.0270% |  1.3245% | 13.6768% | 40.4700% | 36.1660% |  8.0116% |  0.3240% |  0.0000%
 >= 6 copies | 3.4138          |  0.0167% |  1.2089% | 13.2793% | 39.1634% | 36.0598% |  9.7525% |  0.5164% |  0.0030% |  0.0000%
 >= 7 copies | 2.4777          |  0.7496% | 11.8097% | 38.7600% | 37.0877% | 10.7958% |  0.7906% |  0.0066% |  0.0000% |  0.0000%
