==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,980
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
94         | 1               | 0.00001000%
95         | 10              | 0.00010000%
96         | 46              | 0.00046000%
97         | 249             | 0.00249000%
98         | 969             | 0.00969000%
99         | 3,136           | 0.03136000%
100        | 9,001           | 0.09001000%
101        | 22,209          | 0.22209000%
102        | 48,976          | 0.48976000%
103        | 95,970          | 0.95970000%
104        | 169,437         | 1.69437000%
105        | 275,579         | 2.75579000%
106        | 407,550         | 4.07550000%
107        | 556,593         | 5.56593000%
108        | 707,722         | 7.07722000%
109        | 836,532         | 8.36532000%
110        | 927,706         | 9.27706000%
111        | 965,883         | 9.65883000%
112        | 946,051         | 9.46051000%
113        | 876,128         | 8.76128000%
114        | 769,108         | 7.69108000%
115        | 644,579         | 6.44579000%
116        | 514,792         | 5.14792000%
117        | 391,490         | 3.91490000%
118        | 284,391         | 2.84391000%
119        | 198,786         | 1.98786000%
120        | 133,736         | 1.33736000%
121        | 86,887          | 0.86887000%
122        | 53,589          | 0.53589000%
123        | 32,210          | 0.32210000%
124        | 18,797          | 0.18797000%
125        | 10,364          | 0.10364000%
126        | 5,591           | 0.05591000%
127        | 3,013           | 0.03013000%
128        | 1,488           | 0.01488000%
129        | 731             | 0.00731000%
130        | 404             | 0.00404000%
131        | 167             | 0.00167000%
132        | 72              | 0.00072000%
133        | 38              | 0.00038000%
134        | 13              | 0.00013000%
135        | 2               | 0.00002000%
136        | 1               | 0.00001000%
137        | 2               | 0.00002000%
138        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
56         | 3               | 0.00003000%
57         | 5               | 0.00005000%
58         | 26              | 0.00026000%
59         | 141             | 0.00141000%
60         | 493             | 0.00493000%
61         | 1,516           | 0.01516000%
62         | 4,549           | 0.04549000%
63         | 11,475          | 0.11475000%
64         | 26,730          | 0.26730000%
65         | 55,921          | 0.55921000%
66         | 105,426         | 1.05426000%
67         | 183,717         | 1.83717000%
68         | 293,899         | 2.93899000%
69         | 433,035         | 4.33035000%
70         | 589,032         | 5.89032000%
71         | 746,507         | 7.46507000%
72         | 878,016         | 8.78016000%
73         | 967,491         | 9.67491000%
74         | 998,514         | 9.98514000%
75         | 969,841         | 9.69841000%
76         | 882,054         | 8.82054000%
77         | 760,034         | 7.60034000%
78         | 618,312         | 6.18312000%
79         | 478,147         | 4.78147000%
80         | 350,393         | 3.50393000%
81         | 243,261         | 2.43261000%
82         | 161,033         | 1.61033000%
83         | 101,985         | 1.01985000%
84         | 61,991          | 0.61991000%
85         | 35,741          | 0.35741000%
86         | 19,901          | 0.19901000%
87         | 10,698          | 0.10698000%
88         | 5,347           | 0.05347000%
89         | 2,594           | 0.02594000%
90         | 1,218           | 0.01218000%
91         | 590             | 0.00590000%
92         | 211             | 0.00211000%
93         | 90              | 0.00090000%
94         | 40              | 0.00040000%
95         | 15              | 0.00015000%
96         | 5               | 0.00005000%
97         | 2               | 0.00002000%
100        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
20         | 1               | 0.00001000%
21         | 6               | 0.00006000%
22         | 14              | 0.00014000%
23         | 81              | 0.00081000%
24         | 319             | 0.00319000%
25         | 945             | 0.00945000%
26         | 2,831           | 0.02831000%
27         | 7,728           | 0.07728000%
28         | 19,507          | 0.19507000%
29         | 44,824          | 0.44824000%
30         | 93,528          | 0.93528000%
31         | 179,060         | 1.79060000%
32         | 313,150         | 3.13150000%
33         | 497,597         | 4.97597000%
34         | 720,976         | 7.20976000%
35         | 947,890         | 9.47890000%
36         | 1,138,092       | 11.38092000%
37         | 1,237,710       | 12.37710000%
38         | 1,221,571       | 12.21571000%
39         | 1,091,630       | 10.91630000%
40         | 884,863         | 8.84863000%
41         | 649,451         | 6.49451000%
42         | 431,468         | 4.31468000%
43         | 258,671         | 2.58671000%
44         | 140,369         | 1.40369000%
