==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,800
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
77         | 1               | 0.00001000%
78         | 11              | 0.00011000%
79         | 92              | 0.00092000%
80         | 561             | 0.00561000%
81         | 2,329           | 0.02329000%
82         | 8,156           | 0.08156000%
83         | 22,913          | 0.22913000%
84         | 55,554          | 0.55554000%
85         | 117,182         | 1.17182000%
86         | 217,110         | 2.17110000%
87         | 357,316         | 3.57316000%
88         | 528,690         | 5.28690000%
89         | 714,941         | 7.14941000%
90         | 882,353         | 8.82353000%
91         | 1,003,680       | 10.03680000%
92         | 1,056,572       | 10.56572000%
93         | 1,037,107       | 10.37107000%
94         | 951,451         | 9.51451000%
95         | 818,414         | 8.18414000%
96         | 663,599         | 6.63599000%
97         | 509,952         | 5.09952000%
98         | 371,668         | 3.71668000%
99         | 257,387         | 2.57387000%
100        | 170,225         | 1.70225000%
101        | 107,199         | 1.07199000%
102        | 64,526          | 0.64526000%
103        | 37,781          | 0.37781000%
104        | 20,889          | 0.20889000%
105        | 11,198          | 0.11198000%
106        | 5,635           | 0.05635000%
107        | 2,970           | 0.02970000%
108        | 1,382           | 0.01382000%
109        | 634             | 0.00634000%
110        | 281             | 0.00281000%
111        | 136             | 0.00136000%
112        | 69              | 0.00069000%
113        | 20              | 0.00020000%
114        | 12              | 0.00012000%
116        | 3               | 0.00003000%
119        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
45         | 1               | 0.00001000%
46         | 5               | 0.00005000%
47         | 40              | 0.00040000%
48         | 196             | 0.00196000%
49         | 767             | 0.00767000%
50         | 2,676           | 0.02676000%
51         | 8,126           | 0.08126000%
52         | 21,790          | 0.21790000%
53         | 51,464          | 0.51464000%
54         | 107,865         | 1.07865000%
55         | 199,462         | 1.99462000%
56         | 333,626         | 3.33626000%
57         | 506,514         | 5.06514000%
58         | 697,378         | 6.97378000%
59         | 879,922         | 8.79922000%
60         | 1,017,568       | 10.17568000%
61         | 1,091,088       | 10.91088000%
62         | 1,079,418       | 10.79418000%
63         | 993,172         | 9.93172000%
64         | 851,425         | 8.51425000%
65         | 682,642         | 6.82642000%
66         | 514,648         | 5.14648000%
67         | 364,461         | 3.64461000%
68         | 243,486         | 2.43486000%
69         | 154,129         | 1.54129000%
70         | 91,311          | 0.91311000%
71         | 51,629          | 0.51629000%
72         | 28,025          | 0.28025000%
73         | 14,343          | 0.14343000%
74         | 7,108           | 0.07108000%
75         | 3,212           | 0.03212000%
76         | 1,481           | 0.01481000%
77         | 616             | 0.00616000%
78         | 246             | 0.00246000%
79         | 103             | 0.00103000%
80         | 36              | 0.00036000%
81         | 14              | 0.00014000%
82         | 5               | 0.00005000%
83         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
15         | 1               | 0.00001000%
16         | 6               | 0.00006000%
17         | 22              | 0.00022000%
18         | 96              | 0.00096000%
19         | 424             | 0.00424000%
20         | 1,422           | 0.01422000%
21         | 4,519           | 0.04519000%
22         | 13,093          | 0.13093000%
23         | 34,009          | 0.34009000%
24         | 79,668          | 0.79668000%
25         | 167,248         | 1.67248000%
26         | 314,791         | 3.14791000%
27         | 529,473         | 5.29473000%
28         | 795,122         | 7.95122000%
29         | 1,069,462       | 10.69462000%
30         | 1,278,662       | 12.78662000%
31         | 1,362,762       | 13.62762000%
32         | 1,296,417       | 12.96417000%
33         | 1,091,141       | 10.91141000%
34         | 815,737         | 8.15737000%
35         | 540,945         | 5.40945000%
36         | 317,307         | 3.17307000%
37         | 164,856         | 1.64856000%
38         | 75,939          | 0.75939000%
39         | 30,956          | 0.30956000%
40         | 11,111          | 0.11111000%
41         | 3,528           | 0.03528000%
42         | 971             | 0.00971000%
43         | 256             | 0.00256000%
44         | 48              | 0.00048000%
45         | 7               | 0.00007000%
47         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 4,258,416       | 42.58416000%
1          | 2,328,082       | 23.28082000%
2          | 1,623,540       | 16.23540000%
3          | 953,965         | 9.53965000%
4          | 487,430         | 4.87430000%
5          | 217,732         | 2.17732000%
6          | 86,504          | 0.86504000%
7          | 30,494          | 0.30494000%
8          | 9,952           | 0.09952000%
9          | 2,879           | 0.02879000%
10         | 773             | 0.00773000%
11         | 184             | 0.00184000%
12         | 43              | 0.00043000%
13         | 6               | 0.00006000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.1786          |  0.0540% |  2.4800% | 19.3962% | 42.3469% | 29.3458% |  6.1045% |  0.2710% |  0.0015% |  0.0000%
 >= 6 copies | 2.1261          |  2.1392% | 20.9626% | 44.3972% | 27.3580% |  4.9347% |  0.2073% |  0.0010% |  0.0000% |  0.0000%
 >= 7 copies | 1.2775          | 15.5397% | 47.1506% | 31.5557% |  5.5310% |  0.2218% |  0.0011% |  0.0000% |  0.0000% |  0.0000%
