==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,220
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
113        | 8               | 0.00008000%
114        | 35              | 0.00035000%
115        | 104             | 0.00104000%
116        | 451             | 0.00451000%
117        | 1,409           | 0.01409000%
118        | 3,934           | 0.03934000%
119        | 9,610           | 0.09610000%
120        | 21,255          | 0.21255000%
121        | 44,133          | 0.44133000%
122        | 80,962          | 0.80962000%
123        | 138,993         | 1.38993000%
124        | 219,149         | 2.19149000%
125        | 323,473         | 3.23473000%
126        | 445,731         | 4.45731000%
127        | 573,001         | 5.73001000%
128        | 694,967         | 6.94967000%
129        | 796,996         | 7.96996000%
130        | 866,072         | 8.66072000%
131        | 889,494         | 8.89494000%
132        | 870,291         | 8.70291000%
133        | 811,472         | 8.11472000%
134        | 724,234         | 7.24234000%
135        | 618,742         | 6.18742000%
136        | 506,230         | 5.06230000%
137        | 398,535         | 3.98535000%
138        | 301,992         | 3.01992000%
139        | 220,424         | 2.20424000%
140        | 155,110         | 1.55110000%
141        | 105,346         | 1.05346000%
142        | 69,427          | 0.69427000%
143        | 44,152          | 0.44152000%
144        | 27,162          | 0.27162000%
145        | 16,205          | 0.16205000%
146        | 9,502           | 0.09502000%
147        | 5,234           | 0.05234000%
148        | 2,947           | 0.02947000%
149        | 1,560           | 0.01560000%
150        | 859             | 0.00859000%
151        | 415             | 0.00415000%
152        | 213             | 0.00213000%
153        | 90              | 0.00090000%
154        | 48              | 0.00048000%
155        | 21              | 0.00021000%
156        | 7               | 0.00007000%
157        | 3               | 0.00003000%
159        | 1               | 0.00001000%
160        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
68         | 4               | 0.00004000%
69         | 5               | 0.00005000%
70         | 33              | 0.00033000%
71         | 148             | 0.00148000%
72         | 482             | 0.00482000%
73         | 1,371           | 0.01371000%
74         | 3,635           | 0.03635000%
75         | 8,607           | 0.08607000%
76         | 18,914          | 0.18914000%
77         | 38,253          | 0.38253000%
78         | 71,457          | 0.71457000%
79         | 123,600         | 1.23600000%
80         | 198,913         | 1.98913000%
81         | 299,246         | 2.99246000%
82         | 420,955         | 4.20955000%
83         | 552,750         | 5.52750000%
84         | 685,698         | 6.85698000%
85         | 800,929         | 8.00929000%
86         | 882,286         | 8.82286000%
87         | 918,341         | 9.18341000%
88         | 908,549         | 9.08549000%
89         | 849,940         | 8.49940000%
90         | 758,752         | 7.58752000%
91         | 643,375         | 6.43375000%
92         | 521,528         | 5.21528000%
93         | 403,895         | 4.03895000%
94         | 299,901         | 2.99901000%
95         | 212,084         | 2.12084000%
96         | 143,343         | 1.43343000%
97         | 93,857          | 0.93857000%
98         | 58,673          | 0.58673000%
99         | 35,679          | 0.35679000%
100        | 20,777          | 0.20777000%
101        | 11,505          | 0.11505000%
102        | 6,175           | 0.06175000%
103        | 3,259           | 0.03259000%
104        | 1,629           | 0.01629000%
105        | 753             | 0.00753000%
106        | 395             | 0.00395000%
107        | 178             | 0.00178000%
108        | 68              | 0.00068000%
109        | 34              | 0.00034000%
110        | 12              | 0.00012000%
111        | 4               | 0.00004000%
112        | 6               | 0.00006000%
113        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
