==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,780
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
91         | 1               | 0.00001000%
92         | 9               | 0.00009000%
93         | 43              | 0.00043000%
94         | 255             | 0.00255000%
95         | 974             | 0.00974000%
96         | 3,206           | 0.03206000%
97         | 9,308           | 0.09308000%
98         | 23,542          | 0.23542000%
99         | 51,859          | 0.51859000%
100        | 102,462         | 1.02462000%
101        | 181,509         | 1.81509000%
102        | 293,757         | 2.93757000%
103        | 433,469         | 4.33469000%
104        | 587,959         | 5.87959000%
105        | 743,277         | 7.43277000%
106        | 867,662         | 8.67662000%
107        | 953,676         | 9.53676000%
108        | 980,352         | 9.80352000%
109        | 948,456         | 9.48456000%
110        | 865,272         | 8.65272000%
111        | 750,219         | 7.50219000%
112        | 618,397         | 6.18397000%
113        | 485,762         | 4.85762000%
114        | 362,705         | 3.62705000%
115        | 259,910         | 2.59910000%
116        | 178,696         | 1.78696000%
117        | 117,474         | 1.17474000%
118        | 74,826          | 0.74826000%
119        | 45,607          | 0.45607000%
120        | 26,897          | 0.26897000%
121        | 15,338          | 0.15338000%
122        | 8,201           | 0.08201000%
123        | 4,454           | 0.04454000%
124        | 2,288           | 0.02288000%
125        | 1,090           | 0.01090000%
126        | 576             | 0.00576000%
127        | 295             | 0.00295000%
128        | 125             | 0.00125000%
129        | 55              | 0.00055000%
130        | 23              | 0.00023000%
131        | 9               | 0.00009000%
132        | 1               | 0.00001000%
133        | 2               | 0.00002000%
134        | 1               | 0.00001000%
135        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
55         | 7               | 0.00007000%
56         | 21              | 0.00021000%
57         | 121             | 0.00121000%
58         | 436             | 0.00436000%
59         | 1,485           | 0.01485000%
60         | 4,261           | 0.04261000%
61         | 11,260          | 0.11260000%
62         | 26,953          | 0.26953000%
63         | 56,554          | 0.56554000%
64         | 108,552         | 1.08552000%
65         | 189,684         | 1.89684000%
66         | 304,823         | 3.04823000%
67         | 449,599         | 4.49599000%
68         | 610,801         | 6.10801000%
69         | 772,167         | 7.72167000%
70         | 904,586         | 9.04586000%
71         | 989,084         | 9.89084000%
72         | 1,011,517       | 10.11517000%
73         | 972,774         | 9.72774000%
74         | 877,619         | 8.77619000%
75         | 745,563         | 7.45563000%
76         | 597,815         | 5.97815000%
77         | 455,157         | 4.55157000%
78         | 329,119         | 3.29119000%
79         | 224,730         | 2.24730000%
80         | 146,339         | 1.46339000%
81         | 90,871          | 0.90871000%
82         | 53,879          | 0.53879000%
83         | 30,759          | 0.30759000%
84         | 16,776          | 0.16776000%
85         | 8,666           | 0.08666000%
86         | 4,302           | 0.04302000%
87         | 2,080           | 0.02080000%
88         | 927             | 0.00927000%
89         | 437             | 0.00437000%
90         | 157             | 0.00157000%
91         | 73              | 0.00073000%
92         | 30              | 0.00030000%
93         | 12              | 0.00012000%
94         | 2               | 0.00002000%
96         | 1               | 0.00001000%
97         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
19         | 1               | 0.00001000%
20         | 4               | 0.00004000%
21         | 15              | 0.00015000%
22         | 65              | 0.00065000%
23         | 292             | 0.00292000%
24         | 871             | 0.00871000%
25         | 2,488           | 0.02488000%
26         | 7,423           | 0.07423000%
27         | 18,599          | 0.18599000%
28         | 43,600          | 0.43600000%
29         | 92,834          | 0.92834000%
30         | 179,487         | 1.79487000%
31         | 315,666         | 3.15666000%
32         | 507,612         | 5.07612000%
33         | 735,695         | 7.35695000%
34         | 970,868         | 9.70868000%
35         | 1,162,537       | 11.62537000%
36         | 1,258,307       | 12.58307000%
37         | 1,231,425       | 12.31425000%
38         | 1,092,084       | 10.92084000%
39         | 870,657         | 8.70657000%
40         | 629,927         | 6.29927000%
41         | 410,639         | 4.10639000%
42         | 240,031         | 2.40031000%
43         | 127,200         | 1.27200000%
44         | 60,667          | 0.60667000%
45         | 26,083          | 0.26083000%
46         | 9,960           | 0.09960000%
47         | 3,500           | 0.03500000%
48         | 1,059           | 0.01059000%
49         | 318             | 0.00318000%
50         | 63              | 0.00063000%
51         | 20              | 0.00020000%
52         | 2               | 0.00002000%
53         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 1,599,596       | 15.99596000%
1          | 1,810,546       | 18.10546000%
2          | 1,912,799       | 19.12799000%
3          | 1,672,036       | 16.72036000%
4          | 1,254,018       | 12.54018000%
5          | 821,859         | 8.21859000%
6          | 478,815         | 4.78815000%
7          | 250,915         | 2.50915000%
8          | 118,339         | 1.18339000%
9          | 50,723          | 0.50723000%
10         | 19,875          | 0.19875000%
11         | 7,136           | 0.07136000%
12         | 2,392           | 0.02392000%
13         | 704             | 0.00704000%
14         | 190             | 0.00190000%
15         | 41              | 0.00041000%
16         | 13              | 0.00013000%
17         | 3               | 0.00003000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.9821          |  0.0007% |  0.1650% |  4.0922% | 24.2818% | 43.7469% | 24.3267% |  3.3122% |  0.0746% |  0.0000%
 >= 6 copies | 2.9699          |  0.1264% |  4.1611% | 25.2041% | 43.3795% | 23.4553% |  3.5817% |  0.0916% |  0.0002% |  0.0000%
 >= 7 copies | 2.0329          |  2.7890% | 23.7947% | 44.8808% | 24.5369% |  3.8669% |  0.1313% |  0.0003% |  0.0000% |  0.0000%
