==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,640
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
89         | 1               | 0.00001000%
90         | 7               | 0.00007000%
91         | 51              | 0.00051000%
92         | 273             | 0.00273000%
93         | 1,126           | 0.01126000%
94         | 3,671           | 0.03671000%
95         | 10,717          | 0.10717000%
96         | 26,287          | 0.26287000%
97         | 58,498          | 0.58498000%
98         | 114,179         | 1.14179000%
99         | 201,064         | 2.01064000%
100        | 320,587         | 3.20587000%
101        | 467,365         | 4.67365000%
102        | 627,105         | 6.27105000%
103        | 782,319         | 7.82319000%
104        | 901,506         | 9.01506000%
105        | 975,140         | 9.75140000%
106        | 986,832         | 9.86832000%
107        | 941,965         | 9.41965000%
108        | 844,875         | 8.44875000%
109        | 722,172         | 7.22172000%
110        | 585,709         | 5.85709000%
111        | 451,072         | 4.51072000%
112        | 332,820         | 3.32820000%
113        | 234,064         | 2.34064000%
114        | 157,802         | 1.57802000%
115        | 102,499         | 1.02499000%
116        | 64,013          | 0.64013000%
117        | 38,214          | 0.38214000%
118        | 22,150          | 0.22150000%
119        | 12,478          | 0.12478000%
120        | 6,648           | 0.06648000%
121        | 3,428           | 0.03428000%
122        | 1,779           | 0.01779000%
123        | 797             | 0.00797000%
124        | 427             | 0.00427000%
125        | 205             | 0.00205000%
126        | 89              | 0.00089000%
127        | 45              | 0.00045000%
128        | 11              | 0.00011000%
129        | 7               | 0.00007000%
130        | 1               | 0.00001000%
131        | 1               | 0.00001000%
132        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
54         | 6               | 0.00006000%
55         | 41              | 0.00041000%
56         | 204             | 0.00204000%
57         | 641             | 0.00641000%
58         | 2,206           | 0.02206000%
59         | 6,324           | 0.06324000%
60         | 16,100          | 0.16100000%
61         | 36,901          | 0.36901000%
62         | 75,272          | 0.75272000%
63         | 139,955         | 1.39955000%
64         | 237,431         | 2.37431000%
65         | 369,854         | 3.69854000%
66         | 525,905         | 5.25905000%
67         | 693,509         | 6.93509000%
68         | 848,210         | 8.48210000%
69         | 963,031         | 9.63031000%
70         | 1,018,005       | 10.18005000%
71         | 1,010,287       | 10.10287000%
72         | 939,195         | 9.39195000%
73         | 820,511         | 8.20511000%
74         | 674,550         | 6.74550000%
75         | 524,077         | 5.24077000%
76         | 386,626         | 3.86626000%
77         | 269,984         | 2.69984000%
78         | 178,306         | 1.78306000%
79         | 112,635         | 1.12635000%
80         | 68,001          | 0.68001000%
81         | 38,770          | 0.38770000%
82         | 21,606          | 0.21606000%
83         | 11,328          | 0.11328000%
84         | 5,619           | 0.05619000%
85         | 2,666           | 0.02666000%
86         | 1,276           | 0.01276000%
87         | 580             | 0.00580000%
88         | 229             | 0.00229000%
89         | 91              | 0.00091000%
90         | 43              | 0.00043000%
91         | 19              | 0.00019000%
92         | 4               | 0.00004000%
95         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
19         | 3               | 0.00003000%
20         | 9               | 0.00009000%
21         | 35              | 0.00035000%
22         | 169             | 0.00169000%
23         | 579             | 0.00579000%
