==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,290
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
84         | 1               | 0.00001000%
85         | 7               | 0.00007000%
86         | 64              | 0.00064000%
87         | 374             | 0.00374000%
88         | 1,555           | 0.01555000%
89         | 5,112           | 0.05112000%
90         | 14,580          | 0.14580000%
91         | 36,116          | 0.36116000%
92         | 77,781          | 0.77781000%
93         | 149,974         | 1.49974000%
94         | 256,202         | 2.56202000%
95         | 398,008         | 3.98008000%
96         | 562,678         | 5.62678000%
97         | 731,561         | 7.31561000%
98         | 876,291         | 8.76291000%
99         | 977,987         | 9.77987000%
100        | 1,017,166       | 10.17166000%
101        | 991,367         | 9.91367000%
102        | 904,970         | 9.04970000%
103        | 782,394         | 7.82394000%
104        | 640,730         | 6.40730000%
105        | 497,068         | 4.97068000%
106        | 367,894         | 3.67894000%
107        | 259,070         | 2.59070000%
108        | 175,445         | 1.75445000%
109        | 113,072         | 1.13072000%
110        | 69,632          | 0.69632000%
111        | 41,589          | 0.41589000%
112        | 24,057          | 0.24057000%
113        | 13,161          | 0.13161000%
114        | 7,028           | 0.07028000%
115        | 3,663           | 0.03663000%
116        | 1,785           | 0.01785000%
117        | 865             | 0.00865000%
118        | 415             | 0.00415000%
119        | 185             | 0.00185000%
120        | 90              | 0.00090000%
121        | 40              | 0.00040000%
122        | 14              | 0.00014000%
123        | 7               | 0.00007000%
124        | 1               | 0.00001000%
127        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
50         | 3               | 0.00003000%
51         | 16              | 0.00016000%
52         | 77              | 0.00077000%
53         | 292             | 0.00292000%
54         | 1,075           | 0.01075000%
55         | 3,424           | 0.03424000%
56         | 9,802           | 0.09802000%
57         | 24,595          | 0.24595000%
58         | 54,573          | 0.54573000%
59         | 108,787         | 1.08787000%
60         | 194,857         | 1.94857000%
61         | 319,265         | 3.19265000%
62         | 475,741         | 4.75741000%
63         | 651,400         | 6.51400000%
64         | 822,596         | 8.22596000%
65         | 959,039         | 9.59039000%
66         | 1,038,390       | 10.38390000%
67         | 1,047,181       | 10.47181000%
68         | 983,593         | 9.83593000%
69         | 869,384         | 8.69384000%
70         | 717,865         | 7.17865000%
71         | 560,137         | 5.60137000%
72         | 412,132         | 4.12132000%
73         | 286,256         | 2.86256000%
74         | 189,063         | 1.89063000%
75         | 117,773         | 1.17773000%
76         | 70,098          | 0.70098000%
77         | 39,794          | 0.39794000%
78         | 21,632          | 0.21632000%
79         | 11,186          | 0.11186000%
80         | 5,360           | 0.05360000%
81         | 2,589           | 0.02589000%
82         | 1,170           | 0.01170000%
83         | 504             | 0.00504000%
84         | 210             | 0.00210000%
85         | 89              | 0.00089000%
86         | 30              | 0.00030000%
87         | 14              | 0.00014000%
88         | 6               | 0.00006000%
89         | 1               | 0.00001000%
91         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
18         | 5               | 0.00005000%
19         | 16              | 0.00016000%
20         | 94              | 0.00094000%
21         | 326             | 0.00326000%
22         | 1,060           | 0.01060000%
23         | 3,447           | 0.03447000%
24         | 9,736           | 0.09736000%
25         | 25,385          | 0.25385000%
26         | 58,783          | 0.58783000%
27         | 124,528         | 1.24528000%
28         | 237,561         | 2.37561000%
29         | 410,168         | 4.10168000%
30         | 637,581         | 6.37581000%
31         | 894,043         | 8.94043000%
32         | 1,128,528       | 11.28528000%
33         | 1,279,525       | 12.79525000%
34         | 1,303,170       | 13.03170000%
35         | 1,190,128       | 11.90128000%
36         | 977,389         | 9.77389000%
37         | 715,467         | 7.15467000%
38         | 470,905         | 4.70905000%
39         | 275,566         | 2.75566000%
40         | 144,509         | 1.44509000%
41         | 68,135          | 0.68135000%
42         | 28,344          | 0.28344000%
43         | 10,627          | 0.10627000%
44         | 3,612           | 0.03612000%
45         | 1,003           | 0.01003000%
46         | 289             | 0.00289000%
47         | 60              | 0.00060000%
48         | 7               | 0.00007000%
49         | 2               | 0.00002000%
50         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 2,782,569       | 27.82569000%
1          | 2,231,673       | 22.31673000%
2          | 1,918,330       | 19.18330000%
3          | 1,376,333       | 13.76333000%
4          | 850,637         | 8.50637000%
5          | 462,783         | 4.62783000%
6          | 223,870         | 2.23870000%
7          | 96,740          | 0.96740000%
8          | 37,701          | 0.37701000%
9          | 13,224          | 0.13224000%
10         | 4,389           | 0.04389000%
11         | 1,329           | 0.01329000%
12         | 314             | 0.00314000%
13         | 84              | 0.00084000%
14         | 20              | 0.00020000%
15         | 4               | 0.00004000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 3.6005          |  0.0071% |  0.6916% |  9.6037% | 34.8891% | 39.7272% | 13.9231% |  1.1444% |  0.0138% |  0.0000%
 >= 6 copies | 2.5553          |  0.5828% | 10.2339% | 36.9069% | 38.7049% | 12.5030% |  1.0562% |  0.0123% |  0.0000% |  0.0000%
 >= 7 copies | 1.6468          |  7.1853% | 36.6010% | 41.7270% | 13.3435% |  1.1250% |  0.0182% |  0.0000% |  0.0000% |  0.0000%
