==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,980
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
124        | 6               | 0.00006000%
125        | 18              | 0.00018000%
126        | 67              | 0.00067000%
127        | 287             | 0.00287000%
128        | 802             | 0.00802000%
129        | 2,270           | 0.02270000%
130        | 5,568           | 0.05568000%
131        | 12,697          | 0.12697000%
132        | 26,406          | 0.26406000%
133        | 50,189          | 0.50189000%
134        | 88,285          | 0.88285000%
135        | 145,144         | 1.45144000%
136        | 221,284         | 2.21284000%
137        | 319,961         | 3.19961000%
138        | 430,279         | 4.30279000%
139        | 546,544         | 5.46544000%
140        | 659,820         | 6.59820000%
141        | 754,961         | 7.54961000%
142        | 820,375         | 8.20375000%
143        | 849,597         | 8.49597000%
144        | 840,426         | 8.40426000%
145        | 795,968         | 7.95968000%
146        | 721,440         | 7.21440000%
147        | 630,161         | 6.30161000%
148        | 527,303         | 5.27303000%
149        | 425,377         | 4.25377000%
150        | 331,076         | 3.31076000%
151        | 249,639         | 2.49639000%
152        | 180,494         | 1.80494000%
153        | 127,363         | 1.27363000%
154        | 86,953          | 0.86953000%
155        | 57,521          | 0.57521000%
156        | 36,697          | 0.36697000%
157        | 22,725          | 0.22725000%
158        | 13,814          | 0.13814000%
159        | 8,168           | 0.08168000%
160        | 4,659           | 0.04659000%
161        | 2,605           | 0.02605000%
162        | 1,450           | 0.01450000%
163        | 823             | 0.00823000%
164        | 393             | 0.00393000%
165        | 219             | 0.00219000%
166        | 85              | 0.00085000%
167        | 56              | 0.00056000%
168        | 14              | 0.00014000%
169        | 3               | 0.00003000%
170        | 5               | 0.00005000%
171        | 1               | 0.00001000%
172        | 1               | 0.00001000%
173        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
