==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,540
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
117        | 2               | 0.00002000%
118        | 12              | 0.00012000%
119        | 38              | 0.00038000%
120        | 146             | 0.00146000%
121        | 576             | 0.00576000%
122        | 1,651           | 0.01651000%
123        | 4,331           | 0.04331000%
124        | 10,351          | 0.10351000%
125        | 22,916          | 0.22916000%
126        | 45,180          | 0.45180000%
127        | 81,595          | 0.81595000%
128        | 138,157         | 1.38157000%
129        | 216,026         | 2.16026000%
130        | 315,108         | 3.15108000%
131        | 433,666         | 4.33666000%
132        | 555,476         | 5.55476000%
133        | 674,331         | 6.74331000%
134        | 772,498         | 7.72498000%
135        | 843,267         | 8.43267000%
136        | 873,231         | 8.73231000%
137        | 859,705         | 8.59705000%
138        | 808,537         | 8.08537000%
139        | 728,357         | 7.28357000%
140        | 627,787         | 6.27787000%
141        | 522,542         | 5.22542000%
142        | 415,724         | 4.15724000%
143        | 319,357         | 3.19357000%
144        | 237,546         | 2.37546000%
145        | 168,353         | 1.68353000%
146        | 116,560         | 1.16560000%
147        | 78,999          | 0.78999000%
148        | 51,088          | 0.51088000%
149        | 31,593          | 0.31593000%
150        | 19,220          | 0.19220000%
151        | 11,489          | 0.11489000%
152        | 6,614           | 0.06614000%
153        | 3,756           | 0.03756000%
154        | 2,002           | 0.02002000%
155        | 1,115           | 0.01115000%
156        | 567             | 0.00567000%
157        | 291             | 0.00291000%
158        | 116             | 0.00116000%
159        | 73              | 0.00073000%
160        | 31              | 0.00031000%
161        | 14              | 0.00014000%
162        | 2               | 0.00002000%
163        | 3               | 0.00003000%
165        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
71         | 1               | 0.00001000%
72         | 11              | 0.00011000%
73         | 36              | 0.00036000%
74         | 124             | 0.00124000%
75         | 379             | 0.00379000%
76         | 1,207           | 0.01207000%
77         | 3,097           | 0.03097000%
78         | 7,327           | 0.07327000%
79         | 16,142          | 0.16142000%
80         | 32,438          | 0.32438000%
81         | 61,007          | 0.61007000%
82         | 106,497         | 1.06497000%
83         | 173,152         | 1.73152000%
84         | 262,233         | 2.62233000%
85         | 372,777         | 3.72777000%
86         | 497,979         | 4.97979000%
