==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,550
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
131        | 2               | 0.00002000%
133        | 8               | 0.00008000%
134        | 39              | 0.00039000%
135        | 113             | 0.00113000%
136        | 398             | 0.00398000%
137        | 1,242           | 0.01242000%
138        | 3,011           | 0.03011000%
139        | 7,024           | 0.07024000%
140        | 15,284          | 0.15284000%
141        | 29,732          | 0.29732000%
142        | 54,595          | 0.54595000%
143        | 92,408          | 0.92408000%
144        | 148,664         | 1.48664000%
145        | 222,787         | 2.22787000%
146        | 315,045         | 3.15045000%
147        | 418,667         | 4.18667000%
148        | 530,314         | 5.30314000%
149        | 634,830         | 6.34830000%
150        | 725,924         | 7.25924000%
151        | 790,426         | 7.90426000%
152        | 822,029         | 8.22029000%
153        | 819,423         | 8.19423000%
154        | 782,902         | 7.82902000%
155        | 718,658         | 7.18658000%
156        | 634,904         | 6.34904000%
157        | 539,543         | 5.39543000%
158        | 443,038         | 4.43038000%
159        | 350,866         | 3.50866000%
160        | 268,902         | 2.68902000%
161        | 200,589         | 2.00589000%
162        | 143,711         | 1.43711000%
163        | 100,223         | 1.00223000%
164        | 68,034          | 0.68034000%
165        | 44,889          | 0.44889000%
166        | 28,879          | 0.28879000%
167        | 17,525          | 0.17525000%
168        | 10,816          | 0.10816000%
169        | 6,422           | 0.06422000%
170        | 3,580           | 0.03580000%
171        | 2,182           | 0.02182000%
172        | 1,134           | 0.01134000%
173        | 586             | 0.00586000%
174        | 334             | 0.00334000%
175        | 164             | 0.00164000%
176        | 83              | 0.00083000%
177        | 37              | 0.00037000%
178        | 17              | 0.00017000%
179        | 8               | 0.00008000%
180        | 5               | 0.00005000%
181        | 2               | 0.00002000%
182        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
80         | 2               | 0.00002000%
81         | 4               | 0.00004000%
82         | 9               | 0.00009000%
83         | 49              | 0.00049000%
84         | 159             | 0.00159000%
85         | 478             | 0.00478000%
86         | 1,233           | 0.01233000%
87         | 3,074           | 0.03074000%
88         | 6,819           | 0.06819000%
89         | 14,187          | 0.14187000%
