==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,890
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
92         | 1               | 0.00001000%
93         | 3               | 0.00003000%
94         | 19              | 0.00019000%
95         | 87              | 0.00087000%
96         | 389             | 0.00389000%
97         | 1,483           | 0.01483000%
98         | 4,608           | 0.04608000%
99         | 12,798          | 0.12798000%
100        | 30,294          | 0.30294000%
101        | 64,629          | 0.64629000%
102        | 122,143         | 1.22143000%
103        | 209,187         | 2.09187000%
104        | 328,032         | 3.28032000%
105        | 471,632         | 4.71632000%
106        | 624,559         | 6.24559000%
107        | 772,125         | 7.72125000%
108        | 886,797         | 8.86797000%
109        | 957,956         | 9.57956000%
110        | 969,585         | 9.69585000%
111        | 926,609         | 9.26609000%
112        | 835,918         | 8.35918000%
113        | 716,852         | 7.16852000%
114        | 587,502         | 5.87502000%
115        | 456,880         | 4.56880000%
116        | 339,286         | 3.39286000%
117        | 242,055         | 2.42055000%
118        | 165,056         | 1.65056000%
119        | 108,606         | 1.08606000%
120        | 68,891          | 0.68891000%
121        | 41,816          | 0.41816000%
122        | 24,616          | 0.24616000%
123        | 13,871          | 0.13871000%
124        | 7,493           | 0.07493000%
125        | 4,166           | 0.04166000%
126        | 2,045           | 0.02045000%
127        | 1,039           | 0.01039000%
128        | 524             | 0.00524000%
129        | 264             | 0.00264000%
130        | 99              | 0.00099000%
131        | 52              | 0.00052000%
132        | 20              | 0.00020000%
133        | 9               | 0.00009000%
134        | 1               | 0.00001000%
136        | 3               | 0.00003000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
56         | 5               | 0.00005000%
57         | 25              | 0.00025000%
58         | 103             | 0.00103000%
59         | 415             | 0.00415000%
60         | 1,362           | 0.01362000%
61         | 3,919           | 0.03919000%
62         | 10,455          | 0.10455000%
63         | 24,671          | 0.24671000%
64         | 52,407          | 0.52407000%
65         | 100,910         | 1.00910000%
66         | 176,830         | 1.76830000%
67         | 285,767         | 2.85767000%
68         | 425,632         | 4.25632000%
69         | 581,794         | 5.81794000%
70         | 743,613         | 7.43613000%
71         | 877,952         | 8.77952000%
72         | 972,526         | 9.72526000%
73         | 1,003,276       | 10.03276000%
74         | 976,735         | 9.76735000%
75         | 892,460         | 8.92460000%
76         | 766,981         | 7.66981000%
77         | 623,783         | 6.23783000%
78         | 481,443         | 4.81443000%
79         | 352,845         | 3.52845000%
80         | 244,509         | 2.44509000%
