==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,450
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
116        | 4               | 0.00004000%
117        | 17              | 0.00017000%
118        | 60              | 0.00060000%
119        | 227             | 0.00227000%
120        | 857             | 0.00857000%
121        | 2,460           | 0.02460000%
122        | 6,077           | 0.06077000%
123        | 14,135          | 0.14135000%
124        | 30,081          | 0.30081000%
125        | 57,869          | 0.57869000%
126        | 102,069         | 1.02069000%
127        | 167,273         | 1.67273000%
128        | 255,164         | 2.55164000%
129        | 365,354         | 3.65354000%
130        | 486,123         | 4.86123000%
131        | 610,459         | 6.10459000%
132        | 722,869         | 7.22869000%
133        | 813,063         | 8.13063000%
134        | 865,519         | 8.65519000%
135        | 877,920         | 8.77920000%
136        | 843,918         | 8.43918000%
137        | 779,110         | 7.79110000%
138        | 687,905         | 6.87905000%
139        | 582,594         | 5.82594000%
140        | 473,764         | 4.73764000%
141        | 369,749         | 3.69749000%
142        | 279,720         | 2.79720000%
143        | 203,102         | 2.03102000%
144        | 142,246         | 1.42246000%
145        | 96,288          | 0.96288000%
146        | 64,311          | 0.64311000%
147        | 40,712          | 0.40712000%
148        | 24,764          | 0.24764000%
149        | 14,826          | 0.14826000%
150        | 8,686           | 0.08686000%
151        | 4,986           | 0.04986000%
152        | 2,731           | 0.02731000%
153        | 1,429           | 0.01429000%
154        | 810             | 0.00810000%
155        | 377             | 0.00377000%
156        | 212             | 0.00212000%
157        | 89              | 0.00089000%
158        | 39              | 0.00039000%
159        | 21              | 0.00021000%
160        | 6               | 0.00006000%
161        | 4               | 0.00004000%
164        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
70         | 1               | 0.00001000%
71         | 7               | 0.00007000%
72         | 29              | 0.00029000%
73         | 109             | 0.00109000%
74         | 350             | 0.00350000%
75         | 1,049           | 0.01049000%
76         | 2,795           | 0.02795000%
77         | 6,753           | 0.06753000%
78         | 14,882          | 0.14882000%
79         | 30,987          | 0.30987000%
80         | 57,881          | 0.57881000%
81         | 102,122         | 1.02122000%
82         | 167,677         | 1.67677000%
83         | 256,555         | 2.56555000%
84         | 366,762         | 3.66762000%
85         | 492,601         | 4.92601000%
86         | 624,270         | 6.24270000%
87         | 745,139         | 7.45139000%
88         | 840,599         | 8.40599000%
89         | 896,233         | 8.96233000%
90         | 906,525         | 9.06525000%
91         | 870,422         | 8.70422000%
92         | 796,873         | 7.96873000%
93         | 692,891         | 6.92891000%
94         | 576,519         | 5.76519000%
95         | 459,229         | 4.59229000%
96         | 350,042         | 3.50042000%
97         | 254,832         | 2.54832000%
98         | 177,978         | 1.77978000%
99         | 118,591         | 1.18591000%
100        | 77,057          | 0.77057000%
101        | 48,083          | 0.48083000%
102        | 28,618          | 0.28618000%
103        | 16,508          | 0.16508000%
104        | 9,046           | 0.09046000%
105        | 5,077           | 0.05077000%
106        | 2,512           | 0.02512000%
107        | 1,247           | 0.01247000%
108        | 628             | 0.00628000%
109        | 280             | 0.00280000%
110        | 138             | 0.00138000%
111        | 60              | 0.00060000%
112        | 20              | 0.00020000%
113        | 14              | 0.00014000%
114        | 2               | 0.00002000%
115        | 3               | 0.00003000%
116        | 2               | 0.00002000%
117        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
27         | 4               | 0.00004000%
28         | 11              | 0.00011000%
29         | 46              | 0.00046000%
30         | 138             | 0.00138000%
31         | 454             | 0.00454000%
32         | 1,247           | 0.01247000%
33         | 3,175           | 0.03175000%
34         | 8,145           | 0.08145000%
35         | 18,719          | 0.18719000%
36         | 39,529          | 0.39529000%
37         | 77,862          | 0.77862000%
38         | 142,695         | 1.42695000%
39         | 243,049         | 2.43049000%
40         | 380,473         | 3.80473000%
41         | 553,077         | 5.53077000%
42         | 745,433         | 7.45433000%
43         | 926,165         | 9.26165000%
44         | 1,066,912       | 10.66912000%
45         | 1,130,377       | 11.30377000%
46         | 1,105,888       | 11.05888000%
47         | 997,185         | 9.97185000%
48         | 829,870         | 8.29870000%
49         | 634,855         | 6.34855000%
50         | 449,233         | 4.49233000%
51         | 290,361         | 2.90361000%
52         | 173,905         | 1.73905000%
53         | 95,253          | 0.95253000%
54         | 48,204          | 0.48204000%
55         | 22,545          | 0.22545000%
56         | 9,567           | 0.09567000%
57         | 3,696           | 0.03696000%
58         | 1,322           | 0.01322000%
59         | 427             | 0.00427000%
60         | 121             | 0.00121000%
61         | 44              | 0.00044000%
62         | 13              | 0.00013000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 80,138          | 0.80138000%
1          | 229,878         | 2.29878000%
2          | 473,269         | 4.73269000%
3          | 777,771         | 7.77771000%
4          | 1,069,551       | 10.69551000%
5          | 1,277,653       | 12.77653000%
6          | 1,355,277       | 13.55277000%
7          | 1,280,578       | 12.80578000%
8          | 1,095,509       | 10.95509000%
9          | 853,863         | 8.53863000%
10         | 607,939         | 6.07939000%
11         | 399,284         | 3.99284000%
12         | 239,733         | 2.39733000%
13         | 133,716         | 1.33716000%
14         | 68,819          | 0.68819000%
15         | 32,791          | 0.32791000%
16         | 14,622          | 0.14622000%
17         | 6,042           | 0.06042000%
18         | 2,288           | 0.02288000%
19         | 884             | 0.00884000%
20         | 268             | 0.00268000%
21         | 92              | 0.00092000%
22         | 27              | 0.00027000%
23         | 8               | 0.00008000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.9797          |  0.0000% |  0.0005% |  0.1007% |  3.0869% | 23.2356% | 48.1183% | 23.2326% |  2.2254% |  0.0000%
 >= 6 copies | 4.1696          |  0.0001% |  0.0617% |  2.2600% | 18.4736% | 43.8982% | 30.5810% |  4.6184% |  0.1071% |  0.0000%
 >= 7 copies | 3.3099          |  0.0274% |  1.6198% | 15.6242% | 41.1148% | 33.5769% |  7.7493% |  0.2866% |  0.0010% |  0.0000%
