==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,400
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
115        | 4               | 0.00004000%
116        | 7               | 0.00007000%
117        | 48              | 0.00048000%
118        | 167             | 0.00167000%
119        | 643             | 0.00643000%
120        | 1,908           | 0.01908000%
121        | 4,865           | 0.04865000%
122        | 11,700          | 0.11700000%
123        | 25,598          | 0.25598000%
124        | 50,311          | 0.50311000%
125        | 90,730          | 0.90730000%
126        | 151,213         | 1.51213000%
127        | 234,944         | 2.34944000%
128        | 340,288         | 3.40288000%
129        | 461,474         | 4.61474000%
130        | 587,338         | 5.87338000%
131        | 703,881         | 7.03881000%
132        | 798,234         | 7.98234000%
133        | 861,080         | 8.61080000%
134        | 881,275         | 8.81275000%
135        | 856,150         | 8.56150000%
136        | 796,385         | 7.96385000%
137        | 708,420         | 7.08420000%
138        | 604,344         | 6.04344000%
139        | 495,249         | 4.95249000%
140        | 388,738         | 3.88738000%
141        | 295,748         | 2.95748000%
142        | 216,242         | 2.16242000%
143        | 151,745         | 1.51745000%
144        | 103,732         | 1.03732000%
145        | 68,986          | 0.68986000%
146        | 43,972          | 0.43972000%
147        | 27,168          | 0.27168000%
148        | 16,242          | 0.16242000%
149        | 9,398           | 0.09398000%
150        | 5,474           | 0.05474000%
151        | 2,984           | 0.02984000%
152        | 1,596           | 0.01596000%
153        | 882             | 0.00882000%
154        | 429             | 0.00429000%
155        | 225             | 0.00225000%
156        | 102             | 0.00102000%
157        | 50              | 0.00050000%
158        | 19              | 0.00019000%
159        | 7               | 0.00007000%
160        | 3               | 0.00003000%
161        | 1               | 0.00001000%
163        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
70         | 4               | 0.00004000%
71         | 13              | 0.00013000%
72         | 54              | 0.00054000%
73         | 181             | 0.00181000%
74         | 630             | 0.00630000%
75         | 1,729           | 0.01729000%
76         | 4,317           | 0.04317000%
77         | 10,182          | 0.10182000%
78         | 21,896          | 0.21896000%
79         | 42,578          | 0.42578000%
80         | 78,200          | 0.78200000%
81         | 133,210         | 1.33210000%
82         | 211,031         | 2.11031000%
83         | 311,379         | 3.11379000%
84         | 432,833         | 4.32833000%
85         | 562,895         | 5.62895000%
86         | 692,276         | 6.92276000%
87         | 801,834         | 8.01834000%
88         | 877,571         | 8.77571000%
89         | 911,004         | 9.11004000%
90         | 894,972         | 8.94972000%
91         | 837,055         | 8.37055000%
92         | 745,230         | 7.45230000%
93         | 632,784         | 6.32784000%
94         | 512,780         | 5.12780000%
95         | 398,898         | 3.98898000%
96         | 296,112         | 2.96112000%
97         | 210,168         | 2.10168000%
98         | 142,949         | 1.42949000%
99         | 93,766          | 0.93766000%
100        | 59,361          | 0.59361000%
101        | 35,999          | 0.35999000%
102        | 21,162          | 0.21162000%
103        | 11,753          | 0.11753000%
