==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 5,220
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
69         | 2               | 0.00002000%
70         | 26              | 0.00026000%
71         | 312             | 0.00312000%
72         | 1,448           | 0.01448000%
73         | 5,734           | 0.05734000%
74         | 19,123          | 0.19123000%
75         | 51,326          | 0.51326000%
76         | 115,303         | 1.15303000%
77         | 224,023         | 2.24023000%
78         | 380,439         | 3.80439000%
79         | 575,197         | 5.75197000%
80         | 781,531         | 7.81531000%
81         | 961,698         | 9.61698000%
82         | 1,078,896       | 10.78896000%
83         | 1,115,693       | 11.15693000%
84         | 1,066,430       | 10.66430000%
85         | 947,329         | 9.47329000%
86         | 788,968         | 7.88968000%
87         | 614,509         | 6.14509000%
88         | 451,046         | 4.51046000%
89         | 313,125         | 3.13125000%
90         | 207,183         | 2.07183000%
91         | 130,023         | 1.30023000%
92         | 77,633          | 0.77633000%
93         | 44,100          | 0.44100000%
94         | 24,139          | 0.24139000%
95         | 12,590          | 0.12590000%
96         | 6,390           | 0.06390000%
97         | 3,125           | 0.03125000%
98         | 1,468           | 0.01468000%
99         | 684             | 0.00684000%
100        | 297             | 0.00297000%
101        | 138             | 0.00138000%
102        | 42              | 0.00042000%
103        | 19              | 0.00019000%
104        | 8               | 0.00008000%
105        | 1               | 0.00001000%
106        | 1               | 0.00001000%
107        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
39         | 1               | 0.00001000%
40         | 2               | 0.00002000%
41         | 9               | 0.00009000%
42         | 72              | 0.00072000%
43         | 385             | 0.00385000%
44         | 1,564           | 0.01564000%
45         | 5,716           | 0.05716000%
46         | 16,734          | 0.16734000%
47         | 43,931          | 0.43931000%
48         | 98,081          | 0.98081000%
49         | 193,083         | 1.93083000%
50         | 338,439         | 3.38439000%
51         | 528,782         | 5.28782000%
52         | 741,404         | 7.41404000%
53         | 943,020         | 9.43020000%
54         | 1,088,379       | 10.88379000%
55         | 1,153,047       | 11.53047000%
56         | 1,121,055       | 11.21055000%
57         | 1,004,861       | 10.04861000%
58         | 837,728         | 8.37728000%
59         | 645,126         | 6.45126000%
60         | 466,796         | 4.66796000%
61         | 315,953         | 3.15953000%
62         | 200,439         | 2.00439000%
63         | 118,858         | 1.18858000%
64         | 67,190          | 0.67190000%
65         | 36,025          | 0.36025000%
66         | 17,946          | 0.17946000%
67         | 8,503           | 0.08503000%
68         | 3,973           | 0.03973000%
69         | 1,759           | 0.01759000%
70         | 685             | 0.00685000%
71         | 288             | 0.00288000%
72         | 102             | 0.00102000%
73         | 45              | 0.00045000%
74         | 13              | 0.00013000%
75         | 4               | 0.00004000%
76         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
12         | 1               | 0.00001000%
13         | 2               | 0.00002000%
14         | 10              | 0.00010000%
15         | 31              | 0.00031000%
16         | 218             | 0.00218000%
17         | 835             | 0.00835000%
18         | 2,998           | 0.02998000%
19         | 9,373           | 0.09373000%
20         | 26,825          | 0.26825000%
21         | 68,270          | 0.68270000%
22         | 151,784         | 1.51784000%
23         | 302,490         | 3.02490000%
24         | 528,861         | 5.28861000%
25         | 824,110         | 8.24110000%
26         | 1,125,245       | 11.25245000%
27         | 1,357,819       | 13.57819000%
28         | 1,436,261       | 14.36261000%
29         | 1,337,323       | 13.37323000%
30         | 1,091,680       | 10.91680000%
31         | 779,349         | 7.79349000%
32         | 485,393         | 4.85393000%
33         | 265,494         | 2.65494000%
34         | 126,054         | 1.26054000%
35         | 52,333          | 0.52333000%
36         | 19,050          | 0.19050000%
37         | 6,003           | 0.06003000%
38         | 1,700           | 0.01700000%
39         | 389             | 0.00389000%
40         | 86              | 0.00086000%
41         | 10              | 0.00010000%
42         | 3               | 0.00003000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 6,117,661       | 61.17661000%
1          | 1,980,630       | 19.80630000%
2          | 1,086,393       | 10.86393000%
3          | 507,780         | 5.07780000%
4          | 203,522         | 2.03522000%
5          | 72,928          | 0.72928000%
6          | 22,678          | 0.22678000%
7          | 6,299           | 0.06299000%
8          | 1,636           | 0.01636000%
9          | 369             | 0.00369000%
10         | 85              | 0.00085000%
11         | 17              | 0.00017000%
12         | 2               | 0.00002000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 2.6348          |  0.4412% |  8.8174% | 34.8519% | 40.0785% | 14.3553% |  1.4305% |  0.0251% |  0.0000% |  0.0000%
 >= 6 copies | 1.6201          |  7.5692% | 37.5260% | 41.2650% | 12.6208% |  1.0044% |  0.0146% |  0.0000% |  0.0000% |  0.0000%
 >= 7 copies | 0.8825          | 31.2864% | 50.5013% | 16.9008% |  1.2942% |  0.0173% |  0.0000% |  0.0000% |  0.0000% |  0.0000%
