==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,720
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
105        | 3               | 0.00003000%
106        | 14              | 0.00014000%
107        | 44              | 0.00044000%
108        | 238             | 0.00238000%
109        | 835             | 0.00835000%
110        | 2,524           | 0.02524000%
111        | 6,974           | 0.06974000%
112        | 16,577          | 0.16577000%
113        | 35,885          | 0.35885000%
114        | 71,011          | 0.71011000%
115        | 126,721         | 1.26721000%
116        | 206,628         | 2.06628000%
117        | 312,904         | 3.12904000%
118        | 440,077         | 4.40077000%
119        | 578,519         | 5.78519000%
120        | 709,451         | 7.09451000%
121        | 817,606         | 8.17606000%
122        | 891,778         | 8.91778000%
123        | 918,165         | 9.18165000%
124        | 897,856         | 8.97856000%
125        | 831,502         | 8.31502000%
126        | 734,440         | 7.34440000%
127        | 621,377         | 6.21377000%
128        | 500,463         | 5.00463000%
129        | 389,911         | 3.89911000%
130        | 289,881         | 2.89881000%
131        | 208,501         | 2.08501000%
132        | 143,234         | 1.43234000%
133        | 95,057          | 0.95057000%
134        | 60,991          | 0.60991000%
135        | 38,367          | 0.38367000%
136        | 22,977          | 0.22977000%
137        | 13,404          | 0.13404000%
138        | 7,519           | 0.07519000%
139        | 4,156           | 0.04156000%
140        | 2,160           | 0.02160000%
141        | 1,146           | 0.01146000%
142        | 556             | 0.00556000%
143        | 293             | 0.00293000%
144        | 145             | 0.00145000%
145        | 63              | 0.00063000%
146        | 30              | 0.00030000%
147        | 9               | 0.00009000%
148        | 4               | 0.00004000%
149        | 3               | 0.00003000%
151        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
62         | 1               | 0.00001000%
64         | 5               | 0.00005000%
65         | 25              | 0.00025000%
66         | 103             | 0.00103000%
67         | 398             | 0.00398000%
68         | 1,267           | 0.01267000%
69         | 3,468           | 0.03468000%
70         | 8,499           | 0.08499000%
71         | 19,154          | 0.19154000%
72         | 39,968          | 0.39968000%
73         | 75,678          | 0.75678000%
74         | 133,583         | 1.33583000%
75         | 216,525         | 2.16525000%
76         | 326,799         | 3.26799000%
77         | 458,287         | 4.58287000%
78         | 602,917         | 6.02917000%
79         | 741,116         | 7.41116000%
80         | 853,489         | 8.53489000%
81         | 927,284         | 9.27284000%
82         | 949,826         | 9.49826000%
83         | 920,307         | 9.20307000%
84         | 842,524         | 8.42524000%
85         | 731,096         | 7.31096000%
86         | 602,806         | 6.02806000%
87         | 476,134         | 4.76134000%
88         | 356,263         | 3.56263000%
89         | 255,478         | 2.55478000%
90         | 174,539         | 1.74539000%
91         | 113,622         | 1.13622000%
92         | 71,697          | 0.71697000%
93         | 43,338          | 0.43338000%
94         | 24,974          | 0.24974000%
95         | 13,800          | 0.13800000%
96         | 7,581           | 0.07581000%
97         | 3,896           | 0.03896000%
98         | 1,916           | 0.01916000%
99         | 859             | 0.00859000%
100        | 451             | 0.00451000%
101        | 188             | 0.00188000%
102        | 86              | 0.00086000%
103        | 27              | 0.00027000%
104        | 12              | 0.00012000%
105        | 7               | 0.00007000%
106        | 6               | 0.00006000%
108        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
24         | 2               | 0.00002000%
25         | 14              | 0.00014000%
26         | 66              | 0.00066000%
27         | 195             | 0.00195000%
28         | 628             | 0.00628000%
29         | 1,825           | 0.01825000%
30         | 4,867           | 0.04867000%
31         | 12,323          | 0.12323000%
