==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,470
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
101        | 1               | 0.00001000%
102        | 11              | 0.00011000%
103        | 36              | 0.00036000%
104        | 148             | 0.00148000%
105        | 641             | 0.00641000%
106        | 1,984           | 0.01984000%
107        | 5,745           | 0.05745000%
108        | 14,414          | 0.14414000%
109        | 32,368          | 0.32368000%
110        | 65,559          | 0.65559000%
111        | 119,268         | 1.19268000%
112        | 200,378         | 2.00378000%
113        | 307,031         | 3.07031000%
114        | 437,293         | 4.37293000%
115        | 580,171         | 5.80171000%
116        | 715,503         | 7.15503000%
117        | 830,606         | 8.30606000%
118        | 907,232         | 9.07232000%
119        | 933,939         | 9.33939000%
120        | 909,805         | 9.09805000%
121        | 840,035         | 8.40035000%
122        | 740,494         | 7.40494000%
123        | 622,040         | 6.22040000%
124        | 499,011         | 4.99011000%
125        | 384,580         | 3.84580000%
126        | 284,037         | 2.84037000%
127        | 200,540         | 2.00540000%
128        | 137,392         | 1.37392000%
129        | 90,045          | 0.90045000%
130        | 57,779          | 0.57779000%
131        | 35,126          | 0.35126000%
132        | 20,830          | 0.20830000%
133        | 11,898          | 0.11898000%
134        | 6,706           | 0.06706000%
135        | 3,632           | 0.03632000%
136        | 1,848           | 0.01848000%
137        | 949             | 0.00949000%
138        | 506             | 0.00506000%
139        | 226             | 0.00226000%
140        | 106             | 0.00106000%
141        | 52              | 0.00052000%
142        | 24              | 0.00024000%
143        | 6               | 0.00006000%
144        | 3               | 0.00003000%
145        | 2               | 0.00002000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
60         | 1               | 0.00001000%
61         | 1               | 0.00001000%
62         | 7               | 0.00007000%
63         | 52              | 0.00052000%
64         | 179             | 0.00179000%
65         | 663             | 0.00663000%
66         | 1,952           | 0.01952000%
67         | 5,382           | 0.05382000%
68         | 12,828          | 0.12828000%
69         | 28,413          | 0.28413000%
70         | 56,876          | 0.56876000%
71         | 105,036         | 1.05036000%
72         | 178,745         | 1.78745000%
73         | 280,193         | 2.80193000%
74         | 408,944         | 4.08944000%
75         | 554,002         | 5.54002000%
76         | 701,430         | 7.01430000%
77         | 830,870         | 8.30870000%
78         | 923,019         | 9.23019000%
79         | 963,982         | 9.63982000%
80         | 950,656         | 9.50656000%
81         | 882,499         | 8.82499000%
82         | 777,298         | 7.77298000%
83         | 648,438         | 6.48438000%
84         | 516,044         | 5.16044000%
85         | 388,473         | 3.88473000%
86         | 280,061         | 2.80061000%
87         | 192,164         | 1.92164000%
88         | 125,935         | 1.25935000%
89         | 78,896          | 0.78896000%
90         | 47,820          | 0.47820000%
91         | 27,823          | 0.27823000%
92         | 15,090          | 0.15090000%
93         | 8,178           | 0.08178000%
94         | 4,220           | 0.04220000%
95         | 2,062           | 0.02062000%
96         | 982             | 0.00982000%
97         | 433             | 0.00433000%
98         | 210             | 0.00210000%
99         | 97              | 0.00097000%
100        | 23              | 0.00023000%
101        | 14              | 0.00014000%
102        | 3               | 0.00003000%
103        | 5               | 0.00005000%
104        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
22         | 1               | 0.00001000%
23         | 3               | 0.00003000%
24         | 17              | 0.00017000%
25         | 73              | 0.00073000%
26         | 234             | 0.00234000%
27         | 705             | 0.00705000%
28         | 2,114           | 0.02114000%
29         | 5,696           | 0.05696000%
30         | 14,674          | 0.14674000%
31         | 33,432          | 0.33432000%
32         | 69,973          | 0.69973000%
33         | 135,629         | 1.35629000%
34         | 242,231         | 2.42231000%
35         | 393,238         | 3.93238000%
36         | 587,980         | 5.87980000%
37         | 802,904         | 8.02904000%
38         | 1,006,477       | 10.06477000%
39         | 1,152,378       | 11.52378000%
40         | 1,204,071       | 12.04071000%
41         | 1,150,490       | 11.50490000%
42         | 997,216         | 9.97216000%
43         | 794,361         | 7.94361000%
44         | 572,643         | 5.72643000%
45         | 378,073         | 3.78073000%
46         | 226,295         | 2.26295000%
47         | 123,127         | 1.23127000%
48         | 61,154          | 0.61154000%
49         | 27,431          | 0.27431000%
50         | 11,162          | 0.11162000%
51         | 4,195           | 0.04195000%
52         | 1,465           | 0.01465000%
53         | 410             | 0.00410000%
54         | 102             | 0.00102000%
55         | 39              | 0.00039000%
56         | 5               | 0.00005000%
57         | 1               | 0.00001000%
58         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 578,721         | 5.78721000%
1          | 997,730         | 9.97730000%
2          | 1,405,761       | 14.05761000%
3          | 1,606,222       | 16.06222000%
4          | 1,563,879       | 15.63879000%
5          | 1,329,237       | 13.29237000%
6          | 1,000,332       | 10.00332000%
7          | 674,174         | 6.74174000%
8          | 410,160         | 4.10160000%
9          | 228,428         | 2.28428000%
10         | 115,181         | 1.15181000%
11         | 53,361          | 0.53361000%
12         | 22,949          | 0.22949000%
13         | 8,951           | 0.08951000%
14         | 3,296           | 0.03296000%
15         | 1,124           | 0.01124000%
16         | 344             | 0.00344000%
17         | 108             | 0.00108000%
18         | 35              | 0.00035000%
19         | 6               | 0.00006000%
20         | 1               | 0.00001000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.4491          |  0.0000% |  0.0173% |  1.0012% | 11.7435% | 38.8352% | 38.5318% |  9.4402% |  0.4309% |  0.0000%
 >= 6 copies | 3.5112          |  0.0102% |  0.8837% | 11.1339% | 37.1032% | 38.4115% | 11.7376% |  0.7147% |  0.0053% |  0.0000%
 >= 7 copies | 2.5795          |  0.5378% |  9.7307% | 36.2859% | 39.2723% | 13.0470% |  1.1148% |  0.0115% |  0.0000% |  0.0000%
