==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,530
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
117        | 2               | 0.00002000%
118        | 16              | 0.00016000%
119        | 47              | 0.00047000%
120        | 174             | 0.00174000%
121        | 678             | 0.00678000%
122        | 1,973           | 0.01973000%
123        | 4,991           | 0.04991000%
124        | 11,728          | 0.11728000%
125        | 25,608          | 0.25608000%
126        | 49,689          | 0.49689000%
127        | 88,999          | 0.88999000%
128        | 148,850         | 1.48850000%
129        | 230,640         | 2.30640000%
130        | 332,989         | 3.32989000%
131        | 452,627         | 4.52627000%
132        | 575,294         | 5.75294000%
133        | 691,632         | 6.91632000%
134        | 786,943         | 7.86943000%
135        | 851,235         | 8.51235000%
136        | 874,940         | 8.74940000%
137        | 854,356         | 8.54356000%
138        | 796,817         | 7.96817000%
139        | 713,811         | 7.13811000%
140        | 611,637         | 6.11637000%
141        | 504,873         | 5.04873000%
142        | 399,472         | 3.99472000%
143        | 304,766         | 3.04766000%
144        | 225,184         | 2.25184000%
145        | 159,084         | 1.59084000%
146        | 109,316         | 1.09316000%
147        | 73,820          | 0.73820000%
148        | 47,376          | 0.47376000%
149        | 29,176          | 0.29176000%
150        | 17,564          | 0.17564000%
151        | 10,496          | 0.10496000%
152        | 6,028           | 0.06028000%
153        | 3,436           | 0.03436000%
154        | 1,762           | 0.01762000%
155        | 1,009           | 0.01009000%
156        | 480             | 0.00480000%
157        | 269             | 0.00269000%
158        | 108             | 0.00108000%
159        | 60              | 0.00060000%
160        | 30              | 0.00030000%
161        | 9               | 0.00009000%
162        | 2               | 0.00002000%
163        | 3               | 0.00003000%
165        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
71         | 2               | 0.00002000%
72         | 10              | 0.00010000%
73         | 40              | 0.00040000%
74         | 146             | 0.00146000%
75         | 436             | 0.00436000%
76         | 1,323           | 0.01323000%
77         | 3,397           | 0.03397000%
78         | 7,987           | 0.07987000%
79         | 17,255          | 0.17255000%
80         | 34,795          | 0.34795000%
81         | 64,834          | 0.64834000%
82         | 112,212         | 1.12212000%
83         | 181,467         | 1.81467000%
84         | 272,793         | 2.72793000%
85         | 385,721         | 3.85721000%
86         | 511,313         | 5.11313000%
