==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 7,380
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
100        | 5               | 0.00005000%
101        | 13              | 0.00013000%
102        | 59              | 0.00059000%
103        | 249             | 0.00249000%
104        | 957             | 0.00957000%
105        | 3,000           | 0.03000000%
106        | 8,116           | 0.08116000%
107        | 19,731          | 0.19731000%
108        | 43,245          | 0.43245000%
109        | 84,096          | 0.84096000%
110        | 148,735         | 1.48735000%
111        | 241,660         | 2.41660000%
112        | 360,590         | 3.60590000%
113        | 498,447         | 4.98447000%
114        | 643,140         | 6.43140000%
115        | 773,295         | 7.73295000%
116        | 874,400         | 8.74400000%
117        | 930,837         | 9.30837000%
118        | 934,893         | 9.34893000%
119        | 888,980         | 8.88980000%
120        | 802,202         | 8.02202000%
121        | 691,609         | 6.91609000%
122        | 567,455         | 5.67455000%
123        | 445,113         | 4.45113000%
124        | 336,618         | 3.36618000%
125        | 242,110         | 2.42110000%
126        | 167,797         | 1.67797000%
127        | 113,153         | 1.13153000%
128        | 72,397          | 0.72397000%
129        | 45,346          | 0.45346000%
130        | 27,080          | 0.27080000%
131        | 15,852          | 0.15852000%
132        | 8,808           | 0.08808000%
133        | 4,897           | 0.04897000%
134        | 2,540           | 0.02540000%
135        | 1,311           | 0.01311000%
136        | 662             | 0.00662000%
137        | 333             | 0.00333000%
138        | 147             | 0.00147000%
139        | 77              | 0.00077000%
140        | 25              | 0.00025000%
141        | 12              | 0.00012000%
142        | 5               | 0.00005000%
143        | 2               | 0.00002000%
144        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
59         | 1               | 0.00001000%
60         | 1               | 0.00001000%
61         | 6               | 0.00006000%
62         | 39              | 0.00039000%
63         | 158             | 0.00158000%
64         | 553             | 0.00553000%
65         | 1,769           | 0.01769000%
66         | 4,802           | 0.04802000%
67         | 11,761          | 0.11761000%
68         | 26,370          | 0.26370000%
69         | 53,775          | 0.53775000%
70         | 100,441         | 1.00441000%
71         | 172,490         | 1.72490000%
72         | 272,982         | 2.72982000%
73         | 401,136         | 4.01136000%
74         | 547,979         | 5.47979000%
75         | 698,830         | 6.98830000%
76         | 829,585         | 8.29585000%
77         | 923,477         | 9.23477000%
78         | 970,901         | 9.70901000%
79         | 957,373         | 9.57373000%
80         | 890,250         | 8.90250000%
81         | 784,111         | 7.84111000%
82         | 655,360         | 6.55360000%
83         | 519,660         | 5.19660000%
84         | 391,429         | 3.91429000%
85         | 281,510         | 2.81510000%
86         | 192,839         | 1.92839000%
87         | 125,665         | 1.25665000%
88         | 79,103          | 0.79103000%
89         | 47,496          | 0.47496000%
90         | 27,206          | 0.27206000%
91         | 15,128          | 0.15128000%
92         | 8,123           | 0.08123000%
93         | 4,016           | 0.04016000%
94         | 1,989           | 0.01989000%
95         | 928             | 0.00928000%
96         | 432             | 0.00432000%
97         | 196             | 0.00196000%
98         | 83              | 0.00083000%
99         | 31              | 0.00031000%
100        | 7               | 0.00007000%
101        | 6               | 0.00006000%
102        | 2               | 0.00002000%
104        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
22         | 1               | 0.00001000%
23         | 8               | 0.00008000%
24         | 28              | 0.00028000%
25         | 124             | 0.00124000%
26         | 356             | 0.00356000%
27         | 1,139           | 0.01139000%
28         | 3,255           | 0.03255000%
29         | 8,593           | 0.08593000%
30         | 21,107          | 0.21107000%
31         | 46,952          | 0.46952000%
32         | 94,871          | 0.94871000%
33         | 178,299         | 1.78299000%
34         | 305,244         | 3.05244000%
35         | 480,894         | 4.80894000%
36         | 690,275         | 6.90275000%
37         | 907,994         | 9.07994000%
38         | 1,091,608       | 10.91608000%
39         | 1,197,109       | 11.97109000%
40         | 1,198,765       | 11.98765000%
41         | 1,092,462       | 10.92462000%
42         | 905,578         | 9.05578000%
43         | 686,004         | 6.86004000%
44         | 472,007         | 4.72007000%
45         | 295,559         | 2.95559000%
46         | 167,240         | 1.67240000%
47         | 86,627          | 0.86627000%
48         | 40,569          | 0.40569000%
49         | 17,377          | 0.17377000%
50         | 6,552           | 0.06552000%
51         | 2,415           | 0.02415000%
52         | 727             | 0.00727000%
53         | 191             | 0.00191000%
54         | 56              | 0.00056000%
55         | 12              | 0.00012000%
56         | 1               | 0.00001000%
57         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 672,032         | 6.72032000%
1          | 1,099,822       | 10.99822000%
2          | 1,494,880       | 14.94880000%
3          | 1,651,410       | 16.51410000%
4          | 1,551,886       | 15.51886000%
5          | 1,278,448       | 12.78448000%
6          | 930,160         | 9.30160000%
7          | 607,484         | 6.07484000%
8          | 357,297         | 3.57297000%
9          | 192,876         | 1.92876000%
10         | 93,868          | 0.93868000%
11         | 42,131          | 0.42131000%
12         | 17,625          | 0.17625000%
13         | 6,578           | 0.06578000%
14         | 2,410           | 0.02410000%
15         | 780             | 0.00780000%
16         | 218             | 0.00218000%
17         | 73              | 0.00073000%
18         | 19              | 0.00019000%
19         | 3               | 0.00003000%

==================================================
Duplication Statistics
==================================================
Threshold    | Avg Chars Met   | P(0 Chars Met) | P(1 Chars Met) | P(2 Chars Met) | P(3 Chars Met) | P(4 Chars Met) | P(5 Chars Met) | P(6 Chars Met) | P(7 Chars Met) | P(8 Chars Met)
 >= 5 copies | 4.3929          |  0.0000% |  0.0232% |  1.2147% | 13.0606% | 39.9972% | 36.9156% |  8.4344% |  0.3543% |  0.0000%
 >= 6 copies | 3.4441          |  0.0142% |  1.0982% | 12.5881% | 38.5634% | 36.8156% | 10.3461% |  0.5709% |  0.0036% |  0.0000%
 >= 7 copies | 2.5089          |  0.6788% | 11.1420% | 38.0286% | 37.8026% | 11.4615% |  0.8787% |  0.0077% |  0.0000% |  0.0000%
