==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,600
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
89         | 1               | 0.00001000%
90         | 25              | 0.00025000%
91         | 141             | 0.00141000%
92         | 655             | 0.00655000%
93         | 2,302           | 0.02302000%
94         | 7,103           | 0.07103000%
95         | 18,967          | 0.18967000%
96         | 43,609          | 0.43609000%
97         | 89,831          | 0.89831000%
98         | 164,390         | 1.64390000%
99         | 272,471         | 2.72471000%
100        | 411,856         | 4.11856000%
101        | 569,846         | 5.69846000%
102        | 728,223         | 7.28223000%
103        | 866,525         | 8.66525000%
104        | 957,011         | 9.57011000%
105        | 993,508         | 9.93508000%
106        | 966,671         | 9.66671000%
107        | 886,381         | 8.86381000%
108        | 769,485         | 7.69485000%
109        | 635,280         | 6.35280000%
110        | 497,565         | 4.97565000%
111        | 372,554         | 3.72554000%
112        | 265,412         | 2.65412000%
113        | 181,941         | 1.81941000%
114        | 118,981         | 1.18981000%
115        | 75,338          | 0.75338000%
116        | 45,597          | 0.45597000%
117        | 26,732          | 0.26732000%
118        | 14,876          | 0.14876000%
119        | 8,227           | 0.08227000%
120        | 4,238           | 0.04238000%
121        | 2,243           | 0.02243000%
122        | 1,039           | 0.01039000%
123        | 509             | 0.00509000%
124        | 258             | 0.00258000%
125        | 127             | 0.00127000%
126        | 50              | 0.00050000%
127        | 18              | 0.00018000%
128        | 9               | 0.00009000%
129        | 3               | 0.00003000%
130        | 1               | 0.00001000%
132        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
53         | 2               | 0.00002000%
54         | 14              | 0.00014000%
55         | 70              | 0.00070000%
56         | 332             | 0.00332000%
57         | 1,041           | 0.01041000%
58         | 3,386           | 0.03386000%
59         | 9,279           | 0.09279000%
60         | 22,683          | 0.22683000%
61         | 49,916          | 0.49916000%
62         | 98,042          | 0.98042000%
63         | 175,535         | 1.75535000%
64         | 288,542         | 2.88542000%
65         | 433,692         | 4.33692000%
66         | 597,646         | 5.97646000%
67         | 763,086         | 7.63086000%
68         | 905,778         | 9.05778000%
69         | 997,853         | 9.97853000%
70         | 1,025,832       | 10.25832000%
71         | 989,637         | 9.89637000%
72         | 894,612         | 8.94612000%
73         | 760,170         | 7.60170000%
74         | 610,518         | 6.10518000%
75         | 461,466         | 4.61466000%
76         | 333,377         | 3.33377000%
77         | 226,341         | 2.26341000%
78         | 145,912         | 1.45912000%
79         | 90,338          | 0.90338000%
80         | 53,276          | 0.53276000%
81         | 29,743          | 0.29743000%
82         | 16,175          | 0.16175000%
83         | 8,255           | 0.08255000%
84         | 4,062           | 0.04062000%
85         | 1,867           | 0.01867000%
86         | 878             | 0.00878000%
87         | 388             | 0.00388000%
88         | 154             | 0.00154000%
89         | 62              | 0.00062000%
90         | 24              | 0.00024000%
91         | 11              | 0.00011000%
92         | 3               | 0.00003000%
93         | 1               | 0.00001000%
95         | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
19         | 3               | 0.00003000%
20         | 12              | 0.00012000%
21         | 47              | 0.00047000%
22         | 201             | 0.00201000%
23         | 702             | 0.00702000%
