==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,060
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
110        | 1               | 0.00001000%
111        | 10              | 0.00010000%
112        | 53              | 0.00053000%
113        | 200             | 0.00200000%
114        | 731             | 0.00731000%
115        | 2,243           | 0.02243000%
116        | 5,871           | 0.05871000%
117        | 13,884          | 0.13884000%
118        | 30,387          | 0.30387000%
119        | 59,743          | 0.59743000%
120        | 106,737         | 1.06737000%
121        | 176,965         | 1.76965000%
122        | 271,398         | 2.71398000%
123        | 387,868         | 3.87868000%
124        | 517,992         | 5.17992000%
125        | 646,637         | 6.46637000%
126        | 760,638         | 7.60638000%
127        | 847,563         | 8.47563000%
128        | 893,622         | 8.93622000%
129        | 892,983         | 8.92983000%
130        | 848,717         | 8.48717000%
131        | 770,146         | 7.70146000%
132        | 668,397         | 6.68397000%
133        | 555,637         | 5.55637000%
134        | 442,754         | 4.42754000%
135        | 338,698         | 3.38698000%
136        | 251,281         | 2.51281000%
137        | 177,412         | 1.77412000%
138        | 122,060         | 1.22060000%
139        | 81,025          | 0.81025000%
140        | 51,711          | 0.51711000%
141        | 32,349          | 0.32349000%
142        | 19,264          | 0.19264000%
143        | 11,313          | 0.11313000%
144        | 6,331           | 0.06331000%
145        | 3,494           | 0.03494000%
146        | 1,937           | 0.01937000%
147        | 980             | 0.00980000%
148        | 496             | 0.00496000%
149        | 260             | 0.00260000%
150        | 120             | 0.00120000%
151        | 45              | 0.00045000%
152        | 30              | 0.00030000%
153        | 13              | 0.00013000%
154        | 2               | 0.00002000%
155        | 1               | 0.00001000%
158        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
66         | 1               | 0.00001000%
67         | 4               | 0.00004000%
68         | 13              | 0.00013000%
69         | 82              | 0.00082000%
70         | 281             | 0.00281000%
71         | 905             | 0.00905000%
72         | 2,396           | 0.02396000%
73         | 6,083           | 0.06083000%
74         | 13,993          | 0.13993000%
75         | 29,493          | 0.29493000%
76         | 57,155          | 0.57155000%
77         | 102,364         | 1.02364000%
78         | 170,385         | 1.70385000%
79         | 263,651         | 2.63651000%
80         | 380,517         | 3.80517000%
81         | 512,918         | 5.12918000%
82         | 650,741         | 6.50741000%
83         | 775,964         | 7.75964000%
84         | 869,681         | 8.69681000%
85         | 921,136         | 9.21136000%
86         | 924,668         | 9.24668000%
87         | 879,564         | 8.79564000%
88         | 793,626         | 7.93626000%
89         | 680,395         | 6.80395000%
90         | 556,836         | 5.56836000%
91         | 435,116         | 4.35116000%
92         | 325,022         | 3.25022000%
93         | 231,483         | 2.31483000%
94         | 157,614         | 1.57614000%
95         | 103,547         | 1.03547000%
96         | 65,085          | 0.65085000%
97         | 39,300          | 0.39300000%
98         | 23,096          | 0.23096000%
99         | 12,856          | 0.12856000%
100        | 7,004           | 0.07004000%
101        | 3,577           | 0.03577000%
102        | 1,813           | 0.01813000%
103        | 871             | 0.00871000%
104        | 442             | 0.00442000%
105        | 182             | 0.00182000%
106        | 76              | 0.00076000%
107        | 32              | 0.00032000%
108        | 19              | 0.00019000%
109        | 7               | 0.00007000%
110        | 2               | 0.00002000%
111        | 3               | 0.00003000%
112        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
25         | 4               | 0.00004000%
