==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 9,700
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
133        | 2               | 0.00002000%
135        | 4               | 0.00004000%
136        | 31              | 0.00031000%
137        | 86              | 0.00086000%
138        | 293             | 0.00293000%
139        | 952             | 0.00952000%
140        | 2,363           | 0.02363000%
141        | 5,554           | 0.05554000%
142        | 11,991          | 0.11991000%
143        | 24,213          | 0.24213000%
144        | 44,990          | 0.44990000%
145        | 77,814          | 0.77814000%
146        | 127,212         | 1.27212000%
147        | 193,402         | 1.93402000%
148        | 279,081         | 2.79081000%
149        | 376,965         | 3.76965000%
150        | 485,356         | 4.85356000%
151        | 591,895         | 5.91895000%
152        | 687,913         | 6.87913000%
153        | 763,124         | 7.63124000%
154        | 806,244         | 8.06244000%
155        | 818,603         | 8.18603000%
156        | 795,995         | 7.95995000%
157        | 743,302         | 7.43302000%
158        | 667,108         | 6.67108000%
159        | 577,857         | 5.77857000%
160        | 482,237         | 4.82237000%
161        | 388,226         | 3.88226000%
162        | 303,221         | 3.03221000%
163        | 229,152         | 2.29152000%
164        | 167,825         | 1.67825000%
165        | 118,754         | 1.18754000%
166        | 81,523          | 0.81523000%
167        | 54,991          | 0.54991000%
168        | 36,056          | 0.36056000%
169        | 22,271          | 0.22271000%
170        | 13,990          | 0.13990000%
171        | 8,406           | 0.08406000%
172        | 4,759           | 0.04759000%
173        | 2,896           | 0.02896000%
174        | 1,554           | 0.01554000%
175        | 858             | 0.00858000%
176        | 458             | 0.00458000%
177        | 223             | 0.00223000%
178        | 140             | 0.00140000%
179        | 50              | 0.00050000%
180        | 35              | 0.00035000%
181        | 15              | 0.00015000%
182        | 6               | 0.00006000%
183        | 1               | 0.00001000%
184        | 3               | 0.00003000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
82         | 4               | 0.00004000%
83         | 8               | 0.00008000%
84         | 22              | 0.00022000%
85         | 100             | 0.00100000%
86         | 270             | 0.00270000%
87         | 808             | 0.00808000%
88         | 2,025           | 0.02025000%
89         | 4,580           | 0.04580000%
90         | 9,863           | 0.09863000%
91         | 19,632          | 0.19632000%
92         | 37,514          | 0.37514000%
93         | 66,150          | 0.66150000%
94         | 108,780         | 1.08780000%
95         | 170,230         | 1.70230000%
96         | 249,948         | 2.49948000%
97         | 347,071         | 3.47071000%
98         | 457,105         | 4.57105000%
99         | 571,405         | 5.71405000%
100        | 677,531         | 6.77531000%
101        | 766,562         | 7.66562000%
102        | 825,029         | 8.25029000%
103        | 847,951         | 8.47951000%
104        | 832,390         | 8.32390000%
105        | 781,457         | 7.81457000%
106        | 704,406         | 7.04406000%
107        | 608,752         | 6.08752000%
108        | 504,565         | 5.04565000%
109        | 402,335         | 4.02335000%
110        | 309,728         | 3.09728000%
111        | 228,666         | 2.28666000%
112        | 162,426         | 1.62426000%
113        | 111,121         | 1.11121000%
114        | 74,277          | 0.74277000%
115        | 47,416          | 0.47416000%
116        | 29,649          | 0.29649000%
117        | 17,766          | 0.17766000%
118        | 10,172          | 0.10172000%
119        | 5,732           | 0.05732000%
120        | 3,166           | 0.03166000%
121        | 1,718           | 0.01718000%
122        | 851             | 0.00851000%
123        | 423             | 0.00423000%
124        | 201             | 0.00201000%
125        | 114             | 0.00114000%
126        | 43              | 0.00043000%
127        | 23              | 0.00023000%
128        | 9               | 0.00009000%
129        | 5               | 0.00005000%
132        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
32         | 3               | 0.00003000%
33         | 3               | 0.00003000%
34         | 19              | 0.00019000%
35         | 65              | 0.00065000%
