==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 6,260
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
83         | 1               | 0.00001000%
84         | 1               | 0.00001000%
85         | 21              | 0.00021000%
86         | 140             | 0.00140000%
87         | 705             | 0.00705000%
88         | 2,753           | 0.02753000%
89         | 8,369           | 0.08369000%
90         | 22,606          | 0.22606000%
91         | 52,028          | 0.52028000%
92         | 107,344         | 1.07344000%
93         | 195,562         | 1.95562000%
94         | 318,951         | 3.18951000%
95         | 474,756         | 4.74756000%
96         | 645,397         | 6.45397000%
97         | 806,828         | 8.06828000%
98         | 934,084         | 9.34084000%
99         | 1,006,559       | 10.06559000%
100        | 1,014,727       | 10.14727000%
101        | 958,300         | 9.58300000%
102        | 851,032         | 8.51032000%
103        | 716,096         | 7.16096000%
104        | 570,688         | 5.70688000%
105        | 431,902         | 4.31902000%
106        | 311,756         | 3.11756000%
107        | 214,965         | 2.14965000%
108        | 141,896         | 1.41896000%
109        | 89,524          | 0.89524000%
110        | 54,052          | 0.54052000%
111        | 31,431          | 0.31431000%
112        | 17,956          | 0.17956000%
113        | 9,615           | 0.09615000%
114        | 5,123           | 0.05123000%
115        | 2,466           | 0.02466000%
116        | 1,261           | 0.01261000%
117        | 596             | 0.00596000%
118        | 277             | 0.00277000%
119        | 140             | 0.00140000%
120        | 58              | 0.00058000%
121        | 20              | 0.00020000%
122        | 9               | 0.00009000%
123        | 4               | 0.00004000%
126        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
50         | 6               | 0.00006000%
51         | 24              | 0.00024000%
52         | 102             | 0.00102000%
53         | 439             | 0.00439000%
54         | 1,540           | 0.01540000%
55         | 4,724           | 0.04724000%
56         | 13,107          | 0.13107000%
57         | 31,366          | 0.31366000%
58         | 68,104          | 0.68104000%
59         | 131,580         | 1.31580000%
60         | 228,826         | 2.28826000%
61         | 366,167         | 3.66167000%
62         | 530,631         | 5.30631000%
63         | 708,688         | 7.08688000%
64         | 871,905         | 8.71905000%
65         | 993,391         | 9.93391000%
66         | 1,051,839       | 10.51839000%
67         | 1,035,939       | 10.35939000%
68         | 954,297         | 9.54297000%
69         | 824,483         | 8.24483000%
70         | 667,146         | 6.67146000%
71         | 510,066         | 5.10066000%
72         | 368,166         | 3.68166000%
73         | 250,830         | 2.50830000%
74         | 162,781         | 1.62781000%
75         | 99,571          | 0.99571000%
76         | 58,144          | 0.58144000%
77         | 32,406          | 0.32406000%
78         | 17,327          | 0.17327000%
79         | 8,787           | 0.08787000%
80         | 4,171           | 0.04171000%
81         | 1,937           | 0.01937000%
82         | 894             | 0.00894000%
83         | 368             | 0.00368000%
84         | 140             | 0.00140000%
85         | 77              | 0.00077000%
86         | 16              | 0.00016000%
87         | 10              | 0.00010000%
88         | 3               | 0.00003000%
89         | 2               | 0.00002000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
18         | 6               | 0.00006000%
19         | 24              | 0.00024000%
20         | 108             | 0.00108000%
21         | 379             | 0.00379000%
22         | 1,233           | 0.01233000%
23         | 4,015           | 0.04015000%
24         | 11,236          | 0.11236000%
25         | 28,656          | 0.28656000%
26         | 66,253          | 0.66253000%
27         | 137,787         | 1.37787000%
28         | 259,879         | 2.59879000%
29         | 442,563         | 4.42563000%
30         | 677,272         | 6.77272000%
31         | 935,357         | 9.35357000%
32         | 1,161,466       | 11.61466000%
33         | 1,295,894       | 12.95894000%
34         | 1,296,695       | 12.96695000%
35         | 1,164,200       | 11.64200000%
36         | 937,098         | 9.37098000%
37         | 673,702         | 6.73702000%
38         | 433,840         | 4.33840000%
39         | 249,193         | 2.49193000%
40         | 127,399         | 1.27399000%
41         | 59,040          | 0.59040000%
